date,openMeteo_max_apparent_temp,virtualCrossing_max_apparent_temp
2023-04-01,,26.2
2023-04-02,,30.1
2023-04-03,,36.2
2023-04-04,,31.0
2023-04-05,,24.4
2023-04-06,,15.0
2023-04-07,,11.7
2023-04-08,,16.7
2023-04-09,,22.2
2023-04-10,,21.2
2023-04-11,,22.9
2023-04-12,,24.4
2023-04-13,,25.7
2023-04-14,,25.7
2023-04-15,,33.2
2023-04-16,,22.2
2023-04-17,,24.4
2023-04-18,,25.7
2023-04-19,,28.1
2023-04-20,,34.2
2023-04-21,,25.7
2023-04-22,,25.7
2023-04-23,,18.9
2023-04-24,,20.7
2023-04-25,,23.3
2023-04-26,,31.3
2023-04-27,,26.6
2023-04-28,,30.0
2023-04-29,,23.9
2023-04-30,,28.9
2023-05-01,,27.9
2023-05-02,,26.2
2023-05-03,,29.2
2023-05-04,,30.6
2023-05-05,,37.7
2023-05-06,,36.6
2023-05-07,,28.9
2023-05-08,,37.4
2023-05-09,,23.9
2023-05-10,,28.3
2023-05-11,,36.6
2023-05-12,,34.0
2023-05-13,,24.4
2023-05-14,,29.8
2023-05-15,,30.9
2023-05-16,,30.0
2023-05-17,,30.5
2023-05-18,,32.8
2023-05-19,,34.2
2023-05-20,,28.4
2023-05-21,,23.3
2023-05-22,,30.1
2023-05-23,,34.2
2023-05-24,,29.2
2023-05-25,,30.3
2023-05-26,,29.7
2023-05-27,,30.1
2023-05-28,,29.6
2023-05-29,,30.5
2023-05-30,,32.5
2023-05-31,,32.5
2023-06-01,,33.9
2023-06-02,,32.2
2023-06-03,,33.8
2023-06-04,,28.8
2023-06-05,,31.0
2023-06-06,,31.1
2023-06-07,,33.0
2023-06-08,,33.6
2023-06-09,,39.6
2023-06-10,,38.4
2023-06-11,,39.0
2023-06-12,,39.6
2023-06-13,,39.6
2023-06-14,,40.2
2023-06-15,,44.9
2023-06-16,,45.3
2023-06-17,,42.5
2023-06-18,,44.1
2023-06-19,,45.3
2023-06-20,,46.8
2023-06-21,,46.8
2023-06-22,,38.3
2023-06-23,,41.7
2023-06-24,,42.5
2023-06-25,,44.8
2023-06-26,,43.2
2023-06-27,,43.3
2023-06-28,,40.5
2023-06-29,,39.0
2023-06-30,,39.5
2023-07-01,,40.1
2023-07-02,,38.6
2023-07-03,,37.9
2023-07-04,,37.8
2023-07-05,,39.7
2023-07-06,,35.4
2023-07-07,,37.7
2023-07-08,,40.1
2023-07-09,,41.4
2023-07-10,,42.9
2023-07-11,,44.8
2023-07-12,,44.5
2023-07-13,,44.5
2023-07-14,,42.4
2023-07-15,,40.9
2023-07-16,,40.9
2023-07-17,,39.7
2023-07-18,,41.4
2023-07-19,,41.8
2023-07-20,,40.1
2023-07-21,,38.2
2023-07-22,,40.9
2023-07-23,,41.8
2023-07-24,,39.4
2023-07-25,,39.5
2023-07-26,,39.8
2023-07-27,,37.8
2023-07-28,,37.2
2023-07-29,,36.9
2023-07-30,,40.1
2023-07-31,,42.1
2023-08-01,,43.0
2023-08-02,,41.7
2023-08-03,,42.1
2023-08-04,,43.3
2023-08-05,,41.7
2023-08-06,,43.0
2023-08-07,,41.8
2023-08-08,,43.3
2023-08-09,,44.7
2023-08-10,,45.3
2023-08-11,,43.9
2023-08-12,,44.7
2023-08-13,,44.1
2023-08-14,,42.1
2023-08-15,,38.8
2023-08-16,,39.1
2023-08-17,,42.9
2023-08-18,,42.0
2023-08-19,,40.3
2023-08-20,,43.8
2023-08-21,,42.4
2023-08-22,,39.7
2023-08-23,,40.6
2023-08-24,,43.8
2023-08-25,,44.2
2023-08-26,,40.8
2023-08-27,,43.9
2023-08-28,,41.7
2023-08-29,,38.2
2023-08-30,,37.7
2023-08-31,,38.1
2023-09-01,,37.9
2023-09-02,,39.3
2023-09-03,,38.2
2023-09-04,,41.4
2023-09-05,,42.5
2023-09-06,,42.4
2023-09-07,,43.2
2023-09-08,,42.3
2023-09-09,,41.7
2023-09-10,,38.3
2023-09-11,,36.5
2023-09-12,,35.7
2023-09-13,,35.6
2023-09-14,,37.9
2023-09-15,,35.5
2023-09-16,,33.4
2023-09-17,,34.8
2023-09-18,,35.0
2023-09-19,,36.8
2023-09-20,,39.2
