date,openMeteo_max_temp,weatherApi_max_temp,virtualCrossing_max_temp,openWeather_max_temp,worldWeather_max_temp
2023-04-01,,29.8,26.7,31.41,30
2023-04-02,,29.8,28.4,27.88,30
2023-04-03,,34.4,32.2,30.7,34
2023-04-04,,32.1,28.9,32.37,31
2023-04-05,,23.6,24.4,30.39,24
2023-04-06,,16.0,15.0,21.38,16
2023-04-07,,14.2,11.7,10.58,14
2023-04-08,,21.1,16.7,15.22,21
2023-04-09,,21.6,22.2,21.4,22
2023-04-10,,22.2,21.2,22.62,22
2023-04-11,,22.6,22.9,22.32,22
2023-04-12,,24.8,24.4,24.13,24
2023-04-13,,26.1,25.7,25.31,26
2023-04-14,,25.7,25.7,26.25,25
2023-04-15,,32.6,32.2,28.41,31
2023-04-16,,25.1,22.2,33.28,24
2023-04-17,,26.6,24.4,24.32,26
2023-04-18,,25.4,25.7,25.22,26
2023-04-19,,27.2,26.7,25.83,26
2023-04-20,,26.6,30.6,28.56,27
2023-04-21,,28.2,25.7,29.42,29
2023-04-22,,26.6,25.7,26.43,27
2023-04-23,,18.8,18.9,26.08,19
2023-04-24,,20.4,20.7,16.82,20
2023-04-25,,25.3,23.3,21.22,26
2023-04-26,,27.5,28.8,26.12,27
2023-04-27,,26.0,26.7,28.7,25
2023-04-28,,30.7,28.4,27.55,30
2023-04-29,,20.1,23.9,29.07,20
2023-04-30,,30.1,30.1,30.09,28
2023-05-01,,29.7,28.3,32.24,29
2023-05-02,,27.7,26.2,28.53,27
2023-05-03,,30.1,28.4,27.49,30
2023-05-04,,28.1,27.9,29.32,28
2023-05-05,,31.4,32.9,31.91,31
2023-05-06,,31.8,31.2,33.91,32
2023-05-07,,31.7,28.9,31.3,31
2023-05-08,,32.4,32.2,31.61,31
2023-05-09,,26.8,23.9,32.78,29
2023-05-10,,26.9,26.7,25.13,26
2023-05-11,,32.0,31.2,30.29,31
2023-05-12,,31.4,30.0,31.76,31
2023-05-13,,25.0,24.4,29.77,25
2023-05-14,,24.8,27.9,23.84,25
2023-05-15,,27.1,28.4,28.28,26
2023-05-16,,24.8,28.3,26.81,26
2023-05-17,,30.4,30.7,29.21,29
2023-05-18,,31.2,31.2,31.16,32
2023-05-19,,32.5,31.7,31.75,32
2023-05-20,,24.8,27.2,32.63,25
2023-05-21,,23.6,23.3,27.75,24
2023-05-22,,27.2,28.9,27.3,26
2023-05-23,,31.6,31.7,30.82,30
2023-05-24,,30.5,27.9,31.87,30
2023-05-25,,29.5,28.8,28.37,30
2023-05-26,,30.2,29.4,29.41,29
2023-05-27,,30.2,29.4,29.81,30
2023-05-28,,29.3,28.9,29.94,29
2023-05-29,,29.0,30.0,29.03,28
2023-05-30,,31.2,31.2,30.07,29
2023-05-31,,31.4,31.2,31.22,31
2023-06-01,,31.5,32.2,31.61,29
2023-06-02,,33.1,31.2,31.97,32
2023-06-03,,33.0,32.9,31.64,32
2023-06-04,,31.1,27.8,33.2,31
2023-06-05,,30.6,30.0,29.28,29
2023-06-06,,30.7,30.6,30.41,31
2023-06-07,,31.9,31.7,31.37,31
2023-06-08,,33.1,31.7,31.95,32
2023-06-09,,36.5,35.1,34.6,36
2023-06-10,,37.1,34.4,36.31,36
2023-06-11,,38.1,35.0,35.92,37
2023-06-12,,37.2,34.4,36.46,36
2023-06-13,,37.5,33.9,35.55,37
2023-06-14,,38.3,33.9,34.64,38
2023-06-15,,40.4,36.7,34.79,39
2023-06-16,,40.6,37.2,37.12,40
2023-06-17,,38.7,34.4,38.74,39
2023-06-18,,41.5,38.9,36.64,41
2023-06-19,,41.7,37.9,39.48,40
2023-06-20,,42.4,38.9,39.3,41
2023-06-21,,41.6,38.4,40.95,40
2023-06-22,,38.6,32.9,39.93,38
2023-06-23,,39.4,35.1,34.72,39
2023-06-24,,40.0,36.2,37.64,39
2023-06-25,,41.1,36.2,38.36,41
2023-06-26,,41.6,36.7,38.84,41
2023-06-27,,41.3,37.2,40.18,41
2023-06-28,,40.7,36.2,39.92,40
2023-06-29,,39.4,35.7,38.89,39
2023-06-30,,38.9,35.7,37.38,39
2023-07-01,,38.2,36.2,37.41,38
2023-07-02,,36.3,35.0,37.96,36
2023-07-03,,37.1,34.4,35.16,36
2023-07-04,,36.3,33.9,35.56,35
2023-07-05,,36.2,34.4,35.43,36
2023-07-06,,32.2,30.7,35.04,33
2023-07-07,,34.1,32.9,31.4,32
2023-07-08,,37.7,36.7,34.62,36
2023-07-09,,39.2,37.2,37.39,38
2023-07-10,,40.3,38.4,38.57,40
2023-07-11,,40.9,38.4,39.42,41
2023-07-12,,42.3,40.0,39.72,41
2023-07-13,,42.4,40.0,40.75,41
2023-07-14,,42.0,38.9,40.47,41
2023-07-15,,41.5,39.4,40.06,41
2023-07-16,,40.8,39.3,40.43,40
2023-07-17,,41.6,38.9,39.9,41
2023-07-18,,41.9,39.4,40.48,41
2023-07-19,,41.2,38.9,40.57,41
2023-07-20,,40.9,38.8,39.91,41
2023-07-21,,40.4,38.0,39.62,40
2023-07-22,,39.8,38.4,39.16,40
2023-07-23,,40.2,38.4,39.57,40
