date,mean_sunset
2023-04-01,2023-04-01T19:49:32
2023-04-02,2023-04-02T19:50:09
2023-04-03,2023-04-03T19:50:46
2023-04-04,2023-04-04T19:51:22
2023-04-05,2023-04-05T19:51:59
2023-04-06,2023-04-06T19:52:36
2023-04-07,2023-04-07T19:53:13
2023-04-08,2023-04-08T19:53:49
2023-04-09,2023-04-09T19:54:26
2023-04-10,2023-04-10T19:55:03
2023-04-11,2023-04-11T19:55:40
2023-04-12,2023-04-12T19:56:17
2023-04-13,2023-04-13T19:56:55
2023-04-14,2023-04-14T19:57:32
2023-04-15,2023-04-15T19:58:09
2023-04-16,2023-04-16T19:58:47
2023-04-17,2023-04-17T19:59:25
2023-04-18,2023-04-18T20:00:02
2023-04-19,2023-04-19T20:00:40
2023-04-20,2023-04-20T20:01:18
2023-04-21,2023-04-21T20:01:56
2023-04-22,2023-04-22T20:02:34
2023-04-23,2023-04-23T20:03:12
2023-04-24,2023-04-24T20:03:51
2023-04-25,2023-04-25T20:04:29
2023-04-26,2023-04-26T20:05:08
2023-04-27,2023-04-27T20:05:47
2023-04-28,2023-04-28T20:06:25
2023-04-29,2023-04-29T20:07:04
2023-04-30,2023-04-30T20:07:43
2023-05-01,2023-05-01T20:08:22
2023-05-02,2023-05-02T20:09:01
2023-05-03,2023-05-03T20:09:40
2023-05-04,2023-05-04T20:10:19
2023-05-05,2023-05-05T20:10:58
2023-05-06,2023-05-06T20:11:38
2023-05-07,2023-05-07T20:12:17
2023-05-08,2023-05-08T20:12:56
2023-05-09,2023-05-09T20:13:35
2023-05-10,2023-05-10T20:14:14
2023-05-11,2023-05-11T20:14:53
2023-05-12,2023-05-12T20:15:32
2023-05-13,2023-05-13T20:16:11
2023-05-14,2023-05-14T20:16:49
2023-05-15,2023-05-15T20:17:28
2023-05-16,2023-05-16T20:18:06
2023-05-17,2023-05-17T20:18:44
2023-05-18,2023-05-18T20:19:22
2023-05-19,2023-05-19T20:20:00
2023-05-20,2023-05-20T20:20:37
2023-05-21,2023-05-21T20:21:14
2023-05-22,2023-05-22T20:21:51
2023-05-23,2023-05-23T20:22:28
2023-05-24,2023-05-24T20:23:04
2023-05-25,2023-05-25T20:23:40
2023-05-26,2023-05-26T20:24:15
2023-05-27,2023-05-27T20:24:50
2023-05-28,2023-05-28T20:25:24
2023-05-29,2023-05-29T20:25:58
2023-05-30,2023-05-30T20:26:31
2023-05-31,2023-05-31T20:27:04
2023-06-01,2023-06-01T20:27:36
2023-06-02,2023-06-02T20:28:07
2023-06-03,2023-06-03T20:28:38
2023-06-04,2023-06-04T20:29:08
2023-06-05,2023-06-05T20:29:37
2023-06-06,2023-06-06T20:30:05
2023-06-07,2023-06-07T20:30:33
2023-06-08,2023-06-08T20:31:00
2023-06-09,2023-06-09T20:31:25
2023-06-10,2023-06-10T20:31:50
2023-06-11,2023-06-11T20:32:15
2023-06-12,2023-06-12T20:32:38
2023-06-13,2023-06-13T20:33:00
2023-06-14,2023-06-14T20:33:21
2023-06-15,2023-06-15T20:33:41
2023-06-16,2023-06-16T20:34:00
2023-06-17,2023-06-17T20:34:18
2023-06-18,2023-06-18T20:34:34
2023-06-19,2023-06-19T20:34:50
2023-06-20,2023-06-20T20:35:04
2023-06-21,2023-06-21T20:35:17
2023-06-22,2023-06-22T20:35:29
2023-06-23,2023-06-23T20:35:40
2023-06-24,2023-06-24T20:35:49
2023-06-25,2023-06-25T20:35:57
2023-06-26,2023-06-26T20:36:04
2023-06-27,2023-06-27T20:36:10
2023-06-28,2023-06-28T20:36:14
2023-06-29,2023-06-29T20:36:16
2023-06-30,2023-06-30T20:36:18
2023-07-01,2023-07-01T20:36:18
2023-07-02,2023-07-02T20:36:16
2023-07-03,2023-07-03T20:36:13
2023-07-04,2023-07-04T20:36:09
2023-07-05,2023-07-05T20:36:03
2023-07-06,2023-07-06T20:35:56
2023-07-07,2023-07-07T20:35:47
2023-07-08,2023-07-08T20:35:37
2023-07-09,2023-07-09T20:35:25
2023-07-10,2023-07-10T20:35:12
2023-07-11,2023-07-11T20:34:58
2023-07-12,2023-07-12T20:34:42
2023-07-13,2023-07-13T20:34:24
2023-07-14,2023-07-14T20:34:06
2023-07-15,2023-07-15T20:33:45
2023-07-16,2023-07-16T20:33:23
2023-07-17,2023-07-17T20:33:00
2023-07-18,2023-07-18T20:32:36
2023-07-19,2023-07-19T20:32:09
2023-07-20,2023-07-20T20:31:42
2023-07-21,2023-07-21T20:31:13
2023-07-22,2023-07-22T20:30:43
2023-07-23,2023-07-23T20:30:11
2023-07-24,2023-07-24T20:29:38
2023-07-25,2023-07-25T20:29:03
2023-07-26,2023-07-26T20:28:28
2023-07-27,2023-07-27T20:27:50
2023-07-28,2023-07-28T20:27:12
2023-07-29,2023-07-29T20:26:32
2023-07-30,2023-07-30T20:25:51
2023-07-31,2023-07-31T20:25:09
2023-08-01,2023-08-01T20:24:25
2023-08-02,2023-08-02T20:23:40
2023-08-03,2023-08-03T20:22:54
2023-08-04,2023-08-04T20:22:07
2023-08-05,2023-08-05T20:21:19
2023-08-06,2023-08-06T20:20:29
2023-08-07,2023-08-07T20:19:39
2023-08-08,2023-08-08T20:18:47
2023-08-09,2023-08-09T20:17:54
2023-08-10,2023-08-10T20:17:00
2023-08-11,2023-08-11T20:16:05
2023-08-12,2023-08-12T20:15:09
2023-08-13,2023-08-13T20:14:12
2023-08-14,2023-08-14T20:13:14
2023-08-15,2023-08-15T20:12:15
2023-08-16,2023-08-16T20:11:16
2023-08-17,2023-08-17T20:10:15
2023-08-18,2023-08-18T20:09:13
2023-08-19,2023-08-19T20:08:11
2023-08-20,2023-08-20T20:07:08
2023-08-21,2023-08-21T20:06:04
2023-08-22,2023-08-22T20:04:59
2023-08-23,2023-08-23T20:03:54
2023-08-24,2023-08-24T20:02:47
2023-08-25,2023-08-25T20:01:41
2023-08-26,2023-08-26T20:00:33
2023-08-27,2023-08-27T19:59:25
2023-08-28,2023-08-28T19:58:16
2023-08-29,2023-08-29T19:57:07
2023-08-30,2023-08-30T19:55:57
2023-08-31,2023-08-31T19:54:46
2023-09-01,2023-09-01T19:53:35
2023-09-02,2023-09-02T19:52:24
2023-09-03,2023-09-03T19:51:12
2023-09-04,2023-09-04T19:50:00
2023-09-05,2023-09-05T19:48:47
2023-09-06,2023-09-06T19:47:34
2023-09-07,2023-09-07T19:46:20
2023-09-08,2023-09-08T19:45:07
2023-09-09,2023-09-09T19:43:53
2023-09-10,2023-09-10T19:42:38
2023-09-11,2023-09-11T19:41:24
