date,openMeteo_min_apparent_temp,virtualCrossing_min_apparent_temp
2023-04-01,,7.3
2023-04-02,,13.0
2023-04-03,,20.7
2023-04-04,,22.2
2023-04-05,,15.8
2023-04-06,,4.6
2023-04-07,,5.9
2023-04-08,,10.7
2023-04-09,,9.4
2023-04-10,,10.7
2023-04-11,,8.4
2023-04-12,,7.9
2023-04-13,,8.9
2023-04-14,,12.9
2023-04-15,,15.7
2023-04-16,,10.8
2023-04-17,,6.5
2023-04-18,,16.2
2023-04-19,,20.7
2023-04-20,,18.4
2023-04-21,,17.2
2023-04-22,,9.4
2023-04-23,,10.7
2023-04-24,,11.7
2023-04-25,,16.2
2023-04-26,,20.0
2023-04-27,,14.4
2023-04-28,,12.3
2023-04-29,,11.7
2023-04-30,,9.4
2023-05-01,,10.1
2023-05-02,,15.7
2023-05-03,,15.1
2023-05-04,,16.8
2023-05-05,,22.9
2023-05-06,,18.9
2023-05-07,,21.7
2023-05-08,,20.1
2023-05-09,,20.0
2023-05-10,,19.3
2023-05-11,,22.2
2023-05-12,,23.9
2023-05-13,,18.3
2023-05-14,,17.2
2023-05-15,,18.4
2023-05-16,,19.4
2023-05-17,,17.2
2023-05-18,,16.7
2023-05-19,,19.4
2023-05-20,,20.0
2023-05-21,,18.9
2023-05-22,,16.2
2023-05-23,,18.4
2023-05-24,,18.3
2023-05-25,,18.4
2023-05-26,,17.2
2023-05-27,,17.9
2023-05-28,,20.0
2023-05-29,,20.0
2023-05-30,,17.9
2023-05-31,,19.4
2023-06-01,,19.4
2023-06-02,,18.4
2023-06-03,,18.9
2023-06-04,,18.4
2023-06-05,,19.4
2023-06-06,,17.9
2023-06-07,,19.4
2023-06-08,,20.7
2023-06-09,,19.4
2023-06-10,,19.4
2023-06-11,,20.7
2023-06-12,,23.4
2023-06-13,,25.0
2023-06-14,,29.4
2023-06-15,,30.2
2023-06-16,,26.2
2023-06-17,,26.2
2023-06-18,,26.2
2023-06-19,,26.2
2023-06-20,,25.7
2023-06-21,,23.8
2023-06-22,,23.4
2023-06-23,,23.4
2023-06-24,,24.4
2023-06-25,,25.7
2023-06-26,,24.4
2023-06-27,,23.4
2023-06-28,,24.4
2023-06-29,,25.0
2023-06-30,,23.4
2023-07-01,,24.4
2023-07-02,,25.0
2023-07-03,,23.4
2023-07-04,,22.9
2023-07-05,,24.4
2023-07-06,,23.9
2023-07-07,,22.2
2023-07-08,,23.9
2023-07-09,,25.0
2023-07-10,,25.0
2023-07-11,,25.7
2023-07-12,,26.2
2023-07-13,,25.1
2023-07-14,,25.7
2023-07-15,,24.4
2023-07-16,,25.6
2023-07-17,,23.4
2023-07-18,,24.4
2023-07-19,,24.4
2023-07-20,,25.7
2023-07-21,,22.9
2023-07-22,,24.4
2023-07-23,,28.4
2023-07-24,,21.7
2023-07-25,,22.9
2023-07-26,,24.4
2023-07-27,,22.9
2023-07-28,,22.9
2023-07-29,,22.2
2023-07-30,,23.4
2023-07-31,,23.4
2023-08-01,,25.0
2023-08-02,,22.9
2023-08-03,,25.0
2023-08-04,,25.7
2023-08-05,,25.6
2023-08-06,,24.4
2023-08-07,,26.1
2023-08-08,,26.1
2023-08-09,,25.0
2023-08-10,,25.7
2023-08-11,,26.2
2023-08-12,,29.6
2023-08-13,,30.6
2023-08-14,,23.9
2023-08-15,,25.7
2023-08-16,,21.7
2023-08-17,,23.4
2023-08-18,,24.4
2023-08-19,,22.2
2023-08-20,,24.4
2023-08-21,,27.8
2023-08-22,,25.7
2023-08-23,,25.6
2023-08-24,,24.4
2023-08-25,,25.0
2023-08-26,,23.4
2023-08-27,,25.7
2023-08-28,,23.9
2023-08-29,,23.4
2023-08-30,,20.1
2023-08-31,,20.7
2023-09-01,,20.7
2023-09-02,,21.2
2023-09-03,,24.4
2023-09-04,,24.4
2023-09-05,,29.6
2023-09-06,,25.7
2023-09-07,,25.7
2023-09-08,,26.1
2023-09-09,,25.6
2023-09-10,,25.7
2023-09-11,,21.2
2023-09-12,,25.6
2023-09-13,,22.9
2023-09-14,,22.9
2023-09-15,,22.8
2023-09-16,,21.0
2023-09-17,,20.0
2023-09-18,,19.4
2023-09-19,,21.2
2023-09-20,,21.2
2023-09-21,,22.9
2023-09-22,,22.9
2023-09-23,,25.7
2023-09-24,,25.6
2023-09-25,,26.1
2023-09-26,,21.7
2023-09-27,,21.7
2023-09-28,,20.1
2023-09-29,,20.7
2023-09-30,,20.7
2023-10-01,,18.9
2023-10-02,,19.4
2023-10-03,,18.4
2023-10-04,,24.4
2023-10-05,,20.6
2023-10-06,,19.4
2023-10-07,,17.8
2023-10-08,,10.0
2023-10-09,,11.2
2023-10-10,,17.2
