date,openMeteo_min_temp,weatherApi_min_temp,virtualCrossing_min_temp,openWeather_min_temp,worldWeather_min_temp
2023-04-01,,11.1,8.0,15.32,13
2023-04-02,,16.0,13.0,17.0,16
2023-04-03,,18.5,20.7,21.65,19
2023-04-04,,20.6,22.2,22.41,20
2023-04-05,,16.5,15.8,15.76,15
2023-04-06,,12.6,8.3,8.29,12
2023-04-07,,8.9,9.4,9.11,10
2023-04-08,,12.2,10.7,10.73,12
2023-04-09,,12.4,9.4,13.07,13
2023-04-10,,15.3,10.7,13.28,15
2023-04-11,,12.8,8.4,11.64,12
2023-04-12,,12.7,7.9,11.33,12
2023-04-13,,13.0,8.9,12.36,13
2023-04-14,,14.6,12.9,16.47,14
2023-04-15,,20.0,15.7,16.84,19
2023-04-16,,13.0,10.8,13.46,13
2023-04-17,,10.7,7.2,10.49,10
2023-04-18,,15.7,16.2,17.17,15
2023-04-19,,18.8,20.7,20.77,19
2023-04-20,,19.2,18.4,21.71,19
2023-04-21,,18.2,17.2,17.9,18
2023-04-22,,14.5,9.4,13.49,14
2023-04-23,,14.9,10.7,11.14,14
2023-04-24,,12.4,11.7,12.0,12
2023-04-25,,15.6,16.2,16.68,16
2023-04-26,,19.3,20.0,19.67,19
2023-04-27,,15.3,14.4,16.1,15
2023-04-28,,14.6,12.3,15.35,15
2023-04-29,,14.3,11.7,11.69,14
2023-04-30,,12.3,9.4,12.68,12
2023-05-01,,13.1,10.1,14.57,13
2023-05-02,,17.4,15.7,18.95,17
2023-05-03,,17.2,15.1,17.77,16
2023-05-04,,19.1,16.8,19.47,18
2023-05-05,,21.1,22.9,23.01,21
2023-05-06,,20.4,18.9,19.68,20
2023-05-07,,21.3,21.7,23.3,21
2023-05-08,,22.3,20.1,22.19,22
2023-05-09,,20.8,20.0,20.32,20
2023-05-10,,20.1,19.3,19.55,19
2023-05-11,,20.3,22.2,22.65,21
2023-05-12,,21.7,23.9,24.39,22
2023-05-13,,20.0,18.3,18.01,19
2023-05-14,,19.7,17.2,18.83,20
2023-05-15,,19.2,18.4,19.76,20
2023-05-16,,20.1,19.4,19.58,20
2023-05-17,,20.0,17.2,18.14,19
2023-05-18,,18.9,16.7,18.22,18
2023-05-19,,20.0,19.4,20.65,19
2023-05-20,,20.7,20.0,20.03,20
2023-05-21,,19.0,18.9,19.11,19
2023-05-22,,16.9,16.2,17.07,17
2023-05-23,,19.5,18.4,19.09,19
2023-05-24,,20.6,18.3,18.44,21
2023-05-25,,20.1,18.4,19.09,20
2023-05-26,,19.9,17.2,18.67,19
2023-05-27,,19.4,17.9,18.9,18
2023-05-28,,21.0,20.0,21.03,20
2023-05-29,,19.2,20.0,20.96,18
2023-05-30,,19.5,17.9,19.02,18
2023-05-31,,19.7,19.4,20.11,19
2023-06-01,,19.6,19.4,21.78,19
2023-06-02,,20.4,18.4,21.35,19
2023-06-03,,21.2,18.9,21.0,20
2023-06-04,,21.0,18.4,19.76,21
2023-06-05,,19.5,19.4,19.88,19
2023-06-06,,19.4,17.9,19.09,19
2023-06-07,,21.7,19.4,20.83,20
2023-06-08,,22.4,20.7,22.12,21
2023-06-09,,20.6,19.4,21.38,20
2023-06-10,,24.2,19.4,22.44,23
2023-06-11,,22.9,20.7,24.04,22
2023-06-12,,23.2,23.4,24.77,22
2023-06-13,,23.0,25.0,25.4,23
2023-06-14,,24.3,26.7,26.55,24
2023-06-15,,24.9,26.7,27.28,24
2023-06-16,,24.3,26.2,26.94,24
2023-06-17,,26.1,26.2,26.23,24
2023-06-18,,23.6,26.2,26.33,23
2023-06-19,,24.5,26.2,26.57,23
2023-06-20,,25.8,25.7,26.45,24
2023-06-21,,24.6,23.8,26.4,24
2023-06-22,,26.2,23.4,23.62,25
2023-06-23,,25.4,23.4,25.14,24
2023-06-24,,24.6,24.4,25.66,25
2023-06-25,,25.3,25.7,26.21,24
2023-06-26,,24.6,24.4,25.35,24
2023-06-27,,24.4,23.4,24.59,24
2023-06-28,,23.8,24.4,24.48,23
2023-06-29,,24.7,25.0,25.67,25
2023-06-30,,23.4,23.4,25.08,24
2023-07-01,,24.6,24.4,25.18,24
2023-07-02,,24.6,25.0,25.27,25
2023-07-03,,25.3,23.4,25.53,25
2023-07-04,,24.6,22.9,25.17,25
2023-07-05,,25.1,24.4,26.12,25
2023-07-06,,24.9,23.9,25.43,24
2023-07-07,,22.3,22.2,23.57,22
2023-07-08,,23.3,23.9,24.68,24
2023-07-09,,25.5,25.0,25.53,24
2023-07-10,,25.4,25.0,25.66,24
2023-07-11,,25.3,25.7,26.0,25
2023-07-12,,25.0,26.2,26.44,25
2023-07-13,,25.4,25.1,26.23,25
2023-07-14,,25.0,25.7,26.22,25
2023-07-15,,24.9,24.4,25.96,25
2023-07-16,,25.1,25.6,25.37,24
2023-07-17,,25.3,23.4,24.73,24
2023-07-18,,24.7,24.4,25.28,24
2023-07-19,,25.3,24.4,25.27,24
2023-07-20,,24.9,25.7,25.89,24
2023-07-21,,24.6,22.9,24.72,25
2023-07-22,,26.1,24.4,25.28,25
2023-07-23,,27.8,26.7,26.25,26
2023-07-24,,25.5,21.7,23.78,25
2023-07-25,,25.1,22.9,24.46,24
2023-07-26,,24.8,24.4,25.65,25
2023-07-27,,25.1,22.9,24.67,25
2023-07-28,,24.6,22.9,24.8,24
2023-07-29,,24.7,22.2,23.42,24
2023-07-30,,25.0,23.4,24.51,25
2023-07-31,,26.7,23.4,25.77,25
2023-08-01,,26.2,25.0,25.58,25
2023-08-02,,25.9,22.9,25.69,25
2023-08-03,,25.5,25.0,25.56,25
