date,openMeteo_total_precipitation,virtualCrossing_total_precipitation,openWeather_total_precipitation,weatherApi_total_precipitation
2023-04-01,,0.0,0.0,0.0
2023-04-02,,0.0,0.0,0.8
2023-04-03,,0.0,0.0,0.2
2023-04-04,,0.0,0.0,0.0
2023-04-05,,0.0,0.0,6.55
2023-04-06,,48.782,28.89,52.25
2023-04-07,,14.655,18.67,16.65
2023-04-08,,0.0,3.83,0.1
2023-04-09,,0.0,0.0,0.0
2023-04-10,,0.0,0.0,14.8
2023-04-11,,0.0,0.0,0.0
2023-04-12,,0.0,0.0,0.0
2023-04-13,,0.0,0.0,0.0
2023-04-14,,0.0,0.0,0.9
2023-04-15,,1.483,0.0,4.05
2023-04-16,,0.0,0.0,0.0
2023-04-17,,0.0,0.0,0.0
2023-04-18,,0.005,0.0,13.75
2023-04-19,,0.0,0.0,2.95
2023-04-20,,0.611,0.0,18.1
2023-04-21,,22.403,5.25,10.1
2023-04-22,,0.0,0.0,7.75
2023-04-23,,0.586,0.0,7.25
2023-04-24,,0.0,0.0,2.55
2023-04-25,,6.812,0.39,6.35
2023-04-26,,0.322,0.23,24.8
2023-04-27,,20.566,5.5,23.05
2023-04-28,,11.136,0.0,31.1
2023-04-29,,0.0,40.11,9.55
2023-04-30,,0.0,0.0,0.0
2023-05-01,,0.0,0.0,0.0
2023-05-02,,0.0,0.0,0.0
2023-05-03,,0.0,0.0,0.0
2023-05-04,,0.0,0.0,3.75
2023-05-05,,0.014,0.0,22.5
2023-05-06,,0.0,0.0,0.1
2023-05-07,,0.0,0.32,0.7
2023-05-08,,0.0,0.0,15.5
2023-05-09,,2.127,1.22,32.55
2023-05-10,,4.031,3.24,12.5
2023-05-11,,0.0,0.0,2.7
2023-05-12,,0.293,0.0,10.5
2023-05-13,,42.048,92.14,38.05
2023-05-14,,2.425,0.0,19.3
2023-05-15,,6.534,0.47,7.0
2023-05-16,,5.351,7.72,17.0
2023-05-17,,0.0,0.0,0.2
2023-05-18,,0.0,0.0,0.0
2023-05-19,,0.0,0.0,0.0
2023-05-20,,1.59,4.73,4.0
2023-05-21,,1.39,0.5,4.1
2023-05-22,,0.0,5.84,0.1
2023-05-23,,0.0,0.0,3.2
2023-05-24,,20.533,8.73,0.9
2023-05-25,,0.0,1.46,0.3
2023-05-26,,0.0,0.0,0.0
2023-05-27,,0.001,0.0,0.0
2023-05-28,,0.0,0.0,2.6
2023-05-29,,0.005,0.0,3.0
2023-05-30,,0.0,0.0,0.3
2023-05-31,,0.0,0.0,0.0
2023-06-01,,0.0,0.0,0.3
2023-06-02,,0.0,0.0,0.0
2023-06-03,,12.918,0.0,1.0
2023-06-04,,0.788,14.65,28.5
2023-06-05,,6.964,10.0,5.4
2023-06-06,,0.019,0.0,2.75
