date,openMeteo_wind_speed,virtualCrossing_wind_speed,openWeather_wind_speed,weatherApi_wind_speed
2023-04-01,,27.4,29.628000000000004,16.2
2023-04-02,,29.2,29.628000000000004,24.5
2023-04-03,,29.2,29.628000000000004,22.7
2023-04-04,,34.9,35.172,31.0
2023-04-05,,40.3,35.172,25.2
2023-04-06,,29.2,40.752,20.5
2023-04-07,,27.4,29.628000000000004,20.2
2023-04-08,,20.3,22.212,17.3
2023-04-09,,14.6,18.503999999999998,8.3
2023-04-10,,18.1,14.832,15.1
2023-04-11,,16.5,18.503999999999998,15.5
2023-04-12,,14.7,14.832,12.2
2023-04-13,,18.2,14.832,18.4
2023-04-14,,25.6,22.212,23.4
2023-04-15,,33.1,25.92,20.9
2023-04-16,,34.9,35.172,22.7
2023-04-17,,23.9,24.084000000000003,23.0
2023-04-18,,29.5,24.084000000000003,25.9
2023-04-19,,27.7,29.628000000000004,25.9
2023-04-20,,34.9,27.791999999999998,22.0
2023-04-21,,36.3,37.044,20.1
2023-04-22,,25.8,25.92,20.6
2023-04-23,,38.5,38.88,23.5
2023-04-24,,23.9,31.5,16.9
2023-04-25,,16.3,18.503999999999998,18.0
2023-04-26,,22.3,22.212,19.8
2023-04-27,,25.8,25.92,18.7
2023-04-28,,47.7,20.376,25.9
2023-04-29,,40.4,48.168000000000006,29.9
2023-04-30,,27.3,33.336,16.9
2023-05-01,,18.3,24.084000000000003,21.2
2023-05-02,,18.3,18.503999999999998,17.3
2023-05-03,,20.3,18.503999999999998,16.2
2023-05-04,,20.4,20.376,16.6
2023-05-05,,40.9,25.92,17.6
2023-05-06,,23.8,42.588,18.4
2023-05-07,,33.1,24.084000000000003,24.8
2023-05-08,,27.5,33.336,19.8
2023-05-09,,20.2,22.212,15.1
2023-05-10,,14.6,20.376,14.8
2023-05-11,,23.9,20.376,20.5
2023-05-12,,27.7,24.084000000000003,22.7
2023-05-13,,29.0,29.628000000000004,18.4
2023-05-14,,11.0,11.124,13.3
2023-05-15,,14.8,14.832,11.7
2023-05-16,,16.5,14.832,10.8
2023-05-17,,18.0,16.668,10.8
2023-05-18,,16.4,18.503999999999998,12.6
2023-05-19,,22.1,16.668,18.4
2023-05-20,,31.3,31.5,17.3
2023-05-21,,14.5,25.92,13.7
2023-05-22,,12.8,12.96,11.9
2023-05-23,,20.3,18.503999999999998,14.0
2023-05-24,,23.9,25.740000000000002,14.0
2023-05-25,,18.2,24.084000000000003,14.4
2023-05-26,,14.6,18.503999999999998,13.7
2023-05-27,,16.5,14.832,10.8
2023-05-28,,23.9,24.084000000000003,13.3
2023-05-29,,18.3,24.084000000000003,15.8
2023-05-30,,16.5,18.503999999999998,16.2
2023-05-31,,18.3,16.668,18.4
2023-06-01,,22.2,18.503999999999998,20.2
2023-06-02,,24.0,22.212,19.8
2023-06-03,,41.7,25.92,15.8
2023-06-04,,14.6,42.588,13.6
2023-06-05,,36.3,14.832,14.0
2023-06-06,,11.0,16.092,9.0
2023-06-07,,12.8,9.648000000000001,10.1
2023-06-08,,14.7,14.832,14.8
2023-06-09,,16.4,14.832,17.3
2023-06-10,,29.3,25.92,20.5
2023-06-11,,29.2,29.628000000000004,22.3
2023-06-12,,27.6,27.791999999999998,21.9
2023-06-13,,25.9,27.791999999999998,23.8
2023-06-14,,20.3,21.564,19.8
2023-06-15,,29.3,20.376,23.8
2023-06-16,,23.9,29.628000000000004,24.1
2023-06-17,,22.1,22.212,22.3
2023-06-18,,31.3,31.5,26.6
2023-06-19,,25.6,25.92,17.8
2023-06-20,,22.1,22.212,19.4
2023-06-21,,34.7,22.212,20.5
2023-06-22,,22.1,35.172,17.9
2023-06-23,,27.4,30.312,23.4
2023-06-24,,27.4,27.791999999999998,25.9
2023-06-25,,24.0,24.084000000000003,25.9
2023-06-26,,27.4,24.084000000000003,25.2
2023-06-27,,23.9,24.084000000000003,22.7
2023-06-28,,27.4,25.92,24.1
2023-06-29,,24.0,22.212,23.8
2023-06-30,,23.9,22.212,25.9
2023-07-01,,23.9,24.084000000000003,20.5
2023-07-02,,18.2,24.084000000000003,16.6
2023-07-03,,23.9,18.503999999999998,15.5
2023-07-04,,20.4,24.084000000000003,21.6
2023-07-05,,27.5,22.212,20.9
2023-07-06,,29.2,27.791999999999998,24.5
2023-07-07,,23.9,29.628000000000004,21.2
2023-07-08,,22.2,24.084000000000003,19.7
2023-07-09,,25.9,25.92,25.2
2023-07-10,,29.1,29.628000000000004,23.8
2023-07-11,,29.2,24.084000000000003,25.9
2023-07-12,,33.2,33.336,29.2
2023-07-13,,25.9,33.336,26.4
2023-07-14,,31.3,27.791999999999998,29.2
2023-07-15,,24.1,31.5,25.2
2023-07-16,,20.3,22.212,23.8
2023-07-17,,20.5,20.376,22.3
2023-07-18,,23.8,24.084000000000003,24.8
2023-07-19,,36.6,25.92,27.4
2023-07-20,,25.6,37.044,23.4
2023-07-21,,22.2,22.212,23.8
2023-07-22,,18.1,21.852,20.9
2023-07-23,,23.8,24.084000000000003,17.1
2023-07-24,,24.0,22.212,27.0
2023-07-25,,20.3,24.084000000000003,23.1
2023-07-26,,27.3,20.376,25.6
2023-07-27,,22.1,22.212,23.0
2023-07-28,,22.1,22.212,23.0
2023-07-29,,18.3,22.212,22.0
2023-07-30,,18.3,18.503999999999998,20.9
2023-07-31,,22.2,18.468,20.5
2023-08-01,,22.1,22.212,20.9
2023-08-02,,25.7,22.212,26.3
2023-08-03,,23.9,25.92,24.1
2023-08-04,,25.6,24.084000000000003,27.4
2023-08-05,,27.4,27.791999999999998,24.5
2023-08-06,,29.1,22.212,27.4
2023-08-07,,25.7,29.628000000000004,27.0
2023-08-08,,31.5,27.791999999999998,29.9
2023-08-09,,33.2,31.5,29.9
2023-08-10,,31.4,33.336,27.7
2023-08-11,,27.5,27.791999999999998,29.2
2023-08-12,,29.4,27.791999999999998,28.4
2023-08-13,,29.5,29.628000000000004,27.7
2023-08-14,,23.8,27.791999999999998,22.7
