date,openMeteo_max_apparent_temp,virtualCrossing_max_apparent_temp
2023-04-01,,12.2
2023-04-02,,13.3
2023-04-03,,16.1
2023-04-04,,21.1
2023-04-05,,22.8
2023-04-06,,11.7
2023-04-07,,6.1
2023-04-08,,17.2
2023-04-09,,20.0
2023-04-10,,21.7
2023-04-11,,26.1
2023-04-12,,27.0
2023-04-13,,27.0
2023-04-14,,27.1
2023-04-15,,26.8
2023-04-16,,20.6
2023-04-17,,-0.8
2023-04-18,,14.3
2023-04-19,,21.1
2023-04-20,,26.7
2023-04-21,,16.7
2023-04-22,,6.5
2023-04-23,,4.0
2023-04-24,,11.7
2023-04-25,,6.4
2023-04-26,,7.7
2023-04-27,,18.8
2023-04-28,,15.7
2023-04-29,,14.3
2023-04-30,,6.8
2023-05-01,,10.0
2023-05-02,,12.8
2023-05-03,,13.3
2023-05-04,,22.2
2023-05-05,,25.6
2023-05-06,,26.1
2023-05-07,,29.0
2023-05-08,,20.0
2023-05-09,,20.6
2023-05-10,,26.1
2023-05-11,,27.0
2023-05-12,,24.3
2023-05-13,,20.0
2023-05-14,,18.3
2023-05-15,,19.3
2023-05-16,,26.4
2023-05-17,,16.7
2023-05-18,,23.4
2023-05-19,,23.8
2023-05-20,,21.2
2023-05-21,,26.0
2023-05-22,,26.4
2023-05-23,,27.5
2023-05-24,,21.1
2023-05-25,,16.1
2023-05-26,,20.7
2023-05-27,,22.2
2023-05-28,,25.7
2023-05-29,,27.0
2023-05-30,,29.6
2023-05-31,,32.5
2023-06-01,,32.2
2023-06-02,,30.3
2023-06-03,,29.5
2023-06-04,,24.4
2023-06-05,,27.4
2023-06-06,,26.1
2023-06-07,,23.3
2023-06-08,,23.3
2023-06-09,,25.0
2023-06-10,,28.2
2023-06-11,,23.3
2023-06-12,,20.0
2023-06-13,,18.8
2023-06-14,,22.2
2023-06-15,,28.0
2023-06-16,,19.3
2023-06-17,,25.7
2023-06-18,,28.1
2023-06-19,,28.3
2023-06-20,,27.9
2023-06-21,,29.9
2023-06-22,,28.3
2023-06-23,,28.1
2023-06-24,,31.8
2023-06-25,,31.6
2023-06-26,,23.8
2023-06-27,,23.9
2023-06-28,,28.3
2023-06-29,,32.3
2023-06-30,,33.8
2023-07-01,,31.5
2023-07-02,,24.3
2023-07-03,,30.3
2023-07-04,,33.2
2023-07-05,,35.6
2023-07-06,,27.8
2023-07-07,,26.9
2023-07-08,,23.4
2023-07-09,,28.3
2023-07-10,,29.1
2023-07-11,,32.2
2023-07-12,,26.1
2023-07-13,,24.4
2023-07-14,,33.9
2023-07-15,,30.1
2023-07-16,,27.3
2023-07-17,,26.1
2023-07-18,,25.6
2023-07-19,,29.1
2023-07-20,,32.3
2023-07-21,,26.8
2023-07-22,,28.6
2023-07-23,,28.9
2023-07-24,,29.7
2023-07-25,,32.5
2023-07-26,,37.4
2023-07-27,,36.1
2023-07-28,,40.2
2023-07-29,,28.5
2023-07-30,,26.1
2023-07-31,,27.6
2023-08-01,,29.2
2023-08-02,,29.2
2023-08-03,,31.6
2023-08-04,,29.8
2023-08-05,,24.3
2023-08-06,,21.7
2023-08-07,,26.2
2023-08-08,,28.6
2023-08-09,,26.1
2023-08-10,,29.3
2023-08-11,,30.3
2023-08-12,,29.5
2023-08-13,,27.5
2023-08-14,,24.3
2023-08-15,,25.6
2023-08-16,,27.3
2023-08-17,,26.5
2023-08-18,,25.6
2023-08-19,,28.5
2023-08-20,,36.2
2023-08-21,,29.5
2023-08-22,,34.3
2023-08-23,,45.9
2023-08-24,,47.3
2023-08-25,,28.5
2023-08-26,,23.9
2023-08-27,,23.8
2023-08-28,,25.7
2023-08-29,,29.5
2023-08-30,,21.7
2023-08-31,,24.4
2023-09-01,,27.6
2023-09-02,,30.6
2023-09-03,,33.8
2023-09-04,,35.2
2023-09-05,,33.9
2023-09-06,,27.5
2023-09-07,,21.7
2023-09-08,,20.0
2023-09-09,,23.8
2023-09-10,,26.8
2023-09-11,,21.7
2023-09-12,,21.7
2023-09-13,,20.6
2023-09-14,,21.7
2023-09-15,,24.4
2023-09-16,,22.2
2023-09-17,,20.0
2023-09-18,,21.7
2023-09-19,,18.8
2023-09-20,,27.0
2023-09-21,,24.4
2023-09-22,,25.7
2023-09-23,,25.0
2023-09-24,,24.4
2023-09-25,,23.8
2023-09-26,,22.9
2023-09-27,,20.7
2023-09-28,,20.7
2023-09-29,,23.4
2023-09-30,,28.8
2023-10-01,,28.6
2023-10-02,,29.0
2023-10-03,,29.5
2023-10-04,,28.1
2023-10-05,,21.7
2023-10-06,,16.2
2023-10-07,,15.0
2023-10-08,,12.9
2023-10-09,,14.4
2023-10-10,,17.2
2023-10-11,15.397472,18.8
2023-10-12,15.063208,16.2
2023-10-13,12.23851,15.0
2023-10-14,11.308882,13.3
2023-10-15,11.284828,15.0
2023-10-16,9.722905,12.2
2023-10-17,14.513996,16.7
2023-10-18,15.549402,19.3
2023-10-19,13.453165,14.4
2023-10-20,10.901698,15.0
2023-10-21,14.252525,17.8
2023-10-22,12.75654,14.3
2023-10-23,15.685768,19.3
2023-10-24,25.134071,27.3
2023-10-25,19.721123,20.0
2023-10-26,20.112057,22.2
2023-10-27,21.234356,21.7
2023-10-28,7.033292,10.0
2023-10-29,6.8298855,7.4
2023-10-30,0.26592064,2.7
2023-10-31,-3.6741643,-2.9
2023-11-01,-0.06252813,1.3
2023-11-02,7.3850517,12.9
2023-11-03,9.661258,14.3
2023-11-04,11.866945,14.3
2023-11-05,12.402069,15.7
2023-11-06,17.658215,21.1
2023-11-07,11.163748,14.3
2023-11-08,14.447403,15.6
2023-11-09,7.633318,13.8
2023-11-10,3.3683949,6.1
2023-11-11,7.857602,10.6
2023-11-12,9.319328,14.3
2023-11-13,12.477274,17.2
2023-11-14,11.692232,16.7
2023-11-15,15.669956,18.8
2023-11-16,15.350626,19.3
2023-11-17,14.167318,17.2
2023-11-18,6.022975,11.7
2023-11-19,9.210982,12.2
2023-11-20,4.1945076,7.1
2023-11-21,4.4272585,6.1
2023-11-22,3.224883,5.7
2023-11-23,3.6754513,6.3
2023-11-24,-1.6215277,-1.4
2023-11-25,-0.9590342,3.8
2023-11-26,-2.8047533,0.6
2023-11-27,-6.5796585,-6.8
2023-11-28,-9.740799,-7.6
2023-11-29,-0.86888885,1.8
2023-11-30,6.6523895,12.8
2023-12-01,5.94895,7.2
2023-12-02,3.741115,6.7
2023-12-03,3.2032504,5.0
2023-12-04,1.0620623,4.6
2023-12-05,1.344985,2.6
2023-12-06,-1.5177038,0.4
2023-12-07,7.7019243,11.1
2023-12-08,9.272786,13.3
2023-12-09,9.510442,13.3
2023-12-10,-2.3944125,-1.7
2023-12-11,-2.1190672,-0.5
2023-12-12,-1.9090586,-0.2
2023-12-13,0.30751657,2.6
2023-12-14,6.155121,10.6
2023-12-15,7.9888325,12.2
2023-12-16,4.016324,6.8
2023-12-17,4.621313,6.4
2023-12-18,-2.2449913,-1.4
2023-12-19,-4.7804413,-4.2
2023-12-20,2.5786042,6.2
2023-12-21,5.53255,8.3
2023-12-22,5.77069,7.2
2023-12-23,7.665799,10.6
2023-12-24,10.76669,13.3
2023-12-25,11.920143,15.6
2023-12-26,9.688964,11.1
2023-12-27,2.0156832,3.1
2023-12-28,2.3245344,3.9
2023-12-29,2.4713702,3.6
2023-12-30,-0.039172173,0.9
2023-12-31,-0.3040681,0.4
2024-01-01,-3.8648562,-3.0
2024-01-02,-1.5659208,0.1
2024-01-03,-2.1489768,-0.5
2024-01-04,-1.3510363,3.3
2024-01-05,-1.454555,0.0
2024-01-06,-2.042778,1.7
2024-01-07,-2.1727233,1.7
2024-01-08,-1.1388855,0.6
2024-01-09,-1.827713,-0.5
2024-01-10,-3.9881184,-2.6
2024-01-11,-3.0063906,-1.7
2024-01-12,0.117058754,0.8
2024-01-13,-4.481512,-3.9
2024-01-14,-22.79879,-29.7
2024-01-15,-22.667988,-24.8
2024-01-16,-23.643612,-25.8
2024-01-17,-11.701744,-10.4
2024-01-18,-7.3721595,-2.8
2024-01-19,-16.247387,-16.5
2024-01-20,-13.8127165,-13.3
2024-01-21,-12.574337,-12.3
2024-01-22,-3.3347611,-2.2
2024-01-23,-1.0331364,3.3
2024-01-24,-0.17172432,3.8
2024-01-25,2.8578625,2.6
2024-01-26,2.4127364,3.6
2024-01-27,2.7158265,3.9
2024-01-28,0.39714003,0.7
2024-01-29,-1.573921,0.4
2024-01-30,1.0897112,3.2
2024-01-31,0.7040205,2.0
2024-02-01,7.5495377,13.3
2024-02-02,0.88242817,2.9
2024-02-03,-0.24722767,2.5
2024-02-04,2.0617208,4.4
2024-02-05,0.41205168,2.1
2024-02-06,2.9098177,3.6
2024-02-07,5.2367706,6.8
2024-02-08,9.731461,14.3
2024-02-09,9.359487,13.8
2024-02-10,2.2600627,2.5
2024-02-11,1.575347,4.0
2024-02-12,3.8578625,6.4
2024-02-13,-0.075321674,2.1
2024-02-14,4.3018293,8.3
2024-02-15,2.2195797,3.9
2024-02-16,-4.050738,-3.2
2024-02-17,-7.02698,-8.3
2024-02-18,1.9117603,4.8
2024-02-19,6.2527714,10.6
2024-02-20,8.410781,14.3
2024-02-21,14.184059,19.3
2024-02-22,12.164284,15.6
2024-02-23,6.8821344,11.1
2024-02-24,-1.7367411,1.7
2024-02-25,11.620586,16.1
2024-02-26,16.719856,22.2
2024-02-27,20.800274,22.2
2024-02-28,14.647335,12.2
2024-02-29,0.3897314,3.3
2024-03-01,2.75344,5.9
2024-03-02,11.797588,15.6
2024-03-03,17.251686,22.8
2024-03-04,19.33872,22.2
2024-03-05,17.268959,3.5
2024-03-06,4.563427,7.0
2024-03-07,5.9696035,7.7
2024-03-08,4.985281,6.8
2024-03-09,2.958108,4.4
2024-03-10,3.0022893,7.1
2024-03-11,13.611971,20.0
2024-03-12,17.337555,22.2
2024-03-13,19.345322,20.0
2024-03-14,17.264385,18.8
2024-03-15,8.358759,10.7
2024-03-16,9.630432,14.9
2024-03-17,0.35483646,2.7
2024-03-18,-3.1498117,
2024-03-19,7.8092346,
2024-03-20,3.2101674,
2024-03-21,1.743288,
2024-03-22,0.37784958,
2024-03-23,-1.3914342,
2024-03-24,3.7388806,
