date,openMeteo_max_temp,weatherApi_max_temp,virtualCrossing_max_temp,openWeather_max_temp,worldWeather_max_temp
2023-04-01,,12.2,12.2,19.64,12.0
2023-04-02,,14.0,13.3,9.71,14.0
2023-04-03,,15.8,16.1,15.4,16.0
2023-04-04,,20.9,21.1,15.97,21.0
2023-04-05,,21.8,22.8,21.27,21.0
2023-04-06,,12.6,11.7,13.32,12.0
2023-04-07,,10.3,8.9,11.5,10.0
2023-04-08,,14.5,17.2,15.49,15.0
2023-04-09,,17.7,20.0,18.72,19.0
2023-04-10,,19.2,21.7,20.14,19.0
2023-04-11,,22.8,26.1,24.25,23.0
2023-04-12,,25.2,28.3,25.91,25.0
2023-04-13,,25.3,28.3,27.69,26.0
2023-04-14,,23.8,28.3,28.27,24.0
2023-04-15,,25.5,27.2,27.8,25.0
2023-04-16,,17.5,20.6,27.65,17.0
2023-04-17,,5.1,4.1,5.53,5.0
2023-04-18,,14.0,14.3,11.07,14.0
2023-04-19,,17.7,21.1,18.21,17.0
2023-04-20,,22.1,26.7,22.91,22.0
2023-04-21,,17.3,16.7,26.0,17.0
2023-04-22,,9.4,8.8,16.48,9.0
2023-04-23,,8.0,5.6,6.81,8.0
2023-04-24,,10.9,11.7,10.19,12.0
2023-04-25,,8.3,8.3,11.81,8.0
2023-04-26,,9.2,9.4,10.09,8.0
2023-04-27,,16.3,18.8,17.23,18.0
2023-04-28,,14.0,15.7,19.34,14.0
2023-04-29,,13.2,14.3,16.67,13.0
2023-04-30,,8.7,8.8,13.35,9.0
2023-05-01,,8.5,10.0,7.42,8.0
2023-05-02,,9.5,12.8,11.91,9.0
2023-05-03,,12.1,13.3,13.58,13.0
2023-05-04,,18.3,22.2,20.11,19.0
2023-05-05,,22.1,25.6,24.16,21.0
2023-05-06,,20.6,26.1,25.23,20.0
2023-05-07,,27.9,28.8,28.78,28.0
2023-05-08,,17.4,20.0,29.17,17.0
2023-05-09,,16.8,20.6,20.12,17.0
2023-05-10,,22.1,26.1,24.8,23.0
2023-05-11,,25.5,28.3,27.39,26.0
2023-05-12,,20.2,24.3,28.26,20.0
2023-05-13,,19.2,20.0,24.11,19.0
2023-05-14,,14.3,18.3,19.72,14.0
2023-05-15,,17.0,19.3,19.24,17.0
2023-05-16,,23.9,27.2,24.74,24.0
2023-05-17,,16.4,16.7,26.59,17.0
2023-05-18,,21.9,23.4,21.01,22.0
2023-05-19,,18.9,23.8,23.6,20.0
2023-05-20,,18.4,21.2,23.34,19.0
2023-05-21,,24.0,26.7,25.09,24.0
2023-05-22,,23.6,27.2,27.06,24.0
2023-05-23,,26.4,28.8,28.64,27.0
2023-05-24,,18.1,21.1,28.96,18.0
2023-05-25,,16.6,16.1,20.2,15.0
2023-05-26,,18.1,20.7,20.07,19.0
2023-05-27,,21.0,22.2,22.27,22.0
2023-05-28,,22.5,25.7,25.63,24.0
2023-05-29,,25.4,28.4,28.21,26.0
