date,mean_sunrise
2023-04-01,06:34 AM
2023-04-02,06:32 AM
2023-04-03,06:31 AM
2023-04-04,06:29 AM
2023-04-05,06:27 AM
2023-04-06,06:26 AM
2023-04-07,06:24 AM
2023-04-08,06:22 AM
2023-04-09,06:21 AM
2023-04-10,06:19 AM
2023-04-11,06:17 AM
2023-04-12,06:16 AM
2023-04-13,06:14 AM
2023-04-14,06:13 AM
2023-04-15,06:11 AM
2023-04-16,06:10 AM
2023-04-17,06:08 AM
2023-04-18,06:06 AM
2023-04-19,06:05 AM
2023-04-20,06:03 AM
2023-04-21,06:02 AM
2023-04-22,06:00 AM
2023-04-23,05:59 AM
2023-04-24,05:58 AM
2023-04-25,05:56 AM
2023-04-26,05:55 AM
2023-04-27,05:53 AM
2023-04-28,05:52 AM
2023-04-29,05:51 AM
2023-04-30,05:49 AM
2023-05-01,05:48 AM
2023-05-02,05:47 AM
2023-05-03,05:45 AM
2023-05-04,05:44 AM
2023-05-05,05:43 AM
2023-05-06,05:42 AM
2023-05-07,05:40 AM
2023-05-08,05:39 AM
2023-05-09,05:38 AM
2023-05-10,05:37 AM
2023-05-11,05:36 AM
2023-05-12,05:35 AM
2023-05-13,05:34 AM
2023-05-14,05:33 AM
2023-05-15,05:32 AM
2023-05-16,05:31 AM
2023-05-17,05:30 AM
2023-05-18,05:29 AM
2023-05-19,05:28 AM
2023-05-20,05:27 AM
2023-05-21,05:26 AM
2023-05-22,05:25 AM
2023-05-23,05:25 AM
2023-05-24,05:24 AM
2023-05-25,05:23 AM
2023-05-26,05:22 AM
2023-05-27,05:22 AM
2023-05-28,05:21 AM
2023-05-29,05:21 AM
2023-05-30,05:20 AM
2023-05-31,05:20 AM
2023-06-01,05:19 AM
2023-06-02,05:19 AM
2023-06-03,05:18 AM
2023-06-04,05:18 AM
2023-06-05,05:17 AM
2023-06-06,05:17 AM
2023-06-07,05:17 AM
2023-06-08,05:17 AM
2023-06-09,05:16 AM
2023-06-10,05:16 AM
2023-06-11,05:16 AM
2023-06-12,05:16 AM
2023-06-13,05:16 AM
2023-06-14,05:16 AM
2023-06-15,05:16 AM
2023-06-16,05:16 AM
2023-06-17,05:16 AM
2023-06-18,05:16 AM
2023-06-19,05:16 AM
2023-06-20,05:16 AM
2023-06-21,05:17 AM
2023-06-22,05:17 AM
2023-06-23,05:17 AM
2023-06-24,05:17 AM
2023-06-25,05:18 AM
2023-06-26,05:18 AM
2023-06-27,05:18 AM
2023-06-28,05:19 AM
2023-06-29,05:19 AM
2023-06-30,05:20 AM
2023-07-01,05:20 AM
2023-07-02,05:21 AM
2023-07-03,05:21 AM
2023-07-04,05:22 AM
2023-07-05,05:22 AM
2023-07-06,05:23 AM
2023-07-07,05:24 AM
2023-07-08,05:24 AM
2023-07-09,05:25 AM
2023-07-10,05:26 AM
2023-07-11,05:27 AM
2023-07-12,05:27 AM
2023-07-13,05:28 AM
2023-07-14,05:29 AM
2023-07-15,05:30 AM
2023-07-16,05:30 AM
2023-07-17,05:31 AM
2023-07-18,05:32 AM
2023-07-19,05:33 AM
2023-07-20,05:34 AM
2023-07-21,05:35 AM
2023-07-22,05:36 AM
2023-07-23,05:37 AM
2023-07-24,05:38 AM
2023-07-25,05:38 AM
2023-07-26,05:39 AM
2023-07-27,05:40 AM
2023-07-28,05:41 AM
2023-07-29,05:42 AM
2023-07-30,05:43 AM
2023-07-31,05:44 AM
2023-08-01,05:45 AM
2023-08-02,05:46 AM
2023-08-03,05:47 AM
2023-08-04,05:48 AM
2023-08-05,05:49 AM
2023-08-06,05:50 AM
2023-08-07,05:51 AM
2023-08-08,05:52 AM
2023-08-09,05:53 AM
2023-08-10,05:54 AM
2023-08-11,05:55 AM
2023-08-12,05:56 AM
2023-08-13,05:57 AM
2023-08-14,05:58 AM
2023-08-15,05:59 AM
2023-08-16,06:00 AM
2023-08-17,06:01 AM
2023-08-18,06:02 AM
2023-08-19,06:03 AM
2023-08-20,06:04 AM
2023-08-21,06:05 AM
2023-08-22,06:06 AM
2023-08-23,06:07 AM
2023-08-24,06:08 AM
2023-08-25,06:09 AM
2023-08-26,06:10 AM
2023-08-27,06:11 AM
2023-08-28,06:12 AM
2023-08-29,06:13 AM
2023-08-30,06:15 AM
2023-08-31,06:16 AM
2023-09-01,06:17 AM
2023-09-02,06:18 AM
2023-09-03,06:19 AM
2023-09-04,06:20 AM
2023-09-05,06:21 AM
2023-09-06,06:22 AM
2023-09-07,06:23 AM
2023-09-08,06:24 AM
2023-09-09,06:25 AM
2023-09-10,06:26 AM
2023-09-11,06:27 AM
2023-09-12,06:28 AM
2023-09-13,06:29 AM
2023-09-14,06:30 AM
2023-09-15,06:31 AM
2023-09-16,06:32 AM
2023-09-17,06:33 AM
2023-09-18,06:34 AM
2023-09-19,06:35 AM
2023-09-20,06:36 AM
2023-09-21,06:37 AM
2023-09-22,06:38 AM
2023-09-23,06:39 AM
2023-09-24,06:40 AM
2023-09-25,06:41 AM
2023-09-26,06:42 AM
2023-09-27,06:43 AM
2023-09-28,06:44 AM
2023-09-29,06:46 AM
2023-09-30,06:47 AM
2023-10-01,06:48 AM
2023-10-02,06:49 AM
2023-10-03,06:50 AM
2023-10-04,06:51 AM
2023-10-05,06:52 AM
2023-10-06,06:53 AM
2023-10-07,06:54 AM
2023-10-08,06:55 AM
2023-10-09,06:56 AM
2023-10-10,06:58 AM
2023-10-11,06:59 AM
2023-10-12,07:00 AM
2023-10-13,07:01 AM
2023-10-14,07:02 AM
2023-10-15,07:03 AM
2023-10-16,07:04 AM
2023-10-17,07:06 AM
2023-10-18,07:07 AM
2023-10-19,07:08 AM
2023-10-20,07:09 AM
2023-10-21,07:10 AM
2023-10-22,07:11 AM
2023-10-23,07:13 AM
2023-10-24,07:14 AM
2023-10-25,07:15 AM
2023-10-26,07:16 AM
2023-10-27,07:17 AM
2023-10-28,07:19 AM
2023-10-29,07:20 AM
2023-10-30,07:21 AM
2023-10-31,07:22 AM
2023-11-01,07:23 AM
2023-11-02,07:25 AM
2023-11-03,07:26 AM
2023-11-04,07:27 AM
2023-11-05,07:28 AM
2023-11-06,06:29 AM
2023-11-07,06:30 AM
2023-11-08,06:32 AM
2023-11-09,06:33 AM
2023-11-10,06:34 AM
2023-11-11,06:35 AM
2023-11-12,06:36 AM
2023-11-13,06:38 AM
2023-11-14,06:39 AM
2023-11-15,06:40 AM
2023-11-16,06:41 AM
2023-11-17,06:43 AM
2023-11-18,06:44 AM
2023-11-19,06:45 AM
2023-11-20,06:46 AM
2023-11-21,06:47 AM
2023-11-22,06:49 AM
2023-11-23,06:50 AM
2023-11-24,06:51 AM
2023-11-25,06:52 AM
2023-11-26,06:53 AM
2023-11-27,06:54 AM
2023-11-28,06:55 AM
2023-11-29,06:57 AM
2023-11-30,06:58 AM
2023-12-01,06:59 AM
2023-12-02,07:00 AM
2023-12-03,07:01 AM
2023-12-04,07:02 AM
2023-12-05,07:03 AM
2023-12-06,07:04 AM
2023-12-07,07:05 AM
2023-12-08,07:06 AM
2023-12-09,07:07 AM
2023-12-10,07:07 AM
2023-12-11,07:08 AM
2023-12-12,07:09 AM
2023-12-13,07:10 AM
2023-12-14,07:11 AM
2023-12-15,07:11 AM
2023-12-16,07:12 AM
2023-12-17,07:13 AM
2023-12-18,07:13 AM
2023-12-19,07:14 AM
2023-12-20,07:15 AM
2023-12-21,07:15 AM
2023-12-22,07:16 AM
2023-12-23,07:16 AM
2023-12-24,07:17 AM
2023-12-25,07:17 AM
2023-12-26,07:17 AM
