date,mean_sunset
2023-04-01,2023-04-01T19:16:30
2023-04-02,2023-04-02T19:17:36
2023-04-03,2023-04-03T19:18:42
2023-04-04,2023-04-04T19:19:48
2023-04-05,2023-04-05T19:20:54
2023-04-06,2023-04-06T19:22:00
2023-04-07,2023-04-07T19:23:06
2023-04-08,2023-04-08T19:24:12
2023-04-09,2023-04-09T19:25:18
2023-04-10,2023-04-10T19:26:24
2023-04-11,2023-04-11T19:27:30
2023-04-12,2023-04-12T19:28:35
2023-04-13,2023-04-13T19:29:41
2023-04-14,2023-04-14T19:30:47
2023-04-15,2023-04-15T19:31:53
2023-04-16,2023-04-16T19:32:59
2023-04-17,2023-04-17T19:34:05
2023-04-18,2023-04-18T19:35:11
2023-04-19,2023-04-19T19:36:17
2023-04-20,2023-04-20T19:37:23
2023-04-21,2023-04-21T19:38:29
2023-04-22,2023-04-22T19:39:35
2023-04-23,2023-04-23T19:40:41
2023-04-24,2023-04-24T19:41:47
2023-04-25,2023-04-25T19:42:52
2023-04-26,2023-04-26T19:43:58
2023-04-27,2023-04-27T19:45:04
2023-04-28,2023-04-28T19:46:09
2023-04-29,2023-04-29T19:47:15
2023-04-30,2023-04-30T19:48:20
2023-05-01,2023-05-01T19:49:25
2023-05-02,2023-05-02T19:50:30
2023-05-03,2023-05-03T19:51:35
2023-05-04,2023-05-04T19:52:40
2023-05-05,2023-05-05T19:53:44
2023-05-06,2023-05-06T19:54:49
2023-05-07,2023-05-07T19:55:52
2023-05-08,2023-05-08T19:56:56
2023-05-09,2023-05-09T19:57:59
2023-05-10,2023-05-10T19:59:02
2023-05-11,2023-05-11T20:00:05
2023-05-12,2023-05-12T20:01:07
2023-05-13,2023-05-13T20:02:09
2023-05-14,2023-05-14T20:03:10
2023-05-15,2023-05-15T20:04:11
2023-05-16,2023-05-16T20:05:11
2023-05-17,2023-05-17T20:06:11
2023-05-18,2023-05-18T20:07:10
2023-05-19,2023-05-19T20:08:08
2023-05-20,2023-05-20T20:09:05
2023-05-21,2023-05-21T20:10:02
2023-05-22,2023-05-22T20:10:58
2023-05-23,2023-05-23T20:11:54
2023-05-24,2023-05-24T20:12:48
2023-05-25,2023-05-25T20:13:42
2023-05-26,2023-05-26T20:14:34
2023-05-27,2023-05-27T20:15:26
2023-05-28,2023-05-28T20:16:16
2023-05-29,2023-05-29T20:17:06
2023-05-30,2023-05-30T20:17:54
2023-05-31,2023-05-31T20:18:41
2023-06-01,2023-06-01T20:19:27
2023-06-02,2023-06-02T20:20:12
2023-06-03,2023-06-03T20:20:55
2023-06-04,2023-06-04T20:21:37
2023-06-05,2023-06-05T20:22:18
2023-06-06,2023-06-06T20:22:57
2023-06-07,2023-06-07T20:23:35
2023-06-08,2023-06-08T20:24:11
2023-06-09,2023-06-09T20:24:46
2023-06-10,2023-06-10T20:25:19
2023-06-11,2023-06-11T20:25:50
2023-06-12,2023-06-12T20:26:20
2023-06-13,2023-06-13T20:26:48
2023-06-14,2023-06-14T20:27:14
2023-06-15,2023-06-15T20:27:39
2023-06-16,2023-06-16T20:28:01
2023-06-17,2023-06-17T20:28:22
2023-06-18,2023-06-18T20:28:41
2023-06-19,2023-06-19T20:28:58
2023-06-20,2023-06-20T20:29:13
2023-06-21,2023-06-21T20:29:27
2023-06-22,2023-06-22T20:29:38
2023-06-23,2023-06-23T20:29:47
2023-06-24,2023-06-24T20:29:54
2023-06-25,2023-06-25T20:29:59
2023-06-26,2023-06-26T20:30:02
2023-06-27,2023-06-27T20:30:03
2023-06-28,2023-06-28T20:30:02
2023-06-29,2023-06-29T20:29:59
2023-06-30,2023-06-30T20:29:54
2023-07-01,2023-07-01T20:29:47
2023-07-02,2023-07-02T20:29:38
2023-07-03,2023-07-03T20:29:26
2023-07-04,2023-07-04T20:29:12
2023-07-05,2023-07-05T20:28:57
2023-07-06,2023-07-06T20:28:39
2023-07-07,2023-07-07T20:28:19
2023-07-08,2023-07-08T20:27:57
2023-07-09,2023-07-09T20:27:33
2023-07-10,2023-07-10T20:27:07
2023-07-11,2023-07-11T20:26:39
2023-07-12,2023-07-12T20:26:08
2023-07-13,2023-07-13T20:25:36
2023-07-14,2023-07-14T20:25:02
2023-07-15,2023-07-15T20:24:25
2023-07-16,2023-07-16T20:23:47
2023-07-17,2023-07-17T20:23:07
2023-07-18,2023-07-18T20:22:25
2023-07-19,2023-07-19T20:21:41
2023-07-20,2023-07-20T20:20:55
2023-07-21,2023-07-21T20:20:07
2023-07-22,2023-07-22T20:19:17
2023-07-23,2023-07-23T20:18:25
2023-07-24,2023-07-24T20:17:32
2023-07-25,2023-07-25T20:16:37
2023-07-26,2023-07-26T20:15:40
2023-07-27,2023-07-27T20:14:41
2023-07-28,2023-07-28T20:13:41
2023-07-29,2023-07-29T20:12:39
2023-07-30,2023-07-30T20:11:35
2023-07-31,2023-07-31T20:10:30
2023-08-01,2023-08-01T20:09:23
2023-08-02,2023-08-02T20:08:15
2023-08-03,2023-08-03T20:07:05
2023-08-04,2023-08-04T20:05:54
2023-08-05,2023-08-05T20:04:41
2023-08-06,2023-08-06T20:03:27
2023-08-07,2023-08-07T20:02:12
2023-08-08,2023-08-08T20:00:55
2023-08-09,2023-08-09T19:59:37
