date,openMeteo_min_apparent_temp,virtualCrossing_min_apparent_temp
2023-04-01,,-2.5
2023-04-02,,-3.6
2023-04-03,,4.7
2023-04-04,,3.1
2023-04-05,,0.8
2023-04-06,,-3.6
2023-04-07,,-0.2
2023-04-08,,1.0
2023-04-09,,4.5
2023-04-10,,7.7
2023-04-11,,11.7
2023-04-12,,15.0
2023-04-13,,13.8
2023-04-14,,14.3
2023-04-15,,19.3
2023-04-16,,-4.4
2023-04-17,,-5.9
2023-04-18,,-2.6
2023-04-19,,4.8
2023-04-20,,11.2
2023-04-21,,5.4
2023-04-22,,-1.6
2023-04-23,,-1.9
2023-04-24,,-0.9
2023-04-25,,0.5
2023-04-26,,-1.3
2023-04-27,,1.4
2023-04-28,,7.4
2023-04-29,,3.8
2023-04-30,,0.8
2023-05-01,,0.3
2023-05-02,,2.1
2023-05-03,,1.8
2023-05-04,,4.7
2023-05-05,,13.3
2023-05-06,,15.6
2023-05-07,,16.1
2023-05-08,,11.1
2023-05-09,,8.2
2023-05-10,,11.1
2023-05-11,,14.3
2023-05-12,,16.1
2023-05-13,,13.8
2023-05-14,,12.8
2023-05-15,,11.7
2023-05-16,,10.7
2023-05-17,,4.9
2023-05-18,,7.2
2023-05-19,,15.0
2023-05-20,,8.2
2023-05-21,,12.8
2023-05-22,,13.4
2023-05-23,,16.7
2023-05-24,,12.8
2023-05-25,,10.0
2023-05-26,,10.0
2023-05-27,,8.9
2023-05-28,,13.8
2023-05-29,,13.3
2023-05-30,,17.8
2023-05-31,,21.1
2023-06-01,,21.1
2023-06-02,,20.6
2023-06-03,,20.0
2023-06-04,,17.8
2023-06-05,,14.3
2023-06-06,,16.7
2023-06-07,,15.6
2023-06-08,,13.3
2023-06-09,,12.8
2023-06-10,,16.7
2023-06-11,,11.7
2023-06-12,,11.1
2023-06-13,,13.8
2023-06-14,,15.0
2023-06-15,,12.8
2023-06-16,,12.2
2023-06-17,,12.2
2023-06-18,,17.2
2023-06-19,,18.8
2023-06-20,,16.7
2023-06-21,,20.0
2023-06-22,,21.1
2023-06-23,,20.6
2023-06-24,,18.8
2023-06-25,,20.0
2023-06-26,,20.6
2023-06-27,,18.8
2023-06-28,,15.6
2023-06-29,,22.8
2023-06-30,,21.7
2023-07-01,,22.8
2023-07-02,,18.9
2023-07-03,,17.8
2023-07-04,,21.1
2023-07-05,,21.7
2023-07-06,,21.1
2023-07-07,,18.8
2023-07-08,,18.3
2023-07-09,,16.1
2023-07-10,,18.3
2023-07-11,,20.6
2023-07-12,,17.8
2023-07-13,,18.3
2023-07-14,,20.6
2023-07-15,,21.2
2023-07-16,,19.3
2023-07-17,,18.8
2023-07-18,,17.8
2023-07-19,,17.2
2023-07-20,,22.2
2023-07-21,,20.6
2023-07-22,,18.3
2023-07-23,,18.3
2023-07-24,,21.1
2023-07-25,,21.1
2023-07-26,,24.3
2023-07-27,,23.8
2023-07-28,,22.8
2023-07-29,,21.1
2023-07-30,,20.6
2023-07-31,,17.8
2023-08-01,,20.6
2023-08-02,,20.6
2023-08-03,,19.3
2023-08-04,,22.8
2023-08-05,,20.7
2023-08-06,,19.3
2023-08-07,,20.6
2023-08-08,,18.3
2023-08-09,,18.8
2023-08-10,,18.4
2023-08-11,,21.7
2023-08-12,,22.2
2023-08-13,,20.0
2023-08-14,,18.8
2023-08-15,,17.2
2023-08-16,,15.6
2023-08-17,,18.8
2023-08-18,,15.0
2023-08-19,,17.2
2023-08-20,,22.2
2023-08-21,,21.7
2023-08-22,,21.7
2023-08-23,,23.9
2023-08-24,,25.7
2023-08-25,,22.2
2023-08-26,,20.0
2023-08-27,,19.3
2023-08-28,,15.6
2023-08-29,,17.2
2023-08-30,,15.0
2023-08-31,,12.9
2023-09-01,,16.1
2023-09-02,,18.3
2023-09-03,,20.7
2023-09-04,,21.7
2023-09-05,,24.3
2023-09-06,,19.4
2023-09-07,,18.9
2023-09-08,,16.2
2023-09-09,,13.4
2023-09-10,,12.8
2023-09-11,,16.2
2023-09-12,,13.4
2023-09-13,,12.2
2023-09-14,,11.2
2023-09-15,,12.2
2023-09-16,,16.1
2023-09-17,,14.4
2023-09-18,,11.7
2023-09-19,,14.3
2023-09-20,,16.2
2023-09-21,,19.3
2023-09-22,,18.8
2023-09-23,,17.9
2023-09-24,,15.0
2023-09-25,,17.2
2023-09-26,,18.3
2023-09-27,,17.8
2023-09-28,,17.8
2023-09-29,,14.4
2023-09-30,,16.1
2023-10-01,,17.2
2023-10-02,,18.3
2023-10-03,,18.8
2023-10-04,,21.7
2023-10-05,,17.2
2023-10-06,,5.1
2023-10-07,,4.3
2023-10-08,,5.1
2023-10-09,,4.2
2023-10-10,,2.4
2023-10-11,4.9093704,2.8
2023-10-12,9.97424,12.2
2023-10-13,9.78037,12.9
2023-10-14,7.04387,11.7
2023-10-15,5.1727953,4.6
2023-10-16,6.193512,6.2
2023-10-17,1.6458936,5.0
2023-10-18,4.5264616,5.9
2023-10-19,10.0161085,12.2
2023-10-20,6.938572,7.1
2023-10-21,4.76091,5.9
2023-10-22,2.7619905,2.7
2023-10-23,3.2009087,5.1
2023-10-24,10.7846775,15.0
2023-10-25,14.103899,15.7
2023-10-26,16.804607,17.9
2023-10-27,6.954137,7.7
2023-10-28,0.6735239,1.3
2023-10-29,0.80853367,-0.6
2023-10-30,-4.4296613,-3.6
2023-10-31,-5.505152,-5.8
2023-11-01,-5.548276,-6.1
2023-11-02,-3.9344049,-3.2
2023-11-03,1.553916,2.8
2023-11-04,3.7275724,3.8
2023-11-05,0.23830414,1.4
2023-11-06,6.5661936,12.2
2023-11-07,4.572216,5.5
2023-11-08,3.5235686,5.9
2023-11-09,2.097178,3.2
2023-11-10,-0.3502617,0.0
2023-11-11,-3.5879707,-1.7
2023-11-12,1.3218422,3.2
2023-11-13,0.2893753,1.3
2023-11-14,-2.4610956,1.3
2023-11-15,1.3759508,3.4
