date,openMeteo_min_temp,weatherApi_min_temp,virtualCrossing_min_temp,openWeather_min_temp,worldWeather_min_temp
2023-04-01,,1.2,2.2,2.41,1.0
2023-04-02,,-0.9,0.0,-1.19,-1.0
2023-04-03,,5.0,7.8,6.57,5.0
2023-04-04,,5.5,7.2,6.67,5.0
2023-04-05,,7.1,5.0,11.69,7.0
2023-04-06,,-0.5,0.6,-0.22,-1.0
2023-04-07,,1.6,3.3,2.11,2.0
2023-04-08,,4.9,3.8,2.3,5.0
2023-04-09,,5.7,6.7,5.54,7.0
2023-04-10,,8.0,9.3,8.31,8.0
2023-04-11,,10.6,11.7,10.62,10.0
2023-04-12,,13.6,15.0,14.28,14.0
2023-04-13,,12.6,13.8,13.05,14.0
2023-04-14,,12.3,14.3,12.77,12.0
2023-04-15,,14.1,19.3,17.82,14.0
2023-04-16,,3.4,1.7,4.99,4.0
2023-04-17,,1.2,0.6,-0.29,1.0
2023-04-18,,2.0,1.1,0.23,2.0
2023-04-19,,5.9,6.7,6.11,6.0
2023-04-20,,11.6,11.2,9.36,11.0
2023-04-21,,8.3,7.2,6.35,8.0
2023-04-22,,4.1,3.8,4.18,4.0
2023-04-23,,1.6,2.2,1.73,1.0
2023-04-24,,2.2,2.2,1.27,2.0
2023-04-25,,3.8,3.8,3.75,4.0
2023-04-26,,2.7,1.7,0.23,3.0
2023-04-27,,3.1,3.8,1.74,3.0
2023-04-28,,8.2,8.8,7.48,8.0
2023-04-29,,6.2,6.1,5.6,6.0
2023-04-30,,4.2,4.4,4.09,4.0
2023-05-01,,4.0,5.0,4.34,4.0
2023-05-02,,4.0,6.1,5.41,4.0
2023-05-03,,2.0,5.6,3.64,2.0
2023-05-04,,4.2,5.6,4.35,4.0
2023-05-05,,10.9,13.3,12.09,11.0
2023-05-06,,12.1,15.6,14.64,12.0
2023-05-07,,13.0,16.1,18.33,13.0
2023-05-08,,11.6,11.1,10.98,11.0
2023-05-09,,8.6,9.3,8.35,9.0
2023-05-10,,8.8,11.1,9.51,9.0
2023-05-11,,13.9,14.3,12.84,14.0
2023-05-12,,15.8,16.1,18.14,16.0
2023-05-13,,13.0,13.8,13.75,13.0
2023-05-14,,11.4,12.8,14.23,11.0
2023-05-15,,11.4,11.7,10.66,11.0
2023-05-16,,10.9,10.7,10.1,11.0
2023-05-17,,8.8,8.3,7.22,8.0
2023-05-18,,9.3,8.3,6.62,9.0
2023-05-19,,12.3,15.0,17.39,12.0
2023-05-20,,8.7,10.0,8.5,8.0
2023-05-21,,12.6,12.8,11.1,12.0
2023-05-22,,12.7,13.4,13.13,13.0
2023-05-23,,15.9,16.7,13.87,16.0
2023-05-24,,11.2,12.8,15.26,11.0
2023-05-25,,8.7,10.0,8.84,9.0
2023-05-26,,8.8,10.0,6.89,10.0
2023-05-27,,9.7,9.3,8.69,10.0
2023-05-28,,13.3,13.8,12.52,13.0
2023-05-29,,12.2,13.3,12.34,12.0
2023-05-30,,15.0,17.8,15.28,15.0
2023-05-31,,18.0,21.1,19.58,18.0
2023-06-01,,18.6,21.1,18.23,19.0
2023-06-02,,19.2,20.6,17.63,19.0
2023-06-03,,17.3,20.0,17.94,18.0
2023-06-04,,16.8,17.8,18.44,17.0
2023-06-05,,15.0,14.3,13.69,15.0
2023-06-06,,16.8,16.7,16.96,17.0
2023-06-07,,15.2,15.6,14.38,15.0
2023-06-08,,13.1,13.3,11.64,13.0
2023-06-09,,13.8,12.8,11.69,14.0
2023-06-10,,16.5,16.7,14.28,16.0
2023-06-11,,12.7,11.7,13.35,13.0
2023-06-12,,10.2,11.1,9.77,10.0
2023-06-13,,13.4,13.8,12.79,13.0
2023-06-14,,13.5,15.0,14.32,13.0
2023-06-15,,13.3,12.8,15.27,13.0
2023-06-16,,12.0,12.2,10.91,12.0
2023-06-17,,12.8,12.2,10.79,13.0
2023-06-18,,16.1,17.2,15.15,16.0
2023-06-19,,19.2,18.8,16.48,19.0
2023-06-20,,17.4,16.7,15.68,17.0
2023-06-21,,18.2,20.0,16.89,18.0
2023-06-22,,19.0,21.1,18.47,19.0
2023-06-23,,17.4,20.6,18.36,17.0
2023-06-24,,19.1,18.8,17.02,19.0
2023-06-25,,19.8,20.0,19.25,20.0
2023-06-26,,17.7,20.6,19.41,18.0
2023-06-27,,15.9,18.8,17.64,17.0
2023-06-28,,16.6,15.6,13.06,17.0
2023-06-29,,19.3,22.8,21.2,19.0
2023-06-30,,20.2,21.7,20.78,20.0
2023-07-01,,20.5,22.8,20.8,21.0
2023-07-02,,17.6,18.9,19.61,18.0
2023-07-03,,16.9,17.8,16.72,17.0
2023-07-04,,18.9,21.1,19.19,19.0
2023-07-05,,21.0,21.7,22.13,21.0
2023-07-06,,17.6,21.1,20.24,18.0
2023-07-07,,16.8,18.8,16.26,17.0
2023-07-08,,16.9,18.3,17.75,17.0
2023-07-09,,14.4,16.1,14.66,15.0
2023-07-10,,16.6,18.3,16.17,17.0
2023-07-11,,18.6,20.6,20.27,19.0
2023-07-12,,17.5,17.8,16.56,18.0
2023-07-13,,17.6,18.3,17.24,17.0
2023-07-14,,18.3,20.6,19.81,18.0
2023-07-15,,20.5,21.2,19.96,20.0
2023-07-16,,18.4,19.3,18.45,18.0
2023-07-17,,17.2,18.8,17.73,17.0
2023-07-18,,16.9,17.8,15.11,17.0
2023-07-19,,15.5,17.2,14.85,16.0
2023-07-20,,20.0,22.2,19.59,20.0
2023-07-21,,18.3,20.6,18.24,18.0
2023-07-22,,18.2,18.3,16.1,19.0
2023-07-23,,17.6,18.3,17.21,18.0
