date,openMeteo_total_precipitation,virtualCrossing_total_precipitation,openWeather_total_precipitation,weatherApi_total_precipitation
2023-04-01,,1.593,7.02,0.5
2023-04-02,,0.0,0.0,0.0
2023-04-03,,1.398,0.0,7.5
2023-04-04,,8.388,6.24,6.3
2023-04-05,,3.145,5.23,18.7
2023-04-06,,0.0,0.0,0.0
2023-04-07,,0.0,0.0,0.0
2023-04-08,,0.0,0.0,0.0
2023-04-09,,0.0,0.0,0.0
2023-04-10,,0.0,0.0,0.0
2023-04-11,,0.0,0.0,0.0
2023-04-12,,0.0,0.0,0.0
2023-04-13,,0.0,0.0,0.0
2023-04-14,,0.0,0.0,0.0
2023-04-15,,2.281,0.0,0.2
2023-04-16,,3.809,9.65,15.1
2023-04-17,,0.307,7.61,2.0
2023-04-18,,0.0,0.0,0.0
2023-04-19,,1.987,0.0,0.1
2023-04-20,,2.602,21.18,7.75
2023-04-21,,0.0,2.17,0.2
2023-04-22,,0.801,0.0,0.6
2023-04-23,,0.0,0.28,1.3
2023-04-24,,0.0,0.0,0.4
2023-04-25,,3.534,7.73,1.9
2023-04-26,,0.0,0.0,0.0
2023-04-27,,0.0,0.0,0.0
2023-04-28,,0.0,0.0,0.0
2023-04-29,,0.907,3.34,2.9
2023-04-30,,4.223,0.0,3.1
2023-05-01,,1.504,12.3,7.7
2023-05-02,,0.0,3.8,0.2
2023-05-03,,0.0,0.0,0.0
2023-05-04,,0.0,0.0,0.0
2023-05-05,,0.0,0.0,0.0
2023-05-06,,0.803,4.82,9.6
2023-05-07,,1.215,1.51,18.1
2023-05-08,,1.922,12.82,17.45
2023-05-09,,0.0,0.0,0.0
2023-05-10,,0.0,0.0,0.0
2023-05-11,,0.0,0.0,0.0
2023-05-12,,8.008,0.71,16.8
2023-05-13,,0.006,9.18,2.9
2023-05-14,,0.301,2.53,2.2
2023-05-15,,0.0,4.04,0.0
2023-05-16,,0.0,0.0,0.0
2023-05-17,,0.0,0.0,0.0
