date,openMeteo_wind_speed,virtualCrossing_wind_speed,openWeather_wind_speed,weatherApi_wind_speed
2023-04-01,,40.6,46.296,29.5
2023-04-02,,35.3,33.336,25.6
2023-04-03,,31.7,35.172,18.7
2023-04-04,,27.8,31.5,30.2
2023-04-05,,48.1,48.168000000000006,35.5
2023-04-06,,29.4,46.296,20.9
2023-04-07,,20.5,25.92,16.6
2023-04-08,,18.4,20.376,16.9
2023-04-09,,25.8,25.92,13.0
2023-04-10,,22.2,20.376,14.0
2023-04-11,,29.5,22.212,22.0
2023-04-12,,38.9,33.336,27.0
2023-04-13,,25.9,38.88,20.5
2023-04-14,,20.5,25.92,15.1
2023-04-15,,49.8,27.791999999999998,23.8
2023-04-16,,38.8,35.172,30.3
2023-04-17,,37.0,38.88,30.6
2023-04-18,,22.3,35.172,17.3
2023-04-19,,29.5,29.628000000000004,19.1
2023-04-20,,46.4,33.336,29.2
2023-04-21,,29.5,46.296,20.9
2023-04-22,,31.6,31.5,22.0
2023-04-23,,20.4,25.92,16.6
2023-04-24,,27.7,25.92,14.8
2023-04-25,,27.7,27.791999999999998,14.4
2023-04-26,,24.0,27.791999999999998,16.6
2023-04-27,,24.1,24.084000000000003,13.0
2023-04-28,,24.1,24.084000000000003,16.2
2023-04-29,,27.7,24.084000000000003,20.9
2023-04-30,,31.6,27.791999999999998,26.0
2023-05-01,,33.5,33.336,29.5
2023-05-02,,37.0,33.336,22.7
2023-05-03,,29.4,37.044,18.6
2023-05-04,,24.0,18.503999999999998,15.5
2023-05-05,,31.6,31.5,17.6
2023-05-06,,29.5,27.791999999999998,21.6
2023-05-07,,29.5,29.628000000000004,15.8
2023-05-08,,24.1,29.628000000000004,15.8
2023-05-09,,22.2,24.084000000000003,17.3
2023-05-10,,22.3,22.212,10.8
2023-05-11,,20.5,22.212,11.9
2023-05-12,,18.3,20.376,10.4
2023-05-13,,27.6,22.212,15.9
2023-05-14,,24.1,27.791999999999998,17.6
2023-05-15,,24.1,24.084000000000003,13.8
2023-05-16,,31.6,14.832,17.6
2023-05-17,,27.7,31.5,19.2
2023-05-18,,20.5,24.084000000000003,16.2
2023-05-19,,27.6,20.376,17.3
2023-05-20,,18.4,27.791999999999998,18.7
2023-05-21,,22.3,18.503999999999998,11.5
2023-05-22,,25.9,22.212,16.6
2023-05-23,,22.3,25.92,10.3
2023-05-24,,29.6,29.628000000000004,23.0
2023-05-25,,29.5,29.628000000000004,17.6
2023-05-26,,20.5,24.084000000000003,15.5
2023-05-27,,24.1,22.212,14.4
2023-05-28,,24.1,24.084000000000003,15.1
2023-05-29,,18.4,24.084000000000003,12.6
2023-05-30,,24.1,18.503999999999998,13.5
2023-05-31,,22.2,24.084000000000003,10.8
2023-06-01,,25.8,22.212,11.5
2023-06-02,,22.2,25.92,16.6
2023-06-03,,27.7,22.212,15.8
2023-06-04,,22.3,27.791999999999998,16.9
2023-06-05,,20.5,22.212,13.0
2023-06-06,,25.9,25.92,15.5
2023-06-07,,29.5,22.212,16.6
2023-06-08,,24.1,29.628000000000004,18.7
2023-06-09,,20.4,24.084000000000003,15.5
2023-06-10,,18.3,20.376,14.8
2023-06-11,,40.6,27.791999999999998,25.9
2023-06-12,,31.6,40.752,20.0
2023-06-13,,29.5,25.92,19.1
2023-06-14,,16.5,29.628000000000004,13.0
2023-06-15,,29.5,24.084000000000003,18.7
2023-06-16,,27.6,29.628000000000004,16.4
2023-06-17,,22.3,24.084000000000003,12.2
2023-06-18,,24.1,22.212,10.2
2023-06-19,,25.9,24.084000000000003,16.6
2023-06-20,,27.7,25.92,16.2
2023-06-21,,29.5,27.791999999999998,16.2
2023-06-22,,29.5,29.628000000000004,16.9
2023-06-23,,20.5,29.628000000000004,15.8
2023-06-24,,22.3,20.376,10.4
2023-06-25,,46.3,33.336,28.6
2023-06-26,,33.5,46.296,20.8
2023-06-27,,25.8,33.336,20.5
2023-06-28,,20.5,20.376,11.5
2023-06-29,,22.3,22.212,17.6
2023-06-30,,24.1,22.212,13.0
2023-07-01,,16.4,24.084000000000003,9.4
2023-07-02,,24.8,25.92,14.9
2023-07-03,,18.3,24.084000000000003,10.3
2023-07-04,,22.2,18.503999999999998,14.4
2023-07-05,,32.3,22.212,16.9
2023-07-06,,22.2,25.92,14.4
2023-07-07,,22.2,16.668,8.3
2023-07-08,,18.3,22.212,13.7
2023-07-09,,16.5,18.503999999999998,9.0
2023-07-10,,24.1,24.084000000000003,16.9
2023-07-11,,29.5,22.212,15.5
2023-07-12,,31.6,29.628000000000004,21.0
2023-07-13,,14.7,31.5,12.7
2023-07-14,,40.5,20.376,15.8
2023-07-15,,24.0,40.752,16.2
2023-07-16,,27.7,24.084000000000003,17.6
2023-07-17,,22.3,27.791999999999998,15.1
2023-07-18,,20.4,20.376,14.4
2023-07-19,,14.7,20.376,11.2
2023-07-20,,31.7,31.5,23.0
2023-07-21,,20.4,31.5,16.9
2023-07-22,,22.3,18.503999999999998,13.0
2023-07-23,,20.5,22.212,13.3
2023-07-24,,18.3,18.503999999999998,13.0
2023-07-25,,20.5,18.503999999999998,16.9
2023-07-26,,24.0,22.212,25.9
2023-07-27,,20.5,24.084000000000003,15.5
2023-07-28,,36.9,37.044,19.1
2023-07-29,,37.0,37.044,19.7
2023-07-30,,24.1,24.084000000000003,18.4
2023-07-31,,18.3,20.376,11.5
2023-08-01,,20.5,20.376,15.1
2023-08-02,,20.5,18.503999999999998,16.6
2023-08-03,,18.3,20.376,12.6
2023-08-04,,25.9,18.503999999999998,19.1
2023-08-05,,31.5,24.084000000000003,14.8
2023-08-06,,31.6,31.5,23.2
2023-08-07,,24.1,24.084000000000003,14.4
2023-08-08,,20.5,20.376,14.4
2023-08-09,,20.4,20.376,15.8
2023-08-10,,24.1,18.503999999999998,15.5
2023-08-11,,46.1,46.296,24.8
2023-08-12,,24.1,29.628000000000004,16.3
2023-08-13,,18.3,22.212,14.0
2023-08-14,,27.6,18.503999999999998,23.2
2023-08-15,,27.6,27.791999999999998,23.2
2023-08-16,,25.9,24.084000000000003,17.6
2023-08-17,,31.6,27.791999999999998,25.3
2023-08-18,,16.5,31.5,9.0
2023-08-19,,25.9,22.212,19.8
2023-08-20,,16.6,25.92,17.3
2023-08-21,,22.3,20.376,15.8
2023-08-22,,20.4,22.212,15.1
2023-08-23,,31.6,25.92,19.8
2023-08-24,,29.5,31.5,24.5
2023-08-25,,18.3,29.628000000000004,16.9
2023-08-26,,31.7,27.791999999999998,19.4
