date,openMeteo_max_apparent_temp,virtualCrossing_max_apparent_temp
2023-04-01,,31.8
2023-04-02,,32.1
2023-04-03,,31.6
2023-04-04,,31.9
2023-04-05,,31.2
2023-04-06,,31.2
2023-04-07,,29.9
2023-04-08,,31.0
2023-04-09,,30.7
2023-04-10,,25.8
2023-04-11,,24.3
2023-04-12,,23.7
2023-04-13,,32.6
2023-04-14,,33.6
2023-04-15,,34.8
2023-04-16,,35.7
2023-04-17,,32.5
2023-04-18,,28.4
2023-04-19,,27.6
2023-04-20,,29.7
2023-04-21,,29.5
2023-04-22,,31.5
2023-04-23,,32.1
2023-04-24,,29.5
2023-04-25,,31.5
2023-04-26,,33.4
2023-04-27,,33.6
2023-04-28,,34.7
2023-04-29,,36.9
2023-04-30,,32.0
2023-05-01,,29.4
2023-05-02,,31.7
2023-05-03,,32.4
2023-05-04,,29.7
2023-05-05,,31.4
2023-05-06,,32.0
2023-05-07,,30.1
2023-05-08,,29.5
2023-05-09,,31.6
2023-05-10,,32.8
2023-05-11,,32.0
2023-05-12,,32.2
2023-05-13,,30.8
2023-05-14,,33.0
2023-05-15,,34.2
2023-05-16,,33.2
2023-05-17,,33.4
2023-05-18,,33.6
2023-05-19,,33.1
2023-05-20,,35.8
2023-05-21,,34.1
2023-05-22,,34.9
2023-05-23,,33.4
2023-05-24,,34.4
2023-05-25,,31.9
2023-05-26,,30.8
2023-05-27,,32.1
2023-05-28,,34.9
2023-05-29,,33.4
2023-05-30,,34.9
2023-05-31,,34.8
2023-06-01,,35.5
2023-06-02,,33.3
2023-06-03,,33.5
2023-06-04,,35.6
2023-06-05,,34.8
2023-06-06,,31.9
2023-06-07,,34.8
2023-06-08,,36.3
2023-06-09,,36.2
2023-06-10,,36.4
2023-06-11,,37.4
2023-06-12,,37.2
2023-06-13,,40.5
2023-06-14,,40.3
2023-06-15,,39.3
2023-06-16,,39.2
2023-06-17,,38.9
2023-06-18,,39.1
2023-06-19,,39.7
2023-06-20,,38.8
2023-06-21,,37.8
2023-06-22,,38.6
2023-06-23,,41.8
2023-06-24,,42.2
2023-06-25,,38.7
2023-06-26,,37.3
2023-06-27,,39.5
2023-06-28,,39.8
2023-06-29,,40.8
2023-06-30,,37.3
2023-07-01,,37.4
2023-07-02,,40.3
2023-07-03,,41.0
2023-07-04,,40.0
2023-07-05,,40.9
2023-07-06,,41.1
2023-07-07,,41.6
2023-07-08,,40.5
2023-07-09,,43.1
2023-07-10,,42.1
2023-07-11,,41.2
2023-07-12,,40.4
2023-07-13,,41.4
2023-07-14,,40.1
2023-07-15,,39.8
2023-07-16,,42.4
2023-07-17,,40.0
2023-07-18,,39.3
2023-07-19,,39.0
2023-07-20,,40.7
2023-07-21,,41.1
2023-07-22,,43.1
2023-07-23,,41.5
2023-07-24,,41.3
2023-07-25,,39.2
2023-07-26,,37.9
2023-07-27,,36.3
2023-07-28,,36.9
2023-07-29,,39.6
2023-07-30,,40.6
2023-07-31,,41.5
2023-08-01,,38.5
2023-08-02,,39.1
2023-08-03,,38.6
2023-08-04,,38.7
2023-08-05,,39.1
2023-08-06,,42.0
2023-08-07,,43.5
2023-08-08,,44.3
2023-08-09,,44.8
2023-08-10,,42.7
2023-08-11,,40.8
2023-08-12,,40.7
2023-08-13,,42.3
2023-08-14,,41.6
2023-08-15,,41.4
2023-08-16,,39.7
2023-08-17,,39.2
2023-08-18,,37.7
2023-08-19,,38.2
2023-08-20,,36.6
2023-08-21,,38.8
2023-08-22,,37.5
2023-08-23,,38.7
2023-08-24,,36.5
2023-08-25,,38.6
2023-08-26,,39.6
2023-08-27,,40.4
2023-08-28,,40.1
2023-08-29,,42.5
2023-08-30,,41.7
2023-08-31,,43.3
2023-09-01,,40.1
2023-09-02,,36.8
2023-09-03,,33.9
2023-09-04,,35.0
2023-09-05,,35.4
2023-09-06,,34.1
2023-09-07,,35.5
2023-09-08,,35.7
2023-09-09,,35.9
2023-09-10,,37.5
2023-09-11,,38.2
2023-09-12,,39.2
2023-09-13,,38.4
2023-09-14,,38.5
2023-09-15,,38.9
2023-09-16,,37.2
2023-09-17,,37.5
2023-09-18,,38.8
2023-09-19,,38.3
2023-09-20,,37.8
2023-09-21,,37.8
2023-09-22,,34.4
2023-09-23,,32.8
2023-09-24,,36.7
2023-09-25,,41.3
2023-09-26,,40.1
2023-09-27,,37.0
2023-09-28,,36.0
2023-09-29,,40.3
2023-09-30,,40.5
2023-10-01,,37.6
2023-10-02,,32.7
2023-10-03,,33.6
2023-10-04,,34.5
2023-10-05,,36.9
2023-10-06,,36.6
2023-10-07,,36.6
2023-10-08,,35.7
2023-10-09,,33.4
2023-10-10,,36.1
2023-10-11,36.19232,35.9
2023-10-12,34.58837,39.6
2023-10-13,37.9535,39.3
2023-10-14,35.266586,36.4
2023-10-15,34.45547,34.5
2023-10-16,25.496822,25.3
2023-10-17,24.324175,24.2
2023-10-18,29.683178,28.5
2023-10-19,31.801655,30.0
2023-10-20,34.086132,30.8
2023-10-21,34.22183,32.0
2023-10-22,34.15437,29.9
2023-10-23,33.24616,30.7
2023-10-24,29.64149,30.6
2023-10-25,31.359375,30.3
2023-10-26,30.112717,30.7
2023-10-27,30.145798,31.1
2023-10-28,30.574924,30.4
2023-10-29,31.712536,32.5
2023-10-30,33.675205,34.2
2023-10-31,35.205,34.2
2023-11-01,31.283718,31.2
2023-11-02,27.097784,26.6
2023-11-03,27.546358,29.3
2023-11-04,29.34267,30.2
2023-11-05,32.128784,30.8
2023-11-06,30.143314,29.3
2023-11-07,31.885605,30.6
2023-11-08,31.17477,30.2
2023-11-09,33.132355,30.9
2023-11-10,34.659542,35.5
2023-11-11,34.157436,33.4
2023-11-12,33.525135,32.4
2023-11-13,32.66546,32.6
2023-11-14,31.22332,30.5
2023-11-15,27.339504,25.9
2023-11-16,29.268421,28.8
2023-11-17,31.230896,29.9
2023-11-18,26.764393,25.8
2023-11-19,29.97445,30.1
2023-11-20,30.61874,30.2
2023-11-21,28.050415,29.3
2023-11-22,31.825825,31.4
2023-11-23,32.302235,30.4
2023-11-24,31.994843,29.5
2023-11-25,31.472755,30.2
2023-11-26,31.351147,31.4
2023-11-27,29.373013,27.7
2023-11-28,24.47338,24.1
2023-11-29,23.392733,24.2
2023-11-30,26.231524,27.3
2023-12-01,32.139156,32.4
2023-12-02,31.916866,33.1
2023-12-03,33.32522,33.8
2023-12-04,32.1973,30.4
2023-12-05,29.910217,28.3
2023-12-06,19.822659,21.5
2023-12-07,22.28387,23.8
2023-12-08,26.048573,25.6
2023-12-09,27.89748,28.1
2023-12-10,29.949558,29.8
2023-12-11,27.567715,22.2
2023-12-12,24.21853,24.4
2023-12-13,25.30651,23.8
2023-12-14,23.501404,22.8
2023-12-15,21.279308,23.4
2023-12-16,25.185411,24.2
2023-12-17,26.468525,25.8
2023-12-18,20.3499,23.1
2023-12-19,20.631248,22.9
2023-12-20,19.96343,21.6
2023-12-21,21.696774,24.6
2023-12-22,23.88741,23.7
2023-12-23,25.125492,24.6
2023-12-24,24.822414,25.2
2023-12-25,26.3989,24.4
2023-12-26,29.939453,29.8
2023-12-27,25.80619,24.3
2023-12-28,21.874537,19.6
2023-12-29,19.871416,21.1
2023-12-30,17.508688,18.2
2023-12-31,20.056322,21.2
2024-01-01,22.730154,22.4
2024-01-02,20.195549,21.8
2024-01-03,21.483664,22.8
2024-01-04,26.258461,25.6
2024-01-05,24.708088,25.2
2024-01-06,28.137932,26.5
2024-01-07,26.970964,22.8
2024-01-08,23.916458,23.7
2024-01-09,27.643349,26.3
2024-01-10,26.46541,24.6
2024-01-11,23.336857,21.5
2024-01-12,32.40425,32.6
2024-01-13,30.484085,32.2
2024-01-14,24.732927,23.4
2024-01-15,29.503025,29.0
2024-01-16,32.050972,32.3
2024-01-17,25.360785,23.8
2024-01-18,29.82336,28.6
2024-01-19,30.23896,24.0
2024-01-20,23.011372,23.0
2024-01-21,19.00336,21.1
2024-01-22,21.044224,23.3
