date,openMeteo_max_temp,weatherApi_max_temp,virtualCrossing_max_temp,openWeather_max_temp,worldWeather_max_temp
2023-04-01,,29.6,29.3,29.2,29.0
2023-04-02,,30.1,31.2,30.27,30.0
2023-04-03,,29.9,30.0,29.91,29.0
2023-04-04,,29.8,30.1,29.75,29.0
2023-04-05,,29.9,29.3,29.56,29.0
2023-04-06,,29.3,29.3,29.07,29.0
2023-04-07,,28.0,29.0,28.77,28.0
2023-04-08,,29.9,29.5,29.21,29.0
2023-04-09,,30.9,30.1,30.39,30.0
2023-04-10,,25.9,25.8,27.46,25.0
2023-04-11,,23.8,24.3,23.83,24.0
2023-04-12,,25.5,23.7,23.03,25.0
2023-04-13,,27.9,29.8,29.58,27.0
2023-04-14,,30.3,31.6,31.14,30.0
2023-04-15,,30.5,31.3,30.85,30.0
2023-04-16,,30.8,30.9,30.72,30.0
2023-04-17,,29.6,30.4,30.31,29.0
2023-04-18,,27.9,28.3,29.82,27.0
2023-04-19,,27.5,27.3,27.07,27.0
2023-04-20,,27.4,28.6,28.36,27.0
2023-04-21,,28.6,27.8,28.49,28.0
2023-04-22,,29.5,31.2,30.25,29.0
2023-04-23,,30.1,29.8,29.51,29.0
2023-04-24,,28.8,27.7,28.85,28.0
2023-04-25,,28.8,29.0,28.99,29.0
2023-04-26,,31.2,30.7,30.11,30.0
2023-04-27,,30.0,31.1,30.65,30.0
2023-04-28,,31.5,30.4,30.53,31.0
2023-04-29,,31.4,32.0,31.25,31.0
2023-04-30,,30.9,29.8,31.46,30.0
2023-05-01,,30.1,29.3,29.29,29.0
2023-05-02,,31.3,31.6,30.74,30.0
2023-05-03,,32.8,31.7,31.25,32.0
2023-05-04,,31.1,30.6,31.54,30.0
2023-05-05,,30.7,30.7,29.54,30.0
2023-05-06,,28.5,30.1,29.94,28.0
2023-05-07,,27.4,28.4,29.07,27.0
2023-05-08,,29.5,28.6,28.6,29.0
2023-05-09,,30.9,30.1,29.7,30.0
2023-05-10,,31.4,32.3,31.28,31.0
2023-05-11,,30.8,30.4,30.85,30.0
2023-05-12,,29.6,30.3,29.56,29.0
2023-05-13,,29.7,30.2,29.34,29.0
2023-05-14,,30.1,30.2,29.31,29.0
2023-05-15,,29.2,31.4,29.75,29.0
2023-05-16,,31.4,31.8,31.0,31.0
2023-05-17,,31.9,31.6,31.6,32.0
2023-05-18,,31.6,31.0,30.83,31.0
2023-05-19,,31.2,30.1,30.87,30.0
2023-05-20,,31.3,31.2,30.76,31.0
2023-05-21,,31.4,30.5,30.47,31.0
2023-05-22,,31.5,31.0,30.36,31.0
2023-05-23,,30.0,29.6,29.98,30.0
2023-05-24,,30.9,30.1,30.34,30.0
2023-05-25,,30.3,29.6,29.78,30.0
2023-05-26,,29.5,27.9,28.47,29.0
2023-05-27,,29.8,29.6,29.1,29.0
2023-05-28,,31.1,32.5,31.97,31.0
2023-05-29,,32.3,31.9,31.91,32.0
2023-05-30,,30.9,31.3,31.91,31.0
2023-05-31,,30.3,30.4,30.38,30.0
2023-06-01,,30.6,31.7,31.58,30.0
2023-06-02,,30.1,29.8,29.8,30.0
2023-06-03,,30.4,30.1,29.93,30.0
2023-06-04,,29.8,31.8,30.36,29.0
2023-06-05,,30.2,32.1,31.26,30.0
2023-06-06,,29.6,28.8,29.06,30.0
2023-06-07,,30.8,30.9,30.29,30.0
2023-06-08,,31.1,31.5,31.77,31.0
2023-06-09,,32.0,32.2,31.55,31.0
2023-06-10,,31.4,32.2,32.21,31.0
2023-06-11,,31.5,31.7,31.04,32.0
2023-06-12,,31.1,31.1,31.1,30.0
2023-06-13,,32.4,33.0,32.54,32.0
2023-06-14,,32.8,33.0,32.99,32.0
2023-06-15,,33.5,33.3,32.95,33.0
2023-06-16,,34.4,34.6,33.93,33.0
2023-06-17,,33.8,33.1,34.66,33.0
2023-06-18,,33.0,32.3,32.07,32.0
2023-06-19,,32.4,33.0,33.5,32.0
2023-06-20,,32.5,32.6,32.42,32.0
2023-06-21,,32.8,32.6,32.55,32.0
2023-06-22,,32.8,30.8,31.15,32.0
2023-06-23,,32.5,32.9,32.47,32.0
2023-06-24,,31.1,33.3,32.85,32.0
2023-06-25,,30.4,32.0,32.09,30.0
2023-06-26,,30.8,31.2,31.17,31.0
2023-06-27,,32.6,34.5,33.27,32.0
2023-06-28,,33.2,34.6,33.57,32.0
2023-06-29,,32.6,34.1,33.05,32.0
2023-06-30,,32.3,31.5,31.19,32.0
2023-07-01,,31.1,31.6,31.2,31.0
2023-07-02,,32.3,32.7,32.78,32.0
2023-07-03,,32.3,33.3,33.02,32.0
2023-07-04,,33.1,32.6,33.13,33.0
2023-07-05,,32.9,33.1,33.38,33.0
2023-07-06,,32.9,34.6,33.77,33.0
2023-07-07,,33.6,34.5,33.64,33.0
2023-07-08,,33.0,35.3,34.77,33.0
2023-07-09,,34.6,34.0,33.78,34.0
2023-07-10,,33.8,34.4,34.16,33.0
2023-07-11,,33.7,34.7,34.34,34.0
2023-07-12,,34.4,34.5,34.47,34.0
2023-07-13,,34.1,33.8,33.96,34.0
2023-07-14,,32.6,33.8,33.57,32.0
2023-07-15,,32.4,32.8,32.79,32.0
2023-07-16,,34.0,34.6,34.17,34.0
2023-07-17,,32.6,32.5,32.71,33.0
2023-07-18,,32.2,32.2,31.96,32.0
2023-07-19,,30.8,33.0,32.78,30.0
2023-07-20,,32.6,33.8,33.55,32.0
2023-07-21,,33.6,34.0,33.8,33.0
2023-07-22,,34.7,35.6,34.98,34.0
2023-07-23,,35.4,36.0,35.61,35.0
2023-07-24,,34.7,35.2,35.56,35.0
2023-07-25,,34.2,34.0,34.39,34.0
2023-07-26,,32.4,31.0,33.36,32.0
2023-07-27,,31.0,30.7,31.61,30.0
2023-07-28,,30.5,30.8,30.21,30.0
2023-07-29,,33.7,33.3,33.21,33.0
2023-07-30,,32.6,33.9,33.7,32.0
2023-07-31,,33.8,34.2,33.98,33.0
2023-08-01,,33.3,32.5,33.07,33.0
2023-08-02,,32.4,33.0,33.27,32.0
2023-08-03,,32.1,32.8,32.38,32.0
2023-08-04,,31.3,31.8,32.2,31.0
2023-08-05,,32.7,32.6,32.22,32.0
2023-08-06,,33.2,34.2,33.76,33.0
2023-08-07,,33.8,34.4,34.3,33.0
2023-08-08,,34.2,34.5,34.58,34.0
2023-08-09,,33.3,34.1,34.05,33.0
2023-08-10,,33.5,33.9,34.18,33.0
2023-08-11,,33.9,33.4,34.15,33.0
2023-08-12,,33.0,33.6,33.39,33.0
2023-08-13,,33.3,33.3,33.39,33.0
2023-08-14,,33.6,33.8,34.0,34.0
2023-08-15,,31.9,34.0,33.91,31.0
2023-08-16,,32.8,33.0,32.99,32.0
2023-08-17,,32.0,33.4,33.41,32.0
2023-08-18,,32.3,31.5,31.51,32.0
2023-08-19,,30.2,32.5,32.02,30.0
2023-08-20,,31.6,30.7,30.3,31.0
2023-08-21,,31.9,32.1,31.53,32.0
2023-08-22,,31.8,33.0,32.57,31.0
2023-08-23,,31.9,33.1,32.88,32.0
2023-08-24,,32.1,33.5,32.99,32.0
2023-08-25,,33.5,33.1,32.66,33.0
2023-08-26,,32.6,33.1,32.63,32.0
2023-08-27,,33.1,33.3,32.64,33.0
2023-08-28,,36.0,31.7,32.38,33.0
2023-08-29,,35.7,33.1,33.02,35.0
2023-08-30,,32.7,33.9,33.66,32.0
2023-08-31,,35.8,34.6,34.4,35.0
2023-09-01,,35.1,33.9,34.46,34.0
2023-09-02,,32.4,32.0,32.69,32.0
2023-09-03,,30.2,31.8,31.56,30.0
2023-09-04,,31.4,31.8,31.62,31.0
2023-09-05,,30.7,32.1,32.14,33.0
2023-09-06,,31.3,32.2,32.03,31.0
2023-09-07,,33.1,32.8,32.35,32.0
2023-09-08,,34.9,32.6,32.16,34.0
2023-09-09,,33.6,31.5,31.84,33.0
2023-09-10,,34.1,31.7,32.2,33.0
2023-09-11,,32.9,32.6,32.77,32.0
2023-09-12,,32.6,33.8,33.13,33.0
2023-09-13,,32.9,33.7,33.4,32.0
2023-09-14,,33.8,33.0,32.77,33.0
2023-09-15,,32.1,32.0,32.09,32.0
2023-09-16,,32.0,32.3,32.04,31.0
2023-09-17,,31.9,32.2,32.25,31.0
2023-09-18,,32.3,33.8,33.32,32.0
2023-09-19,,33.6,32.2,32.77,33.0
2023-09-20,,32.1,32.6,32.55,32.0
2023-09-21,,30.7,32.7,31.96,30.0
2023-09-22,,31.5,31.7,31.64,31.0
2023-09-23,,30.1,29.2,30.1,29.0
2023-09-24,,30.6,32.0,31.63,30.0
2023-09-25,,32.5,32.6,31.67,32.0
2023-09-26,,31.4,32.2,32.09,31.0
2023-09-27,,31.0,31.2,30.88,31.0
2023-09-28,,30.4,31.4,31.15,30.0
2023-09-29,,30.8,33.3,32.65,31.0
2023-09-30,,31.2,32.8,32.44,31.0
2023-10-01,,31.1,32.7,32.35,31.0
2023-10-02,,29.0,29.4,31.18,29.0
2023-10-03,,28.9,31.0,30.65,29.0
2023-10-04,,30.6,31.5,31.09,30.0
2023-10-05,,30.5,32.3,31.76,30.0
2023-10-06,,32.1,32.4,31.52,31.0
2023-10-07,,32.2,32.4,32.04,31.0
2023-10-08,,31.9,31.7,31.86,31.0
2023-10-09,,29.7,29.5,30.78,29.0
2023-10-10,,30.6,31.9,31.88,30.0
2023-10-11,32.5695,31.4,29.9,31.9,31.0
2023-10-12,34.169502,33.8,33.5,33.04,33.0
2023-10-13,35.5695,36.5,33.7,33.95,36.0
2023-10-14,32.9695,34.6,29.8,32.3,35.0
2023-10-15,33.4695,31.6,31.5,31.52,31.0
2023-10-16,26.369501,26.9,25.3,31.61,29.0
2023-10-17,24.425999,26.4,24.2,24.99,25.0
2023-10-18,27.026,28.7,28.2,27.53,28.0
2023-10-19,28.776,32.1,29.6,28.95,32.0
2023-10-20,27.376,28.8,28.8,28.54,28.0
2023-10-21,31.126,31.4,30.6,30.05,31.0
2023-10-22,30.526,32.3,30.0,29.64,32.0
2023-10-23,29.626,29.0,30.2,29.9,29.0
2023-10-24,27.276,26.6,28.5,29.17,27.0
2023-10-25,28.575998,29.5,29.2,28.91,29.0
2023-10-26,28.825998,30.8,29.6,28.99,31.0
2023-10-27,27.825998,27.6,29.0,28.54,27.0
2023-10-28,28.425999,27.9,29.1,28.8,28.0
