date,mean_sunrise
2023-04-01,07:13 AM
2023-04-02,07:11 AM
2023-04-03,07:10 AM
2023-04-04,07:09 AM
2023-04-05,07:08 AM
2023-04-06,07:07 AM
2023-04-07,07:06 AM
2023-04-08,07:05 AM
2023-04-09,07:04 AM
2023-04-10,07:03 AM
2023-04-11,07:02 AM
2023-04-12,07:01 AM
2023-04-13,07:00 AM
2023-04-14,06:59 AM
2023-04-15,06:58 AM
2023-04-16,06:57 AM
2023-04-17,06:56 AM
2023-04-18,06:55 AM
2023-04-19,06:54 AM
2023-04-20,06:53 AM
2023-04-21,06:53 AM
2023-04-22,06:52 AM
2023-04-23,06:51 AM
2023-04-24,06:50 AM
2023-04-25,06:49 AM
2023-04-26,06:48 AM
2023-04-27,06:47 AM
2023-04-28,06:47 AM
2023-04-29,06:46 AM
2023-04-30,06:45 AM
2023-05-01,06:44 AM
2023-05-02,06:43 AM
2023-05-03,06:43 AM
2023-05-04,06:42 AM
2023-05-05,06:41 AM
2023-05-06,06:41 AM
2023-05-07,06:40 AM
2023-05-08,06:39 AM
2023-05-09,06:39 AM
2023-05-10,06:38 AM
2023-05-11,06:37 AM
2023-05-12,06:37 AM
2023-05-13,06:36 AM
2023-05-14,06:36 AM
2023-05-15,06:35 AM
2023-05-16,06:35 AM
2023-05-17,06:34 AM
2023-05-18,06:34 AM
2023-05-19,06:33 AM
2023-05-20,06:33 AM
2023-05-21,06:32 AM
2023-05-22,06:32 AM
2023-05-23,06:32 AM
2023-05-24,06:31 AM
2023-05-25,06:31 AM
2023-05-26,06:31 AM
2023-05-27,06:30 AM
2023-05-28,06:30 AM
2023-05-29,06:30 AM
2023-05-30,06:30 AM
2023-05-31,06:29 AM
2023-06-01,06:29 AM
2023-06-02,06:29 AM
2023-06-03,06:29 AM
2023-06-04,06:29 AM
2023-06-05,06:29 AM
2023-06-06,06:29 AM
2023-06-07,06:29 AM
2023-06-08,06:29 AM
2023-06-09,06:29 AM
2023-06-10,06:29 AM
2023-06-11,06:29 AM
2023-06-12,06:29 AM
2023-06-13,06:29 AM
2023-06-14,06:29 AM
2023-06-15,06:29 AM
2023-06-16,06:29 AM
2023-06-17,06:29 AM
2023-06-18,06:29 AM
2023-06-19,06:30 AM
2023-06-20,06:30 AM
2023-06-21,06:30 AM
2023-06-22,06:30 AM
2023-06-23,06:30 AM
2023-06-24,06:31 AM
2023-06-25,06:31 AM
2023-06-26,06:31 AM
2023-06-27,06:31 AM
2023-06-28,06:32 AM
2023-06-29,06:32 AM
2023-06-30,06:32 AM
2023-07-01,06:33 AM
2023-07-02,06:33 AM
2023-07-03,06:34 AM
2023-07-04,06:34 AM
2023-07-05,06:34 AM
2023-07-06,06:35 AM
2023-07-07,06:35 AM
2023-07-08,06:36 AM
2023-07-09,06:36 AM
2023-07-10,06:36 AM
2023-07-11,06:37 AM
2023-07-12,06:37 AM
2023-07-13,06:38 AM
2023-07-14,06:38 AM
2023-07-15,06:39 AM
2023-07-16,06:39 AM
2023-07-17,06:40 AM
2023-07-18,06:40 AM
2023-07-19,06:41 AM
2023-07-20,06:41 AM
2023-07-21,06:42 AM
2023-07-22,06:42 AM
2023-07-23,06:43 AM
2023-07-24,06:43 AM
2023-07-25,06:44 AM
2023-07-26,06:44 AM
2023-07-27,06:45 AM
2023-07-28,06:45 AM
2023-07-29,06:46 AM
2023-07-30,06:46 AM
2023-07-31,06:47 AM
2023-08-01,06:47 AM
2023-08-02,06:48 AM
2023-08-03,06:48 AM
2023-08-04,06:49 AM
2023-08-05,06:49 AM
2023-08-06,06:50 AM
2023-08-07,06:50 AM
2023-08-08,06:51 AM
2023-08-09,06:51 AM
2023-08-10,06:51 AM
2023-08-11,06:52 AM
2023-08-12,06:52 AM
2023-08-13,06:53 AM
2023-08-14,06:53 AM
2023-08-15,06:54 AM
2023-08-16,06:54 AM
2023-08-17,06:55 AM
2023-08-18,06:55 AM
2023-08-19,06:56 AM
2023-08-20,06:56 AM
2023-08-21,06:57 AM
2023-08-22,06:57 AM
2023-08-23,06:57 AM
2023-08-24,06:58 AM
2023-08-25,06:58 AM
2023-08-26,06:59 AM
2023-08-27,06:59 AM
2023-08-28,07:00 AM
2023-08-29,07:00 AM
2023-08-30,07:00 AM
2023-08-31,07:01 AM
2023-09-01,07:01 AM
2023-09-02,07:02 AM
2023-09-03,07:02 AM
2023-09-04,07:02 AM
2023-09-05,07:03 AM
2023-09-06,07:03 AM
2023-09-07,07:04 AM
