date,mean_sunset
2023-04-01,2023-04-01T19:37:44
2023-04-02,2023-04-02T19:38:12
2023-04-03,2023-04-03T19:38:40
2023-04-04,2023-04-04T19:39:07
2023-04-05,2023-04-05T19:39:35
2023-04-06,2023-04-06T19:40:02
2023-04-07,2023-04-07T19:40:30
2023-04-08,2023-04-08T19:40:58
2023-04-09,2023-04-09T19:41:26
2023-04-10,2023-04-10T19:41:54
2023-04-11,2023-04-11T19:42:22
2023-04-12,2023-04-12T19:42:50
2023-04-13,2023-04-13T19:43:19
2023-04-14,2023-04-14T19:43:47
2023-04-15,2023-04-15T19:44:16
2023-04-16,2023-04-16T19:44:45
2023-04-17,2023-04-17T19:45:14
2023-04-18,2023-04-18T19:45:43
2023-04-19,2023-04-19T19:46:12
2023-04-20,2023-04-20T19:46:41
2023-04-21,2023-04-21T19:47:11
2023-04-22,2023-04-22T19:47:40
2023-04-23,2023-04-23T19:48:10
2023-04-24,2023-04-24T19:48:40
2023-04-25,2023-04-25T19:49:11
2023-04-26,2023-04-26T19:49:41
2023-04-27,2023-04-27T19:50:11
2023-04-28,2023-04-28T19:50:42
2023-04-29,2023-04-29T19:51:13
2023-04-30,2023-04-30T19:51:44
2023-05-01,2023-05-01T19:52:15
2023-05-02,2023-05-02T19:52:46
2023-05-03,2023-05-03T19:53:17
2023-05-04,2023-05-04T19:53:49
2023-05-05,2023-05-05T19:54:20
2023-05-06,2023-05-06T19:54:52
2023-05-07,2023-05-07T19:55:24
2023-05-08,2023-05-08T19:55:56
2023-05-09,2023-05-09T19:56:27
2023-05-10,2023-05-10T19:56:59
2023-05-11,2023-05-11T19:57:31
2023-05-12,2023-05-12T19:58:03
2023-05-13,2023-05-13T19:58:35
2023-05-14,2023-05-14T19:59:07
2023-05-15,2023-05-15T19:59:39
2023-05-16,2023-05-16T20:00:11
2023-05-17,2023-05-17T20:00:43
2023-05-18,2023-05-18T20:01:15
2023-05-19,2023-05-19T20:01:47
2023-05-20,2023-05-20T20:02:18
2023-05-21,2023-05-21T20:02:49
2023-05-22,2023-05-22T20:03:21
2023-05-23,2023-05-23T20:03:52
2023-05-24,2023-05-24T20:04:22
2023-05-25,2023-05-25T20:04:53
2023-05-26,2023-05-26T20:05:23
2023-05-27,2023-05-27T20:05:53
2023-05-28,2023-05-28T20:06:23
2023-05-29,2023-05-29T20:06:52
2023-05-30,2023-05-30T20:07:21
2023-05-31,2023-05-31T20:07:49
2023-06-01,2023-06-01T20:08:17
2023-06-02,2023-06-02T20:08:45
2023-06-03,2023-06-03T20:09:12
2023-06-04,2023-06-04T20:09:39
2023-06-05,2023-06-05T20:10:05
