date,openMeteo_min_apparent_temp,virtualCrossing_min_apparent_temp
2023-04-01,,23.6
2023-04-02,,22.0
2023-04-03,,22.6
2023-04-04,,24.0
2023-04-05,,24.5
2023-04-06,,25.2
2023-04-07,,24.5
2023-04-08,,24.1
2023-04-09,,22.2
2023-04-10,,20.8
2023-04-11,,21.5
2023-04-12,,21.6
2023-04-13,,22.9
2023-04-14,,23.1
2023-04-15,,24.0
2023-04-16,,23.2
2023-04-17,,20.4
2023-04-18,,19.0
2023-04-19,,20.5
2023-04-20,,22.5
2023-04-21,,22.3
2023-04-22,,22.5
2023-04-23,,22.5
2023-04-24,,23.4
2023-04-25,,22.5
2023-04-26,,21.9
2023-04-27,,22.4
2023-04-28,,23.6
2023-04-29,,25.5
2023-04-30,,23.2
2023-05-01,,20.8
2023-05-02,,21.1
2023-05-03,,21.9
2023-05-04,,20.4
2023-05-05,,21.5
2023-05-06,,23.5
2023-05-07,,24.0
2023-05-08,,22.2
2023-05-09,,22.2
2023-05-10,,23.7
2023-05-11,,24.1
2023-05-12,,25.8
2023-05-13,,25.3
2023-05-14,,24.9
2023-05-15,,24.3
2023-05-16,,23.8
2023-05-17,,24.6
2023-05-18,,22.4
2023-05-19,,25.4
2023-05-20,,25.3
2023-05-21,,25.2
2023-05-22,,25.2
2023-05-23,,24.0
2023-05-24,,22.6
2023-05-25,,22.6
2023-05-26,,23.5
2023-05-27,,22.3
2023-05-28,,23.6
2023-05-29,,22.9
2023-05-30,,22.9
2023-05-31,,24.4
2023-06-01,,23.2
2023-06-02,,23.1
2023-06-03,,22.9
2023-06-04,,23.6
2023-06-05,,22.9
2023-06-06,,22.2
2023-06-07,,23.9
2023-06-08,,24.4
2023-06-09,,24.7
2023-06-10,,25.2
2023-06-11,,25.5
2023-06-12,,25.4
2023-06-13,,25.4
2023-06-14,,25.4
2023-06-15,,29.9
2023-06-16,,31.5
2023-06-17,,25.2
2023-06-18,,25.2
2023-06-19,,23.7
2023-06-20,,22.8
2023-06-21,,22.8
2023-06-22,,25.6
2023-06-23,,30.6
2023-06-24,,24.4
2023-06-25,,24.6
2023-06-26,,24.6
2023-06-27,,25.4
2023-06-28,,25.6
2023-06-29,,29.9
2023-06-30,,26.1
2023-07-01,,26.1
