date,openMeteo_min_temp,weatherApi_min_temp,virtualCrossing_min_temp,openWeather_min_temp,worldWeather_min_temp
2023-04-01,,22.5,23.6,23.79,23.0
2023-04-02,,21.3,22.0,21.15,22.0
2023-04-03,,22.3,22.6,22.34,22.0
2023-04-04,,22.3,24.0,24.04,22.0
2023-04-05,,23.1,24.5,24.29,23.0
2023-04-06,,23.1,25.2,24.67,23.0
2023-04-07,,23.5,24.5,24.46,23.0
2023-04-08,,24.4,24.1,23.8,25.0
2023-04-09,,22.3,22.2,21.75,23.0
2023-04-10,,22.1,20.8,20.41,22.0
2023-04-11,,21.5,21.5,21.19,22.0
2023-04-12,,22.4,21.6,21.5,23.0
2023-04-13,,23.3,22.9,21.8,23.0
2023-04-14,,24.1,23.1,22.03,25.0
2023-04-15,,24.3,24.0,23.08,24.0
2023-04-16,,23.2,23.2,23.5,24.0
2023-04-17,,22.7,20.4,20.46,22.0
2023-04-18,,21.6,19.0,18.74,22.0
2023-04-19,,21.8,20.5,20.67,23.0
2023-04-20,,22.6,22.5,22.86,24.0
2023-04-21,,22.1,22.3,21.64,23.0
2023-04-22,,22.7,22.5,22.08,23.0
2023-04-23,,22.1,22.5,21.73,23.0
2023-04-24,,23.4,23.4,23.36,25.0
2023-04-25,,24.1,22.5,22.68,24.0
2023-04-26,,22.8,21.9,21.88,23.0
2023-04-27,,23.6,22.4,21.41,24.0
2023-04-28,,25.7,23.6,23.8,26.0
2023-04-29,,25.1,25.5,24.68,26.0
2023-04-30,,24.2,23.2,24.48,24.0
2023-05-01,,21.6,20.8,19.93,22.0
2023-05-02,,20.8,21.1,19.75,22.0
2023-05-03,,21.3,21.9,20.81,22.0
2023-05-04,,21.5,20.4,20.48,22.0
2023-05-05,,22.7,21.5,21.28,23.0
2023-05-06,,23.8,23.5,23.04,25.0
2023-05-07,,24.6,24.0,24.04,25.0
2023-05-08,,23.5,22.2,22.35,24.0
2023-05-09,,23.5,22.2,22.88,25.0
2023-05-10,,24.3,23.7,22.65,24.0
2023-05-11,,25.8,24.1,24.17,26.0
2023-05-12,,25.8,25.8,25.1,26.0
2023-05-13,,25.0,25.3,24.57,25.0
2023-05-14,,25.0,24.9,23.96,25.0
2023-05-15,,24.9,24.3,23.14,25.0
2023-05-16,,23.8,23.8,22.56,24.0
2023-05-17,,25.1,24.6,23.45,25.0
2023-05-18,,23.6,22.4,22.52,24.0
2023-05-19,,24.8,25.4,24.25,26.0
2023-05-20,,24.9,25.3,24.48,25.0
2023-05-21,,26.3,25.2,24.22,27.0
2023-05-22,,26.4,25.2,24.03,27.0
2023-05-23,,24.9,24.0,23.91,25.0
2023-05-24,,24.1,22.6,22.94,24.0
2023-05-25,,23.8,22.6,21.78,24.0
2023-05-26,,23.6,23.5,22.72,24.0
2023-05-27,,23.4,22.3,21.18,24.0
2023-05-28,,24.4,23.6,23.2,25.0
2023-05-29,,24.0,22.9,22.52,25.0
2023-05-30,,25.6,22.9,24.38,26.0
2023-05-31,,25.2,24.4,22.94,25.0
2023-06-01,,24.8,23.2,23.92,25.0
2023-06-02,,24.6,23.1,23.64,25.0
2023-06-03,,24.0,22.9,23.42,24.0
2023-06-04,,24.3,23.6,23.25,24.0
2023-06-05,,24.1,22.9,22.71,25.0
2023-06-06,,25.9,22.2,23.83,26.0
2023-06-07,,25.5,23.9,24.33,26.0
2023-06-08,,25.6,24.4,23.96,26.0
2023-06-09,,25.7,24.7,23.91,26.0
2023-06-10,,25.6,25.2,23.89,26.0
2023-06-11,,25.2,25.5,24.7,26.0
2023-06-12,,26.3,25.4,25.52,27.0
2023-06-13,,26.3,25.4,25.09,27.0
2023-06-14,,27.1,25.4,25.38,27.0
2023-06-15,,26.3,26.8,25.89,27.0
2023-06-16,,27.7,27.5,26.59,28.0
2023-06-17,,26.8,25.2,26.52,27.0
2023-06-18,,26.7,25.2,23.99,27.0
2023-06-19,,26.5,23.7,25.51,27.0
2023-06-20,,25.5,22.8,23.15,27.0
2023-06-21,,26.7,22.8,22.45,27.0
2023-06-22,,27.8,25.6,25.44,28.0
2023-06-23,,27.1,26.9,26.7,27.0
2023-06-24,,26.9,24.4,26.56,27.0
2023-06-25,,25.7,24.6,23.9,26.0
2023-06-26,,25.8,24.6,24.59,26.0
2023-06-27,,25.8,25.4,25.57,26.0
2023-06-28,,25.7,25.6,26.01,26.0
2023-06-29,,25.7,27.0,26.12,26.0
2023-06-30,,25.1,26.1,25.83,25.0
2023-07-01,,26.7,26.1,25.83,27.0
2023-07-02,,26.2,25.5,25.32,26.0
2023-07-03,,26.0,26.0,26.08,26.0
2023-07-04,,26.6,26.6,26.2,27.0
2023-07-05,,26.7,26.6,26.94,27.0
2023-07-06,,26.7,27.3,27.25,27.0
2023-07-07,,26.3,26.5,26.36,26.0
2023-07-08,,26.1,24.8,25.81,26.0
2023-07-09,,26.4,24.6,25.49,26.0
2023-07-10,,26.9,26.0,26.27,27.0
2023-07-11,,26.8,25.6,26.52,27.0
2023-07-12,,27.4,27.3,27.55,27.0
2023-07-13,,26.6,28.0,27.8,27.0
2023-07-14,,26.8,26.4,27.52,27.0
2023-07-15,,26.9,26.1,26.23,27.0
2023-07-16,,27.9,24.0,26.67,28.0
2023-07-17,,26.7,25.3,23.98,27.0
2023-07-18,,26.3,26.4,25.21,27.0
2023-07-19,,26.9,27.6,27.63,28.0
2023-07-20,,27.3,28.7,28.44,28.0
2023-07-21,,26.4,28.0,27.96,27.0
2023-07-22,,26.0,27.0,26.61,26.0
2023-07-23,,27.9,27.6,26.96,28.0
2023-07-24,,26.9,28.1,27.73,27.0
2023-07-25,,27.3,28.6,27.91,27.0
2023-07-26,,27.5,24.8,25.99,28.0
2023-07-27,,25.7,25.0,25.04,25.0
2023-07-28,,26.8,24.7,25.91,27.0
2023-07-29,,27.3,27.0,27.15,28.0
2023-07-30,,26.7,27.8,26.77,27.0
2023-07-31,,26.1,27.3,27.09,26.0
2023-08-01,,26.7,27.0,25.98,27.0
2023-08-02,,26.4,26.3,25.65,27.0
2023-08-03,,26.5,26.1,26.42,27.0
2023-08-04,,26.7,26.0,26.36,27.0
2023-08-05,,26.2,27.3,27.07,27.0
2023-08-06,,26.3,28.0,27.52,27.0
2023-08-07,,26.9,28.2,27.97,27.0
2023-08-08,,26.8,27.8,28.1,27.0
2023-08-09,,27.3,27.7,28.13,28.0
2023-08-10,,27.6,26.9,28.18,28.0
2023-08-11,,26.7,26.7,26.02,27.0
2023-08-12,,28.2,28.3,28.39,28.0
2023-08-13,,27.1,28.1,27.52,27.0
2023-08-14,,27.3,28.3,28.13,28.0
2023-08-15,,27.8,26.6,28.17,28.0
2023-08-16,,27.5,26.0,26.26,28.0
2023-08-17,,27.3,23.8,26.35,28.0
2023-08-18,,26.1,25.6,25.17,27.0
2023-08-19,,27.3,25.4,26.22,27.0
2023-08-20,,26.6,25.7,25.73,27.0
2023-08-21,,27.2,27.6,26.81,28.0
2023-08-22,,26.7,27.4,28.16,27.0
2023-08-23,,26.6,26.5,26.47,27.0
2023-08-24,,26.1,25.7,26.99,27.0
2023-08-25,,25.8,26.7,26.0,26.0
2023-08-26,,24.8,26.1,25.22,25.0
2023-08-27,,25.8,26.4,26.03,26.0
2023-08-28,,25.1,27.9,27.16,25.0
2023-08-29,,27.4,25.2,27.76,27.0
2023-08-30,,28.5,28.4,25.21,29.0
2023-08-31,,27.3,26.2,27.34,27.0
2023-09-01,,27.1,26.4,25.99,27.0
2023-09-02,,26.0,24.0,23.45,26.0
2023-09-03,,25.6,25.0,25.81,26.0
2023-09-04,,25.5,27.9,27.59,26.0
2023-09-05,,25.4,27.1,26.88,26.0
2023-09-06,,24.3,25.7,25.78,25.0
2023-09-07,,24.6,26.5,25.77,25.0
2023-09-08,,25.5,25.2,25.07,26.0
2023-09-09,,26.1,25.9,25.33,26.0
2023-09-10,,26.7,26.4,25.52,27.0
2023-09-11,,26.8,26.1,26.22,27.0
2023-09-12,,26.3,26.7,27.1,26.0
2023-09-13,,25.4,27.8,26.64,26.0
2023-09-14,,25.3,25.9,26.39,26.0
2023-09-15,,26.8,25.7,25.87,28.0
2023-09-16,,27.6,25.6,25.96,28.0
2023-09-17,,26.8,25.6,25.53,27.0
2023-09-18,,25.1,25.0,25.77,26.0
2023-09-19,,26.6,23.2,25.31,27.0
2023-09-20,,26.5,25.7,23.7,27.0
2023-09-21,,24.3,23.3,25.31,24.0
2023-09-22,,22.9,24.1,22.91,23.0
2023-09-23,,25.1,24.7,23.38,26.0
2023-09-24,,24.9,25.0,24.46,26.0
2023-09-25,,25.4,22.8,22.35,26.0
2023-09-26,,26.0,25.8,26.67,26.0
2023-09-27,,25.4,25.2,25.43,26.0
2023-09-28,,24.8,25.5,25.15,25.0
2023-09-29,,25.7,26.5,26.05,26.0
2023-09-30,,25.9,26.6,26.74,26.0
2023-10-01,,25.3,25.8,26.27,26.0
2023-10-02,,24.5,25.6,25.43,25.0
2023-10-03,,23.9,26.2,25.94,24.0
2023-10-04,,25.1,25.2,25.35,26.0
2023-10-05,,25.2,25.8,25.91,26.0
2023-10-06,,23.7,25.0,24.47,24.0
2023-10-07,,25.4,26.1,24.67,25.0
2023-10-08,,23.8,25.0,24.22,23.0
2023-10-09,,23.8,25.2,23.86,24.0
2023-10-10,,25.6,25.0,23.56,26.0
2023-10-11,27.969501,25.8,26.1,26.55,26.0
2023-10-12,28.3195,27.4,28.7,27.99,28.0
2023-10-13,28.7695,26.7,28.5,27.75,27.0
2023-10-14,28.0695,26.7,27.1,26.82,27.0
2023-10-15,25.369501,24.9,24.6,23.69,25.0
2023-10-16,21.969501,19.6,21.5,20.57,20.0
2023-10-17,15.926,15.8,17.2,15.98,16.0
2023-10-18,16.276,17.9,18.1,16.92,18.0
2023-10-19,19.726,20.8,21.4,19.2,21.0
2023-10-20,22.776,24.5,24.4,22.92,25.0
2023-10-21,20.026,20.2,20.0,19.52,20.0
2023-10-22,21.925999,20.4,22.7,21.45,21.0
2023-10-23,20.726,23.1,21.1,20.0,24.0
2023-10-24,22.726,23.9,24.9,24.66,24.0
2023-10-25,22.526,24.3,25.2,24.69,24.0
2023-10-26,22.726,24.6,25.5,25.1,25.0
2023-10-27,23.976,24.2,25.1,24.93,24.0
2023-10-28,23.526,24.8,25.8,25.12,25.0
2023-10-29,22.976,24.5,25.8,25.02,24.0
2023-10-30,23.175999,24.8,24.9,24.77,25.0
2023-10-31,23.876,22.2,24.3,23.16,22.0
2023-11-01,21.526,21.5,22.7,21.53,22.0
2023-11-02,21.476,21.7,21.9,22.1,22.0
2023-11-03,21.526,22.8,23.9,23.38,23.0
2023-11-04,22.026,24.7,23.2,22.3,25.0
2023-11-05,21.026,24.0,21.6,21.08,24.0
2023-11-06,16.726,23.3,19.2,17.36,24.0
2023-11-07,20.825998,23.3,22.2,20.24,24.0
2023-11-08,21.126,22.6,21.6,22.54,23.0
2023-11-09,22.575998,23.2,22.8,23.21,24.0
2023-11-10,24.226,24.2,24.1,23.88,24.0
2023-11-11,25.026,25.1,26.7,25.69,25.0
2023-11-12,23.526,24.2,24.5,24.45,24.0
2023-11-13,23.376,24.2,23.6,23.37,25.0
2023-11-14,23.276,24.0,23.4,23.1,24.0
2023-11-15,21.075998,22.5,21.1,23.01,23.0
2023-11-16,20.425999,21.7,20.7,20.14,22.0
2023-11-17,21.376,21.9,22.8,21.29,22.0
2023-11-18,21.376,19.9,21.9,21.14,20.0
2023-11-19,19.075998,19.3,20.5,19.05,20.0
2023-11-20,20.626,22.3,20.5,21.66,23.0
2023-11-21,22.526,22.9,24.1,23.86,23.0
2023-11-22,22.325998,23.1,22.5,22.55,24.0
2023-11-23,21.776,21.9,22.4,21.67,22.0
2023-11-24,21.526,23.1,22.3,21.48,23.0
2023-11-25,22.026,21.7,22.5,21.69,22.0
2023-11-26,23.575998,22.6,23.7,23.53,23.0
2023-11-27,20.075998,23.2,20.5,22.77,23.0
2023-11-28,16.126,19.5,17.2,16.15,20.0
2023-11-29,14.126,15.0,14.6,14.33,15.0
2023-11-30,16.675999,18.8,17.3,18.6,20.0
2023-12-01,20.476,22.6,20.6,21.95,23.0
2023-12-02,23.726,23.8,24.9,24.01,24.0
2023-12-03,23.425999,23.2,24.0,22.79,23.0
2023-12-04,22.175999,22.6,21.6,21.58,23.0
2023-12-05,19.276,22.6,20.7,20.75,23.0
2023-12-06,13.876,16.6,15.3,15.86,17.0
2023-12-07,12.676,16.1,13.9,12.54,17.0
2023-12-08,19.126,20.7,18.8,20.84,21.0
2023-12-09,21.626,22.9,23.6,23.04,23.0
2023-12-10,21.925999,23.6,22.4,22.9,24.0
2023-12-11,15.676,19.9,15.9,18.54,20.0
2023-12-12,14.176,21.0,14.7,14.67,22.0
2023-12-13,21.976,23.3,22.4,22.3,23.0
2023-12-14,20.976,21.8,21.2,21.82,22.0
2023-12-15,20.126,21.7,20.9,21.25,22.0
2023-12-16,21.226,22.0,21.7,21.37,22.0
2023-12-17,18.376,19.4,18.7,22.42,20.0
2023-12-18,15.476,17.7,15.5,14.58,18.0
2023-12-19,11.726,14.5,12.6,12.17,15.0
2023-12-20,13.426,19.1,13.9,13.87,20.0
2023-12-21,17.726,19.9,20.7,20.58,20.0
2023-12-22,17.476,20.7,18.5,19.23,21.0
2023-12-23,18.876,21.0,19.0,19.65,21.0
2023-12-24,19.276,21.7,20.4,21.23,22.0
2023-12-25,21.425999,22.1,22.7,22.76,22.0
2023-12-26,22.026,21.9,21.3,21.83,22.0
2023-12-27,18.376,20.0,18.0,17.72,20.0
2023-12-28,15.926,15.3,16.1,15.81,15.0
2023-12-29,15.576,16.8,16.0,14.67,17.0
2023-12-30,14.126,15.2,13.9,13.56,16.0
2023-12-31,12.226,15.4,12.4,11.2,16.0
2024-01-01,12.026,16.2,11.8,11.74,17.0
2024-01-02,13.576,16.6,13.6,13.46,17.0
2024-01-03,12.176,17.5,13.1,12.46,18.0
2024-01-04,16.876,18.8,15.6,15.65,19.0
2024-01-05,16.476,19.4,16.8,16.42,20.0
2024-01-06,21.925999,22.0,22.0,22.46,22.0
2024-01-07,15.926,21.1,16.5,19.65,21.0
2024-01-08,15.526,20.2,16.5,16.3,21.0
2024-01-09,22.026,22.8,22.5,22.47,23.0
2024-01-10,18.226,20.1,17.9,18.12,20.0
2024-01-11,17.425999,21.9,17.5,17.69,22.0
2024-01-12,20.675999,23.3,21.7,18.96,23.0
2024-01-13,19.226,21.3,20.4,23.46,21.0
2024-01-14,18.575998,19.9,18.3,19.55,20.0
2024-01-15,20.825998,21.6,21.7,18.15,22.0
2024-01-16,22.526,22.8,22.3,22.36,23.0
2024-01-17,18.626,19.3,18.3,18.21,20.0
2024-01-18,20.226,20.4,20.2,20.9,21.0
2024-01-19,20.126,22.6,20.9,20.28,23.0
2024-01-20,12.776,17.8,14.1,17.76,18.0
2024-01-21,9.426,16.5,10.9,10.74,17.0
2024-01-22,15.126,18.5,18.3,18.28,19.0
2024-01-23,18.276,21.4,21.2,21.38,22.0
2024-01-24,21.026,22.5,23.0,22.82,23.0
2024-01-25,21.976,23.3,23.6,23.49,23.0
2024-01-26,21.226,23.0,22.3,22.45,23.0
2024-01-27,21.376,23.7,23.1,22.97,24.0
2024-01-28,17.376,19.7,17.8,20.84,20.0
2024-01-29,11.876,14.5,13.5,12.8,15.0
2024-01-30,10.076,14.4,11.9,11.06,15.0
2024-01-31,10.876,14.7,12.9,11.97,15.0
2024-02-01,11.526,14.7,13.1,12.08,16.0
2024-02-02,15.226,19.9,16.5,15.74,20.0
2024-02-03,14.376,17.0,13.6,13.77,18.0
2024-02-04,18.626,19.9,17.5,18.5,20.0
2024-02-05,15.476,17.7,15.5,16.01,18.0
2024-02-06,13.326,14.0,13.7,13.37,14.0
2024-02-07,12.176,13.0,13.2,12.59,14.0
2024-02-08,14.426,19.6,15.0,15.22,20.0
2024-02-09,17.726,20.9,19.9,19.72,21.0
2024-02-10,19.226,21.6,20.7,20.48,22.0
2024-02-11,20.726,22.1,22.1,21.88,22.0
2024-02-12,21.526,22.5,22.3,22.06,23.0
2024-02-13,19.726,21.5,18.5,20.99,22.0
2024-02-14,13.876,16.8,14.1,13.58,18.0
2024-02-15,17.675999,20.9,18.3,19.16,21.0
2024-02-16,18.825998,20.8,18.5,19.8,21.0
2024-02-17,19.226,21.5,18.9,18.91,22.0
2024-02-18,19.276,21.6,18.4,19.03,22.0
2024-02-19,14.476,17.1,14.6,14.91,17.0
2024-02-20,11.176,15.4,11.8,11.43,16.0
