date,openMeteo_total_precipitation,virtualCrossing_total_precipitation,openWeather_total_precipitation,weatherApi_total_precipitation
2023-04-01,,8.75,0.0,0.8
2023-04-02,,0.0,151.27,0.6
2023-04-03,,0.0,0.0,0.0
2023-04-04,,0.0,0.0,0.6
2023-04-05,,0.0,0.0,0.3
2023-04-06,,0.0,0.0,0.2
2023-04-07,,0.0,0.0,0.0
2023-04-08,,0.705,0.0,0.4
2023-04-09,,2.075,0.0,15.0
2023-04-10,,65.054,20.76,9.9
2023-04-11,,45.705,26.84,33.4
2023-04-12,,62.256,9.47,16.7
2023-04-13,,6.071,14.21,5.95
2023-04-14,,3.366,0.8,3.25
2023-04-15,,0.0,711.42,0.8
2023-04-16,,1.22,0.0,15.1
2023-04-17,,8.832,16.97,27.35
2023-04-18,,0.0,51.55,0.2
2023-04-19,,0.0,0.0,0.0
2023-04-20,,0.203,0.0,1.7
2023-04-21,,8.136,14.55,3.7
2023-04-22,,2.811,0.0,0.3
2023-04-23,,0.0,2.51,0.5
2023-04-24,,28.205,0.52,1.8
2023-04-25,,4.903,0.0,11.85
2023-04-26,,0.763,0.0,9.8
2023-04-27,,0.0,5.51,0.0
2023-04-28,,0.044,7.25,1.5
2023-04-29,,0.0,260.48,2.0
2023-04-30,,4.391,0.9,5.3
2023-05-01,,0.0,0.0,0.0
2023-05-02,,0.0,0.0,0.0
2023-05-03,,0.0,19.96,0.0
2023-05-04,,0.0,962.61,0.0
2023-05-05,,0.0,0.0,0.0
2023-05-06,,4.713,0.0,0.4
2023-05-07,,3.557,2.28,2.9
2023-05-08,,0.0,0.0,0.0
2023-05-09,,0.0,0.0,0.0
2023-05-10,,0.0,1.53,0.0
2023-05-11,,0.0,169.2,0.0
2023-05-12,,0.0,0.0,0.4
2023-05-13,,0.223,0.0,0.4
2023-05-14,,0.184,0.0,1.0
2023-05-15,,9.27,0.0,3.9
2023-05-16,,0.0,0.0,0.1
2023-05-17,,7.731,0.0,3.6
2023-05-18,,1.003,0.34,1.4
2023-05-19,,12.849,3.24,8.6
2023-05-20,,5.25,0.0,0.2
2023-05-21,,26.201,0.0,1.0
2023-05-22,,3.895,0.0,0.1
2023-05-23,,12.579,1.46,17.9
2023-05-24,,21.984,9.55,25.65
2023-05-25,,12.908,7.1,14.8
2023-05-26,,8.075,1.1,23.1
2023-05-27,,0.166,0.49,7.3
2023-05-28,,0.0,0.0,0.4
2023-05-29,,0.0,0.0,0.0
2023-05-30,,17.881,0.0,7.8
2023-05-31,,1.152,5.16,9.45
2023-06-01,,3.441,1.04,24.05
2023-06-02,,9.969,2.05,28.7
2023-06-03,,10.267,6.44,17.5
2023-06-04,,1.687,1.65,11.6
2023-06-05,,6.008,0.49,2.2
2023-06-06,,1.227,3.45,5.6
2023-06-07,,4.376,0.29,8.4
2023-06-08,,19.971,5.2,7.5
2023-06-09,,0.997,20.18,9.75
2023-06-10,,7.818,0.0,2.9
2023-06-11,,5.74,0.0,5.5
2023-06-12,,11.305,0.31,7.5
2023-06-13,,0.072,1.39,1.1
2023-06-14,,0.152,0.0,0.7
2023-06-15,,0.0,0.0,0.6
2023-06-16,,0.412,10.9,0.9
2023-06-17,,7.539,1.78,10.45
