date,openMeteo_wind_speed,virtualCrossing_wind_speed,openWeather_wind_speed,weatherApi_wind_speed
2023-04-01,,23.5,29.628000000000004,22.3
2023-04-02,,16.2,24.084000000000003,19.8
2023-04-03,,25.1,22.212,19.8
2023-04-04,,23.1,22.212,23.8
2023-04-05,,29.2,29.628000000000004,26.6
2023-04-06,,29.0,31.5,27.0
2023-04-07,,23.5,25.92,25.9
2023-04-08,,20.1,22.536,19.4
2023-04-09,,18.5,22.212,22.7
2023-04-10,,22.2,31.5,30.6
2023-04-11,,36.5,40.752,34.5
2023-04-12,,30.5,37.044,31.3
2023-04-13,,23.0,25.92,23.8
2023-04-14,,21.6,25.92,18.5
2023-04-15,,23.0,22.212,20.2
2023-04-16,,27.4,25.92,24.8
2023-04-17,,25.9,31.5,20.2
2023-04-18,,21.8,31.5,25.6
2023-04-19,,22.5,24.156,25.2
2023-04-20,,27.0,27.36,22.7
2023-04-21,,22.8,25.92,17.1
2023-04-22,,21.6,18.503999999999998,13.3
2023-04-23,,21.9,27.791999999999998,21.1
2023-04-24,,22.9,24.084000000000003,20.5
2023-04-25,,20.5,25.92,21.2
2023-04-26,,22.2,20.376,22.3
2023-04-27,,27.7,31.5,25.9
2023-04-28,,26.6,29.628000000000004,24.1
2023-04-29,,29.3,33.336,24.8
2023-04-30,,30.3,40.752,39.2
2023-05-01,,24.5,38.88,21.2
2023-05-02,,22.0,22.212,25.2
2023-05-03,,19.6,27.791999999999998,20.5
2023-05-04,,15.2,22.212,18.0
2023-05-05,,25.4,20.376,22.3
2023-05-06,,22.7,24.084000000000003,25.9
2023-05-07,,33.2,35.172,27.7
2023-05-08,,20.4,27.791999999999998,24.8
2023-05-09,,16.6,20.376,19.4
2023-05-10,,22.4,24.084000000000003,20.9
2023-05-11,,22.3,22.212,27.0
2023-05-12,,26.5,27.791999999999998,25.9
2023-05-13,,26.7,27.791999999999998,25.2
2023-05-14,,27.6,27.791999999999998,24.8
2023-05-15,,27.1,31.5,20.9
2023-05-16,,18.0,24.084000000000003,18.0
2023-05-17,,23.5,25.92,17.3
2023-05-18,,18.2,25.92,20.1
2023-05-19,,17.6,29.628000000000004,18.0
2023-05-20,,21.0,20.376,20.5
2023-05-21,,19.5,20.376,20.9
2023-05-22,,20.9,24.084000000000003,20.5
2023-05-23,,19.3,25.92,14.4
2023-05-24,,30.3,33.336,16.1
2023-05-25,,53.5,20.376,19.4
2023-05-26,,15.6,16.668,13.0
2023-05-27,,17.8,16.668,15.8
2023-05-28,,17.0,19.296000000000003,17.6
2023-05-29,,19.9,20.376,16.9
2023-05-30,,25.8,22.212,18.4
2023-05-31,,19.8,25.92,20.2
2023-06-01,,15.9,29.628000000000004,15.5
2023-06-02,,17.1,20.376,13.0
2023-06-03,,20.1,42.588,14.8
2023-06-04,,21.6,16.668,16.4
2023-06-05,,22.8,29.628000000000004,20.5
2023-06-06,,16.9,31.5,19.1
2023-06-07,,18.0,22.212,23.0
2023-06-08,,25.4,29.628000000000004,24.5
2023-06-09,,19.3,25.92,18.0
2023-06-10,,24.0,38.88,20.9
2023-06-11,,16.5,24.156,24.8
2023-06-12,,26.4,31.5,25.2
2023-06-13,,25.4,27.791999999999998,17.6
2023-06-14,,24.0,29.628000000000004,23.0
2023-06-15,,22.9,24.156,22.7
2023-06-16,,24.7,25.92,21.5
2023-06-17,,27.6,25.92,16.6
2023-06-18,,23.4,40.752,22.7
2023-06-19,,42.1,35.172,18.4
2023-06-20,,26.1,27.791999999999998,23.6
2023-06-21,,23.3,29.628000000000004,22.7
2023-06-22,,23.4,24.156,18.0
2023-06-23,,22.0,24.156,19.1
2023-06-24,,22.2,22.536,21.6
2023-06-25,,22.2,25.92,13.8
2023-06-26,,16.4,16.668,15.8
2023-06-27,,19.1,18.503999999999998,19.1
2023-06-28,,19.8,20.376,18.7
2023-06-29,,23.4,22.536,16.7
2023-06-30,,22.2,24.084000000000003,14.0
2023-07-01,,15.2,19.296000000000003,15.5
2023-07-02,,20.8,24.084000000000003,14.5
2023-07-03,,16.9,24.084000000000003,16.6
2023-07-04,,17.0,18.503999999999998,17.6
2023-07-05,,15.8,18.503999999999998,16.5
2023-07-06,,15.5,22.212,15.8
2023-07-07,,25.1,33.336,19.9
2023-07-08,,22.5,24.084000000000003,21.6
2023-07-09,,21.9,24.084000000000003,21.6
2023-07-10,,23.0,29.628000000000004,20.5
2023-07-11,,17.3,22.212,19.8
2023-07-12,,16.1,19.296000000000003,20.2
2023-07-13,,16.9,27.791999999999998,16.1
2023-07-14,,24.9,31.5,16.9
2023-07-15,,16.9,24.084000000000003,17.6
2023-07-16,,23.7,22.536,19.8
2023-07-17,,20.8,29.628000000000004,17.2
2023-07-18,,19.2,27.791999999999998,16.6
2023-07-19,,22.2,31.5,19.4
2023-07-20,,19.5,29.628000000000004,18.7
2023-07-21,,16.1,22.212,17.3
2023-07-22,,19.9,19.296000000000003,14.4
2023-07-23,,16.4,31.5,15.5
2023-07-24,,18.4,22.212,16.0
2023-07-25,,21.0,24.084000000000003,20.9
2023-07-26,,21.4,22.212,27.0
2023-07-27,,20.1,27.791999999999998,22.0
2023-07-28,,17.4,25.92,20.9
2023-07-29,,18.4,19.296000000000003,18.4
2023-07-30,,18.8,22.212,18.4
2023-07-31,,18.1,29.628000000000004,18.7
2023-08-01,,21.8,22.212,13.7
2023-08-02,,17.6,18.503999999999998,16.6
2023-08-03,,17.0,25.92,16.9
2023-08-04,,17.8,20.376,15.1
2023-08-05,,19.8,25.92,15.5
2023-08-06,,15.7,18.503999999999998,16.6
2023-08-07,,20.8,24.084000000000003,18.4
2023-08-08,,21.4,24.084000000000003,19.1
2023-08-09,,21.9,24.084000000000003,19.4
2023-08-10,,17.8,24.156,17.6
2023-08-11,,16.8,24.084000000000003,17.3
2023-08-12,,21.4,20.376,17.6
2023-08-13,,24.7,29.628000000000004,21.2
2023-08-14,,21.4,27.791999999999998,18.0
2023-08-15,,30.5,32.184,17.3
2023-08-16,,23.4,29.628000000000004,25.2
2023-08-17,,30.9,51.84,21.6
2023-08-18,,17.9,29.628000000000004,13.3
2023-08-19,,23.6,35.172,25.6
2023-08-20,,30.2,32.184,28.4
2023-08-21,,34.3,35.388,29.9
2023-08-22,,27.7,31.5,28.8
2023-08-23,,25.0,33.336,22.7
2023-08-24,,20.0,24.084000000000003,19.8
2023-08-25,,21.6,25.92,25.2
2023-08-26,,23.6,24.084000000000003,27.0
2023-08-27,,17.4,27.791999999999998,17.3
2023-08-28,,20.2,29.628000000000004,23.0
2023-08-29,,34.1,40.752,31.3
2023-08-30,,36.3,42.588,40.7
2023-08-31,,25.2,37.044,26.3
2023-09-01,,17.5,38.88,29.5
2023-09-02,,18.9,27.791999999999998,27.7
2023-09-03,,26.4,27.791999999999998,27.4
2023-09-04,,23.7,37.044,24.1
2023-09-05,,22.4,25.740000000000002,22.3
2023-09-06,,17.8,22.536,20.9
2023-09-07,,21.8,20.916,18.7
2023-09-08,,21.6,24.156,20.5
2023-09-09,,19.2,22.536,19.1
2023-09-10,,19.6,20.376,20.2
2023-09-11,,19.5,22.536,21.2
2023-09-12,,23.4,25.92,22.7
2023-09-13,,23.4,22.212,23.8
2023-09-14,,16.6,25.92,19.1
2023-09-15,,18.8,24.084000000000003,15.8
2023-09-16,,18.7,20.376,19.1
