date,openMeteo_max_apparent_temp,virtualCrossing_max_apparent_temp
2023-04-01,,21.7
2023-04-02,,11.2
2023-04-03,,14.3
2023-04-04,,22.2
2023-04-05,,14.3
2023-04-06,,25.6
2023-04-07,,16.1
2023-04-08,,11.1
2023-04-09,,12.8
2023-04-10,,18.8
2023-04-11,,23.3
2023-04-12,,27.3
2023-04-13,,29.7
2023-04-14,,30.1
2023-04-15,,23.4
2023-04-16,,20.6
2023-04-17,,19.4
2023-04-18,,13.9
2023-04-19,,17.9
2023-04-20,,18.3
2023-04-21,,21.1
2023-04-22,,18.4
2023-04-23,,19.9
2023-04-24,,15.7
2023-04-25,,15.0
2023-04-26,,14.3
2023-04-27,,13.4
2023-04-28,,12.8
2023-04-29,,11.7
2023-04-30,,15.7
2023-05-01,,16.2
2023-05-02,,13.3
2023-05-03,,13.4
2023-05-04,,12.2
2023-05-05,,17.8
2023-05-06,,22.8
2023-05-07,,25.0
2023-05-08,,24.4
2023-05-09,,21.1
2023-05-10,,22.2
2023-05-11,,26.2
2023-05-12,,29.0
2023-05-13,,27.0
2023-05-14,,23.3
2023-05-15,,22.9
2023-05-16,,25.7
2023-05-17,,21.7
2023-05-18,,15.6
2023-05-19,,20.6
2023-05-20,,18.4
2023-05-21,,20.7
2023-05-22,,23.3
2023-05-23,,21.1
2023-05-24,,24.4
2023-05-25,,19.4
2023-05-26,,22.2
2023-05-27,,25.6
2023-05-28,,25.6
2023-05-29,,26.1
2023-05-30,,21.7
2023-05-31,,24.9
2023-06-01,,28.5
2023-06-02,,30.8
2023-06-03,,20.6
2023-06-04,,20.6
2023-06-05,,23.8
2023-06-06,,25.6
2023-06-07,,20.6
2023-06-08,,21.7
2023-06-09,,22.2
2023-06-10,,25.0
2023-06-11,,27.2
2023-06-12,,24.4
2023-06-13,,25.7
2023-06-14,,23.9
2023-06-15,,25.0
2023-06-16,,25.7
2023-06-17,,25.0
2023-06-18,,26.6
2023-06-19,,27.3
2023-06-20,,25.0
2023-06-21,,22.2
2023-06-22,,21.7
2023-06-23,,21.7
2023-06-24,,25.6
2023-06-25,,30.6
2023-06-26,,25.6
2023-06-27,,24.4
2023-06-28,,27.9
2023-06-29,,27.3
2023-06-30,,28.3
2023-07-01,,27.9
2023-07-02,,31.9
2023-07-03,,33.1
2023-07-04,,30.3
2023-07-05,,34.3
2023-07-06,,33.9
2023-07-07,,32.7
2023-07-08,,34.0
2023-07-09,,29.2
2023-07-10,,29.0
2023-07-11,,30.6
2023-07-12,,31.6
2023-07-13,,34.1
2023-07-14,,31.0
2023-07-15,,34.3
2023-07-16,,25.7
2023-07-17,,32.5
2023-07-18,,31.7
2023-07-19,,26.2
2023-07-20,,29.7
2023-07-21,,29.8
2023-07-22,,28.1
2023-07-23,,29.2
2023-07-24,,30.1
2023-07-25,,31.6
2023-07-26,,31.5
2023-07-27,,37.4
2023-07-28,,34.9
2023-07-29,,33.9
2023-07-30,,26.2
2023-07-31,,27.7
2023-08-01,,26.3
2023-08-02,,26.3
2023-08-03,,26.2
2023-08-04,,24.4
2023-08-05,,28.9
2023-08-06,,29.7
2023-08-07,,28.5
2023-08-08,,26.2
2023-08-09,,29.0
2023-08-10,,28.0
2023-08-11,,28.7
2023-08-12,,31.2
2023-08-13,,31.6
2023-08-14,,30.6
2023-08-15,,26.1
2023-08-16,,28.5
2023-08-17,,25.7
2023-08-18,,26.2
2023-08-19,,25.7
2023-08-20,,28.6
2023-08-21,,31.9
2023-08-22,,26.1
2023-08-23,,26.2
2023-08-24,,22.9
2023-08-25,,25.7
2023-08-26,,30.0
2023-08-27,,28.6
2023-08-28,,23.9
2023-08-29,,26.1
2023-08-30,,28.8
2023-08-31,,24.3
2023-09-01,,23.8
2023-09-02,,25.7
2023-09-03,,31.6
2023-09-04,,32.3
2023-09-05,,35.2
2023-09-06,,35.8
2023-09-07,,36.3
2023-09-08,,36.3
2023-09-09,,31.4
2023-09-10,,24.3
2023-09-11,,28.7
2023-09-12,,28.3
2023-09-13,,25.7
2023-09-14,,24.4
2023-09-15,,20.0
2023-09-16,,23.4
2023-09-17,,24.4
2023-09-18,,20.0
2023-09-19,,22.2
2023-09-20,,22.3
2023-09-21,,21.7
2023-09-22,,21.1
2023-09-23,,17.2
2023-09-24,,18.8
2023-09-25,,18.3
2023-09-26,,15.7
2023-09-27,,17.3
2023-09-28,,17.9
2023-09-29,,17.2
2023-09-30,,18.8
2023-10-01,,24.4
2023-10-02,,25.0
2023-10-03,,27.1
2023-10-04,,28.5
2023-10-05,,24.4
2023-10-06,,21.7
2023-10-07,,21.1
2023-10-08,,14.4
2023-10-09,,15.0
2023-10-10,,16.7
2023-10-11,17.7735,20.7
2023-10-12,19.101952,20.0
2023-10-13,14.890715,16.7
2023-10-14,12.844809,13.4
2023-10-15,10.929781,15.0
2023-10-16,14.290821,17.2
2023-10-17,15.306129,16.2
2023-10-18,16.947418,16.7
2023-10-19,16.307957,17.9
2023-10-20,18.326551,17.2
2023-10-21,17.775032,16.7
2023-10-22,8.973171,13.9
2023-10-23,13.598415,15.0
2023-10-24,16.207403,17.9
2023-10-25,21.601019,21.7
2023-10-26,26.100851,25.0
2023-10-27,24.20098,22.9
2023-10-28,27.426626,26.2
2023-10-29,15.42263,18.8
2023-10-30,14.650688,15.6
2023-10-31,8.140779,10.6
2023-11-01,6.4177675,8.4
2023-11-02,5.803138,7.9
2023-11-03,8.917864,12.9
2023-11-04,12.898661,16.0
2023-11-05,15.622162,17.8
2023-11-06,11.584049,13.3
2023-11-07,16.501966,17.2
2023-11-08,9.015046,12.2
2023-11-09,13.493731,13.9
2023-11-10,7.8477373,11.7
2023-11-11,8.409639,12.2
2023-11-12,3.874217,6.2
2023-11-13,5.442852,8.8
2023-11-14,6.7485085,11.7
2023-11-15,7.8229027,11.7
2023-11-16,16.24244,17.9
2023-11-17,16.709616,19.3
2023-11-18,15.419971,17.2
2023-11-19,8.37633,12.9
2023-11-20,2.6976423,5.9
2023-11-21,3.3824759,7.1
2023-11-22,9.319327,12.2
2023-11-23,8.426269,11.2
2023-11-24,5.5944433,10.6
2023-11-25,1.4868941,3.9
2023-11-26,6.4994774,11.7
2023-11-27,8.28656,12.8
2023-11-28,-2.0584288,0.4
2023-11-29,-2.6025004,1.2
2023-11-30,5.9531126,10.0
2023-12-01,5.9020166,9.9
2023-12-02,13.677034,15.0
2023-12-03,8.163404,11.7
2023-12-04,6.725602,11.1
2023-12-05,2.0915475,6.1
2023-12-06,0.46048975,3.3
2023-12-07,-0.93560696,2.6
2023-12-08,6.1894503,10.0
2023-12-09,13.0311775,14.3
2023-12-10,14.124962,16.1
2023-12-11,11.824537,7.7
2023-12-12,1.3498487,6.2
2023-12-13,2.755548,6.6
2023-12-14,0.0651083,4.3
2023-12-15,9.812336,14.4
2023-12-16,9.016136,12.2
2023-12-17,11.265032,14.3
2023-12-18,14.997999,16.7
2023-12-19,0.8691473,5.6
2023-12-20,3.051422,7.2
2023-12-21,-0.7842133,3.5
2023-12-22,-0.82684994,2.9
2023-12-23,2.9605188,4.8
2023-12-24,7.6066427,8.8
2023-12-25,7.3452663,9.3
2023-12-26,7.8158426,10.6
2023-12-27,5.8157578,8.3
2023-12-28,10.069477,12.8
2023-12-29,9.182203,12.8
2023-12-30,4.5632267,7.7
2023-12-31,2.1111784,6.1
2024-01-01,4.799818,7.2
2024-01-02,1.7121019,5.0
2024-01-03,2.0192633,4.6
2024-01-04,0.92211914,4.5
2024-01-05,-1.9211164,1.4
2024-01-06,-1.4482157,1.7
2024-01-07,-1.5446191,2.0
2024-01-08,2.3176289,6.2
2024-01-09,7.048992,13.4
2024-01-10,11.5151005,13.8
2024-01-11,3.200016,6.7
2024-01-12,6.4024696,8.8
2024-01-13,11.825663,15.6
2024-01-14,-1.6221557,2.7
2024-01-15,-6.796814,-2.1
2024-01-16,-4.696995,-5.0
2024-01-17,-11.395146,-9.4
2024-01-18,-4.599685,-1.0
2024-01-19,-4.5202184,-0.6
2024-01-20,-9.383276,-8.8
2024-01-21,-8.159918,-5.2
2024-01-22,-2.6381333,0.2
2024-01-23,1.9864793,3.8
2024-01-24,3.642674,7.7
2024-01-25,13.2449,14.3
2024-01-26,6.8656254,7.2
2024-01-27,5.906414,8.3
2024-01-28,3.004459,4.2
2024-01-29,-1.0722501,2.8
2024-01-30,-0.3009119,2.8
2024-01-31,0.49095154,3.8
2024-02-01,3.579576,7.8
2024-02-02,3.7041674,7.2
2024-02-03,-0.014355183,4.1
2024-02-04,3.1224813,7.2
2024-02-05,1.4327221,4.5
2024-02-06,0.77264786,3.9
2024-02-07,4.496874,8.4
2024-02-08,8.518645,11.1
2024-02-09,8.262791,12.2
2024-02-10,12.600592,15.0
2024-02-11,9.016838,13.3
2024-02-12,5.8877974,8.3
2024-02-13,0.46826172,2.0
2024-02-14,-3.036529,0.8
2024-02-15,-0.7551465,1.4
2024-02-16,-0.45937824,3.8
2024-02-17,-2.3323324,0.8
2024-02-18,-2.2371435,3.8
2024-02-19,-0.58659244,3.1
2024-02-20,0.20245552,2.6
2024-02-21,0.6175771,3.0
2024-02-22,1.5450034,5.6
2024-02-23,5.3089285,8.3
2024-02-24,2.1847982,5.2
2024-02-25,-0.5067582,4.3
2024-02-26,8.444134,12.2
2024-02-27,8.952074,12.2
2024-02-28,12.257631,16.1
2024-02-29,0.0011324883,2.8
2024-03-01,3.0282812,8.3
2024-03-02,9.105871,12.8
2024-03-03,17.937044,19.3
2024-03-04,10.639716,14.3
2024-03-05,5.0297556,8.3
2024-03-06,8.795804,11.7
2024-03-07,7.571702,12.2
2024-03-08,9.871391,13.3
2024-03-09,2.7057137,7.4
2024-03-10,5.695177,8.8
2024-03-11,2.7577014,11.1
2024-03-12,13.267855,18.8
2024-03-13,13.856569,16.2
2024-03-14,20.874563,22.8
2024-03-15,19.496357,21.7
2024-03-16,12.271187,16.1
2024-03-17,11.073134,16.7
2024-03-18,5.374753,
2024-03-19,2.0359802,
2024-03-20,9.174525,
2024-03-21,-0.5724349,
2024-03-22,2.1994705,
2024-03-23,7.822263,
2024-03-24,3.5686026,
