date,openMeteo_max_temp,weatherApi_max_temp,virtualCrossing_max_temp,openWeather_max_temp,worldWeather_max_temp
2023-04-01,,22.4,21.7,19.98,22.0
2023-04-02,,11.4,11.2,20.83,11.0
2023-04-03,,16.1,14.3,13.89,16.0
2023-04-04,,20.2,22.2,20.65,20.0
2023-04-05,,14.1,14.3,19.65,14.0
2023-04-06,,26.1,25.6,23.96,26.0
2023-04-07,,15.7,16.1,24.87,16.0
2023-04-08,,10.4,11.1,12.1,10.0
2023-04-09,,13.8,12.8,11.47,14.0
2023-04-10,,16.7,18.8,17.63,17.0
2023-04-11,,21.9,23.3,22.77,22.0
2023-04-12,,24.5,28.8,27.93,24.0
2023-04-13,,28.3,31.7,30.94,28.0
2023-04-14,,31.6,32.2,30.85,32.0
2023-04-15,,20.9,23.4,30.19,21.0
2023-04-16,,19.7,20.6,19.92,20.0
2023-04-17,,19.5,19.4,19.9,20.0
2023-04-18,,12.8,13.9,19.13,13.0
2023-04-19,,18.2,17.9,15.76,18.0
2023-04-20,,20.9,18.3,17.55,21.0
2023-04-21,,20.9,21.1,19.24,21.0
2023-04-22,,22.6,18.4,18.96,23.0
2023-04-23,,20.2,19.9,18.98,20.0
2023-04-24,,16.3,15.7,19.13,16.0
2023-04-25,,15.6,15.0,15.47,16.0
2023-04-26,,16.8,14.3,14.17,17.0
2023-04-27,,16.4,13.4,13.74,16.0
2023-04-28,,13.4,12.8,13.45,13.0
2023-04-29,,13.0,11.7,11.84,13.0
2023-04-30,,15.4,15.7,13.35,15.0
2023-05-01,,14.7,16.2,15.3,15.0
2023-05-02,,13.0,13.3,15.87,13.0
2023-05-03,,11.3,13.4,13.18,11.0
2023-05-04,,11.4,12.2,13.24,11.0
2023-05-05,,15.7,17.8,16.01,16.0
2023-05-06,,20.0,22.8,21.87,20.0
2023-05-07,,23.6,25.0,24.29,24.0
2023-05-08,,24.4,24.4,24.37,24.0
2023-05-09,,16.0,21.1,24.69,16.0
2023-05-10,,22.4,22.2,21.56,22.0
2023-05-11,,26.6,26.7,25.93,27.0
2023-05-12,,29.2,30.6,29.68,29.0
2023-05-13,,24.9,27.2,29.11,25.0
2023-05-14,,23.7,23.3,26.83,24.0
2023-05-15,,25.1,22.9,23.02,25.0
2023-05-16,,26.8,25.7,25.86,27.0
2023-05-17,,19.1,21.7,25.68,19.0
2023-05-18,,18.0,15.6,17.52,18.0
2023-05-19,,20.7,20.6,19.96,21.0
2023-05-20,,17.9,18.4,19.58,18.0
2023-05-21,,22.6,20.7,20.72,23.0
2023-05-22,,21.8,23.3,23.09,22.0
2023-05-23,,21.3,21.1,21.76,21.0
2023-05-24,,23.8,24.4,24.45,24.0
2023-05-25,,21.1,19.4,23.11,21.0
2023-05-26,,23.7,22.2,22.03,24.0
2023-05-27,,24.7,25.6,24.79,25.0
2023-05-28,,24.5,25.6,24.89,24.0
2023-05-29,,26.3,26.1,24.47,26.0
2023-05-30,,22.5,21.7,24.2,23.0
2023-05-31,,26.0,24.9,23.62,26.0
2023-06-01,,30.4,30.0,28.71,30.0
2023-06-02,,33.1,31.2,31.02,33.0
2023-06-03,,20.9,20.6,28.59,21.0
2023-06-04,,19.2,20.6,19.38,19.0
2023-06-05,,24.9,23.8,23.14,25.0
2023-06-06,,26.1,25.6,25.53,26.0
2023-06-07,,24.6,20.6,24.34,25.0
2023-06-08,,21.8,21.7,21.61,22.0
2023-06-09,,20.2,22.2,21.55,20.0
2023-06-10,,25.6,25.0,24.57,26.0
2023-06-11,,29.1,27.2,26.71,29.0
2023-06-12,,26.2,24.4,25.27,26.0
2023-06-13,,27.6,25.7,25.68,28.0
2023-06-14,,24.0,23.9,26.26,24.0
2023-06-15,,26.1,25.0,24.55,26.0
2023-06-16,,26.6,25.7,26.13,27.0
2023-06-17,,25.6,25.0,25.36,26.0
2023-06-18,,26.3,26.7,26.08,26.0
2023-06-19,,26.5,27.2,26.28,26.0
2023-06-20,,24.6,25.0,25.06,25.0
2023-06-21,,23.1,22.2,23.76,23.0
2023-06-22,,19.0,21.7,21.61,19.0
2023-06-23,,25.0,21.7,20.83,25.0
2023-06-24,,26.8,25.6,24.71,27.0
2023-06-25,,29.0,28.8,27.76,29.0
2023-06-26,,28.6,25.6,26.33,29.0
2023-06-27,,27.2,24.4,24.64,27.0
2023-06-28,,27.1,27.2,27.08,27.0
2023-06-29,,30.2,27.2,27.38,30.0
2023-06-30,,30.1,28.4,28.63,30.0
2023-07-01,,27.5,27.8,28.11,27.0
2023-07-02,,27.6,29.4,29.95,28.0
2023-07-03,,31.5,30.7,31.32,31.0
2023-07-04,,29.6,27.9,30.85,30.0
2023-07-05,,32.6,33.3,32.8,33.0
2023-07-06,,32.1,31.7,32.74,32.0
2023-07-07,,30.2,30.0,31.06,30.0
2023-07-08,,30.1,31.1,29.59,30.0
2023-07-09,,28.2,27.2,27.69,28.0
2023-07-10,,29.0,28.4,27.94,29.0
2023-07-11,,31.6,31.1,31.16,32.0
2023-07-12,,33.2,31.8,32.75,33.0
2023-07-13,,32.7,31.2,32.64,33.0
2023-07-14,,30.0,28.3,29.94,30.0
2023-07-15,,30.4,30.6,30.89,30.0
2023-07-16,,26.2,25.7,29.62,26.0
2023-07-17,,32.0,31.2,31.49,32.0
2023-07-18,,29.4,28.4,31.26,29.0
2023-07-19,,26.6,26.2,26.76,27.0
2023-07-20,,29.2,30.0,29.38,29.0
2023-07-21,,28.8,28.9,29.12,29.0
2023-07-22,,29.4,28.4,29.18,29.0
2023-07-23,,30.2,30.0,30.47,30.0
2023-07-24,,29.7,29.3,29.75,30.0
2023-07-25,,30.0,29.4,29.93,30.0
2023-07-26,,31.8,30.0,30.88,32.0
2023-07-27,,33.7,32.9,33.43,34.0
2023-07-28,,34.2,32.9,33.51,34.0
