date,mean_sunset
2023-04-01,2023-04-01T19:20:38
2023-04-02,2023-04-02T19:21:41
2023-04-03,2023-04-03T19:22:44
2023-04-04,2023-04-04T19:23:47
2023-04-05,2023-04-05T19:24:50
2023-04-06,2023-04-06T19:25:53
2023-04-07,2023-04-07T19:26:56
2023-04-08,2023-04-08T19:27:59
2023-04-09,2023-04-09T19:29:02
2023-04-10,2023-04-10T19:30:05
2023-04-11,2023-04-11T19:31:08
2023-04-12,2023-04-12T19:32:11
2023-04-13,2023-04-13T19:33:14
2023-04-14,2023-04-14T19:34:17
2023-04-15,2023-04-15T19:35:20
2023-04-16,2023-04-16T19:36:23
2023-04-17,2023-04-17T19:37:26
2023-04-18,2023-04-18T19:38:29
2023-04-19,2023-04-19T19:39:32
2023-04-20,2023-04-20T19:40:36
2023-04-21,2023-04-21T19:41:39
2023-04-22,2023-04-22T19:42:42
2023-04-23,2023-04-23T19:43:45
2023-04-24,2023-04-24T19:44:48
2023-04-25,2023-04-25T19:45:51
2023-04-26,2023-04-26T19:46:54
2023-04-27,2023-04-27T19:47:57
2023-04-28,2023-04-28T19:48:59
2023-04-29,2023-04-29T19:50:02
2023-04-30,2023-04-30T19:51:05
2023-05-01,2023-05-01T19:52:07
2023-05-02,2023-05-02T19:53:10
2023-05-03,2023-05-03T19:54:12
2023-05-04,2023-05-04T19:55:14
2023-05-05,2023-05-05T19:56:16
2023-05-06,2023-05-06T19:57:17
2023-05-07,2023-05-07T19:58:19
2023-05-08,2023-05-08T19:59:20
2023-05-09,2023-05-09T20:00:21
2023-05-10,2023-05-10T20:01:21
2023-05-11,2023-05-11T20:02:21
2023-05-12,2023-05-12T20:03:21
2023-05-13,2023-05-13T20:04:20
2023-05-14,2023-05-14T20:05:19
2023-05-15,2023-05-15T20:06:18
2023-05-16,2023-05-16T20:07:15
2023-05-17,2023-05-17T20:08:13
2023-05-18,2023-05-18T20:09:10
2023-05-19,2023-05-19T20:10:06
2023-05-20,2023-05-20T20:11:01
2023-05-21,2023-05-21T20:11:56
2023-05-22,2023-05-22T20:12:50
