date,openMeteo_min_apparent_temp,virtualCrossing_min_apparent_temp
2023-04-01,,12.2
2023-04-02,,-0.4
2023-04-03,,1.0
2023-04-04,,8.3
2023-04-05,,5.7
2023-04-06,,6.4
2023-04-07,,5.9
2023-04-08,,0.1
2023-04-09,,3.6
2023-04-10,,4.5
2023-04-11,,11.1
2023-04-12,,18.4
2023-04-13,,19.9
2023-04-14,,21.1
2023-04-15,,15.6
2023-04-16,,14.3
2023-04-17,,12.2
2023-04-18,,5.9
2023-04-19,,5.8
2023-04-20,,5.4
2023-04-21,,10.6
2023-04-22,,10.6
2023-04-23,,12.2
2023-04-24,,5.1
2023-04-25,,7.7
2023-04-26,,7.4
2023-04-27,,10.6
2023-04-28,,5.9
2023-04-29,,5.9
2023-04-30,,7.7
2023-05-01,,7.7
2023-05-02,,7.1
2023-05-03,,5.9
2023-05-04,,6.8
2023-05-05,,8.0
2023-05-06,,8.4
2023-05-07,,13.3
2023-05-08,,14.4
2023-05-09,,12.9
2023-05-10,,10.6
2023-05-11,,13.9
2023-05-12,,18.8
2023-05-13,,21.7
2023-05-14,,15.6
2023-05-15,,11.2
2023-05-16,,15.0
2023-05-17,,11.7
2023-05-18,,6.2
2023-05-19,,11.7
2023-05-20,,13.9
2023-05-21,,13.3
2023-05-22,,13.9
2023-05-23,,12.9
2023-05-24,,11.7
2023-05-25,,10.6
2023-05-26,,11.7
2023-05-27,,13.4
2023-05-28,,15.6
2023-05-29,,16.7
2023-05-30,,13.3
2023-05-31,,10.7
2023-06-01,,15.0
2023-06-02,,18.8
2023-06-03,,14.3
2023-06-04,,9.4
2023-06-05,,13.3
2023-06-06,,15.7
2023-06-07,,14.3
2023-06-08,,12.9
2023-06-09,,14.3
2023-06-10,,14.4
2023-06-11,,18.3
2023-06-12,,19.4
2023-06-13,,17.9
2023-06-14,,17.9
2023-06-15,,16.2
2023-06-16,,17.9
2023-06-17,,16.7
2023-06-18,,17.2
2023-06-19,,18.8
2023-06-20,,17.8
2023-06-21,,16.7
2023-06-22,,15.7
2023-06-23,,18.3
2023-06-24,,20.6
2023-06-25,,21.7
2023-06-26,,21.1
2023-06-27,,19.4
2023-06-28,,19.4
2023-06-29,,18.4
2023-06-30,,21.1
2023-07-01,,20.6
2023-07-02,,21.2
2023-07-03,,22.9
2023-07-04,,22.9
2023-07-05,,22.2
2023-07-06,,24.4
2023-07-07,,23.9
2023-07-08,,24.4
2023-07-09,,22.4
2023-07-10,,22.2
2023-07-11,,20.6
2023-07-12,,24.4
2023-07-13,,25.0
2023-07-14,,22.2
2023-07-15,,22.2
2023-07-16,,23.4
2023-07-17,,23.3
2023-07-18,,22.9
2023-07-19,,22.8
2023-07-20,,22.8
2023-07-21,,21.8
2023-07-22,,21.1
2023-07-23,,20.7
2023-07-24,,23.8
2023-07-25,,20.7
2023-07-26,,20.0
2023-07-27,,23.9
2023-07-28,,23.9
2023-07-29,,23.8
2023-07-30,,18.8
2023-07-31,,18.9
2023-08-01,,18.9
2023-08-02,,17.8
2023-08-03,,19.3
2023-08-04,,21.7
2023-08-05,,21.7
2023-08-06,,20.7
2023-08-07,,20.7
2023-08-08,,21.2
2023-08-09,,20.7
2023-08-10,,21.2
2023-08-11,,19.4
2023-08-12,,21.1
2023-08-13,,20.7
2023-08-14,,22.8
2023-08-15,,21.2
2023-08-16,,20.7
2023-08-17,,22.8
2023-08-18,,19.2
2023-08-19,,17.2
2023-08-20,,18.9
2023-08-21,,22.8
2023-08-22,,19.4
2023-08-23,,18.3
2023-08-24,,19.4
2023-08-25,,21.2
2023-08-26,,23.2
2023-08-27,,21.1
2023-08-28,,21.7
2023-08-29,,20.0
2023-08-30,,21.7
2023-08-31,,18.3
2023-09-01,,16.1
2023-09-02,,16.7
2023-09-03,,20.6
2023-09-04,,22.9
2023-09-05,,23.9
2023-09-06,,25.0
2023-09-07,,26.1
2023-09-08,,22.2
