date,openMeteo_min_temp,weatherApi_min_temp,virtualCrossing_min_temp,openWeather_min_temp,worldWeather_min_temp
2023-04-01,,10.6,12.2,9.74,11.0
2023-04-02,,1.1,4.4,4.73,1.0
2023-04-03,,0.5,3.8,3.17,1.0
2023-04-04,,7.7,8.8,7.65,8.0
2023-04-05,,10.9,8.3,9.73,11.0
2023-04-06,,10.3,8.3,8.5,10.0
2023-04-07,,7.8,7.8,10.84,8.0
2023-04-08,,3.8,3.3,2.32,4.0
2023-04-09,,3.8,5.0,4.05,4.0
2023-04-10,,4.0,6.1,4.36,4.0
2023-04-11,,8.1,11.1,8.37,8.0
2023-04-12,,14.7,18.4,18.01,15.0
2023-04-13,,14.0,19.9,16.92,14.0
2023-04-14,,15.6,21.1,18.1,16.0
2023-04-15,,15.2,15.6,16.93,15.0
2023-04-16,,14.1,14.3,14.11,14.0
2023-04-17,,12.8,12.2,12.07,13.0
2023-04-18,,8.4,8.3,9.38,8.0
2023-04-19,,6.1,7.8,6.9,6.0
2023-04-20,,9.1,7.2,6.67,9.0
2023-04-21,,10.1,10.6,9.33,10.0
2023-04-22,,11.7,10.6,10.66,12.0
2023-04-23,,9.7,12.2,12.63,10.0
2023-04-24,,8.2,7.2,6.41,8.0
2023-04-25,,6.2,7.9,7.12,6.0
2023-04-26,,7.2,7.8,7.68,7.0
2023-04-27,,7.2,10.6,9.28,7.0
2023-04-28,,9.2,8.4,8.65,9.0
2023-04-29,,9.7,8.8,8.63,10.0
2023-04-30,,11.2,10.0,10.12,11.0
2023-05-01,,9.4,9.4,9.14,9.0
2023-05-02,,8.6,7.9,8.59,9.0
2023-05-03,,6.6,8.4,7.77,7.0
2023-05-04,,7.0,8.8,8.22,7.0
2023-05-05,,7.1,8.8,7.48,7.0
2023-05-06,,8.0,8.9,8.28,8.0
2023-05-07,,10.0,13.3,11.77,10.0
2023-05-08,,14.1,14.4,14.13,14.0
2023-05-09,,10.9,12.9,12.49,11.0
2023-05-10,,11.0,10.6,9.71,11.0
2023-05-11,,11.7,13.9,12.48,12.0
2023-05-12,,14.8,18.8,16.29,15.0
2023-05-13,,18.5,21.7,19.59,19.0
2023-05-14,,13.9,15.6,14.5,14.0
2023-05-15,,10.3,11.2,11.04,10.0
2023-05-16,,13.0,15.0,13.39,13.0
2023-05-17,,11.4,11.7,12.76,11.0
2023-05-18,,7.4,6.7,6.31,7.0
2023-05-19,,9.9,11.7,10.55,10.0
2023-05-20,,12.6,13.9,13.3,13.0
2023-05-21,,12.6,13.3,12.61,13.0
2023-05-22,,13.7,13.9,13.95,14.0
2023-05-23,,12.1,12.9,12.43,12.0
2023-05-24,,12.0,11.7,11.17,12.0
2023-05-25,,8.9,10.6,9.74,9.0
2023-05-26,,10.1,11.7,10.67,10.0
2023-05-27,,11.9,13.4,13.16,12.0
2023-05-28,,14.2,15.6,13.51,14.0
2023-05-29,,15.3,16.7,15.41,15.0
