date,openMeteo_total_precipitation,virtualCrossing_total_precipitation,openWeather_total_precipitation,weatherApi_total_precipitation
2023-04-01,,9.093,3.34,15.35
2023-04-02,,0.496,2.29,0.0
2023-04-03,,0.0,0.0,0.0
2023-04-04,,0.0,0.0,0.0
2023-04-05,,0.002,0.0,0.1
2023-04-06,,0.002,0.0,13.5
2023-04-07,,0.0,0.0,0.1
2023-04-08,,0.0,0.0,0.0
2023-04-09,,0.0,0.0,0.1
2023-04-10,,0.0,0.0,0.0
2023-04-11,,0.0,0.0,0.0
2023-04-12,,0.0,0.0,0.0
2023-04-13,,0.0,0.0,0.0
2023-04-14,,0.0,0.0,0.0
2023-04-15,,0.533,0.31,4.15
2023-04-16,,0.0,0.27,0.1
2023-04-17,,0.005,0.84,1.8
2023-04-18,,0.0,0.0,0.1
2023-04-19,,0.0,0.0,0.0
2023-04-20,,0.0,0.0,0.7
2023-04-21,,0.0,0.0,0.0
2023-04-22,,11.948,0.0,4.7
2023-04-23,,37.642,40.89,26.45
2023-04-24,,0.0,0.0,0.0
2023-04-25,,0.0,0.0,0.3
2023-04-26,,0.002,0.44,1.9
2023-04-27,,0.0,0.0,4.5
2023-04-28,,4.388,0.0,6.1
2023-04-29,,66.467,35.38,66.65
2023-04-30,,53.77,7.25,37.8
2023-05-01,,2.275,30.33,2.9
2023-05-02,,6.088,2.71,3.5
2023-05-03,,0.003,0.0,1.0
2023-05-04,,1.214,5.0,4.9
2023-05-05,,0.215,0.0,0.5
2023-05-06,,0.0,0.0,0.0
2023-05-07,,0.588,0.0,1.5
2023-05-08,,0.0,0.35,5.1
2023-05-09,,0.0,0.0,2.1
2023-05-10,,0.0,0.0,0.0
2023-05-11,,0.0,0.0,0.0
2023-05-12,,0.0,0.0,0.0
2023-05-13,,0.0,0.0,0.0
2023-05-14,,0.0,0.0,0.0
2023-05-15,,0.0,0.0,0.0
2023-05-16,,0.0,0.0,0.0
2023-05-17,,0.0,0.0,0.0
2023-05-18,,0.0,0.0,0.0
2023-05-19,,0.0,0.0,0.0
2023-05-20,,19.299,6.15,17.2
2023-05-21,,0.59,2.78,0.0
2023-05-22,,0.0,0.0,0.2
2023-05-23,,0.0,0.0,0.0
2023-05-24,,1.653,0.0,0.3
2023-05-25,,0.0,1.67,0.0
2023-05-26,,0.0,0.0,0.0
2023-05-27,,0.0,0.0,0.0
2023-05-28,,0.0,0.0,0.0
2023-05-29,,0.0,0.0,0.0
2023-05-30,,0.0,0.0,0.0
2023-05-31,,0.0,0.0,0.0
2023-06-01,,0.0,0.0,0.0
2023-06-02,,6.001,0.0,0.0
2023-06-03,,0.0,1.46,0.0
2023-06-04,,0.0,0.0,0.0
2023-06-05,,0.0,0.0,0.0
2023-06-06,,0.016,0.0,2.9
2023-06-07,,0.0,0.0,0.0
2023-06-08,,0.0,0.0,0.0
2023-06-09,,0.0,0.0,1.55
2023-06-10,,0.0,0.0,0.2
2023-06-11,,0.315,2.3,0.3
2023-06-12,,3.578,0.0,8.75
2023-06-13,,0.0,9.4,4.65
2023-06-14,,3.699,1.0,18.9
2023-06-15,,0.0,0.23,0.0
2023-06-16,,5.883,5.11,24.3
2023-06-17,,0.003,0.0,1.5
2023-06-18,,0.0,0.0,0.0
2023-06-19,,0.0,0.0,0.6
2023-06-20,,0.0,0.0,0.0
2023-06-21,,0.0,0.0,0.0
2023-06-22,,0.006,0.39,7.25
2023-06-23,,0.828,0.0,5.6
2023-06-24,,1.316,2.78,17.1
2023-06-25,,0.021,0.0,11.7
2023-06-26,,6.021,17.63,12.5
2023-06-27,,8.6,8.12,15.8
2023-06-28,,0.0,1.31,1.0
2023-06-29,,0.0,0.0,0.0
2023-06-30,,0.0,0.0,0.0
2023-07-01,,0.0,0.0,0.0
2023-07-02,,5.619,0.0,16.8
2023-07-03,,14.021,0.91,13.9
2023-07-04,,5.757,0.51,6.05
2023-07-05,,0.0,0.0,0.1
2023-07-06,,0.0,0.0,0.2
2023-07-07,,0.0,0.0,0.4
2023-07-08,,0.171,0.0,4.0
2023-07-09,,21.969,0.0,9.7
2023-07-10,,0.249,12.26,4.4
2023-07-11,,0.0,0.0,0.0
2023-07-12,,0.0,0.0,0.0
