lat,lon,tz,date,units,cloud_cover.afternoon,humidity.afternoon,precipitation.total,temperature.min,temperature.max,temperature.afternoon,temperature.night,temperature.evening,temperature.morning,pressure.afternoon,wind.max.speed,wind.max.direction
30.1444,-97.66876,-05:00,2023-04-01,metric,55.0,45.0,0.0,15.32,31.41,16.77,28.89,15.76,27.24,1015.0,8.23,210.0
30.1444,-97.66876,-05:00,2023-04-02,metric,100.0,59.0,0.0,17.0,27.88,17.62,27.74,18.17,22.62,1014.0,8.23,180.0
30.1444,-97.66876,-05:00,2023-04-03,metric,100.0,89.0,0.0,21.65,30.7,21.86,27.35,21.82,26.55,1008.0,8.23,180.0
30.1444,-97.66876,-05:00,2023-04-04,metric,100.0,88.0,0.0,22.41,32.37,23.24,31.7,22.41,27.69,1005.0,9.77,170.0
30.1444,-97.66876,-05:00,2023-04-05,metric,100.0,88.0,0.0,15.76,30.39,24.14,29.66,19.01,26.05,1006.0,9.77,160.0
30.1444,-97.66876,-05:00,2023-04-06,metric,100.0,46.0,28.89,8.29,21.38,15.06,20.83,9.58,18.4,1020.0,11.32,10.0
30.1444,-97.66876,-05:00,2023-04-07,metric,100.0,93.0,18.67,9.11,10.58,10.29,9.11,9.61,10.36,1022.0,8.23,360.0
30.1444,-97.66876,-05:00,2023-04-08,metric,100.0,93.0,3.83,10.73,15.22,11.76,10.73,12.14,11.58,1019.0,6.17,30.0
30.1444,-97.66876,-05:00,2023-04-09,metric,100.0,90.0,0.0,13.07,21.4,14.61,16.18,13.85,15.6,1021.0,5.14,350.0
30.1444,-97.66876,-05:00,2023-04-10,metric,20.0,90.0,0.0,13.28,22.62,15.06,22.05,14.0,20.26,1021.0,4.12,60.0
30.1444,-97.66876,-05:00,2023-04-11,metric,0.0,90.0,0.0,11.64,22.32,13.8,20.96,12.74,19.66,1021.0,5.14,30.0
30.1444,-97.66876,-05:00,2023-04-12,metric,0.0,87.0,0.0,11.33,24.13,13.04,22.9,13.18,20.34,1020.0,4.12,70.0
30.1444,-97.66876,-05:00,2023-04-13,metric,0.0,85.0,0.0,12.36,25.31,14.88,24.81,13.36,21.52,1012.0,4.12,120.0
30.1444,-97.66876,-05:00,2023-04-14,metric,74.0,79.0,0.0,16.47,26.25,17.08,25.08,17.5,22.16,1008.0,6.17,170.0
30.1444,-97.66876,-05:00,2023-04-15,metric,100.0,90.0,0.0,16.84,28.41,22.31,22.36,17.42,23.57,1008.0,7.2,180.0
30.1444,-97.66876,-05:00,2023-04-16,metric,0.0,49.0,0.0,13.46,33.28,18.74,31.1,13.49,26.47,1019.0,9.77,40.0
30.1444,-97.66876,-05:00,2023-04-17,metric,5.0,70.0,0.0,10.49,24.32,12.52,22.38,12.77,19.51,1020.0,6.69,40.0
30.1444,-97.66876,-05:00,2023-04-18,metric,100.0,78.0,0.0,17.17,25.22,17.18,25.1,18.43,21.97,1013.0,6.69,150.0
30.1444,-97.66876,-05:00,2023-04-19,metric,100.0,86.0,0.0,20.77,25.83,20.81,22.34,21.43,22.94,1011.0,8.23,170.0
30.1444,-97.66876,-05:00,2023-04-20,metric,100.0,87.0,0.0,21.71,28.56,21.91,25.56,22.32,24.17,1012.0,7.72,150.0
30.1444,-97.66876,-05:00,2023-04-21,metric,100.0,92.0,5.25,17.9,29.42,19.21,29.42,18.15,24.84,1011.0,10.29,140.0
30.1444,-97.66876,-05:00,2023-04-22,metric,0.0,79.0,0.0,13.49,26.43,15.94,24.64,14.72,22.2,1012.0,7.2,120.0
30.1444,-97.66876,-05:00,2023-04-23,metric,75.0,64.0,0.0,11.14,26.08,18.43,25.48,11.17,22.86,1014.0,10.8,30.0
30.1444,-97.66876,-05:00,2023-04-24,metric,100.0,85.0,0.0,12.0,16.82,12.75,15.67,12.01,13.38,1018.0,8.75,30.0
30.1444,-97.66876,-05:00,2023-04-25,metric,100.0,85.0,0.39,16.68,21.22,17.86,18.91,17.01,19.53,1013.0,5.14,50.0
30.1444,-97.66876,-05:00,2023-04-26,metric,100.0,91.0,0.23,19.67,26.12,20.17,20.98,20.48,21.04,1010.0,6.17,180.0
30.1444,-97.66876,-05:00,2023-04-27,metric,100.0,91.0,5.5,16.1,28.7,17.55,28.18,16.48,25.25,1010.0,7.2,40.0
30.1444,-97.66876,-05:00,2023-04-28,metric,0.0,83.0,0.0,15.35,27.55,15.71,25.09,17.96,22.56,1007.0,5.66,330.0
30.1444,-97.66876,-05:00,2023-04-29,metric,40.0,79.0,40.11,11.69,29.07,13.58,28.43,13.0,18.09,1015.0,13.38,180.0
