lat,lon,tz,date,units,cloud_cover.afternoon,humidity.afternoon,precipitation.total,temperature.min,temperature.max,temperature.afternoon,temperature.night,temperature.evening,temperature.morning,pressure.afternoon,wind.max.speed,wind.max.direction
41.78701,-87.77166,-05:00,2023-04-01,metric,0.0,69.0,7.02,2.41,19.64,7.65,19.64,2.58,18.01,994.0,12.86,280.0
41.78701,-87.77166,-05:00,2023-04-02,metric,0.0,86.0,0.0,-1.19,9.71,-0.47,4.03,0.74,2.94,1019.0,9.26,330.0
41.78701,-87.77166,-05:00,2023-04-03,metric,0.0,71.0,0.0,6.57,15.4,9.01,11.03,7.99,11.5,1007.0,9.77,170.0
41.78701,-87.77166,-05:00,2023-04-04,metric,100.0,89.0,6.24,6.67,15.97,7.05,15.97,7.32,9.6,1009.0,8.75,50.0
41.78701,-87.77166,-05:00,2023-04-05,metric,100.0,79.0,5.23,11.69,21.27,21.18,11.69,18.59,16.55,1000.0,13.38,190.0
41.78701,-87.77166,-05:00,2023-04-06,metric,29.0,70.0,0.0,-0.22,13.32,2.73,13.32,0.87,5.39,1020.0,12.86,270.0
41.78701,-87.77166,-05:00,2023-04-07,metric,0.0,62.0,0.0,2.11,11.5,2.86,9.71,3.91,8.49,1031.0,7.2,270.0
41.78701,-87.77166,-05:00,2023-04-08,metric,0.0,80.0,0.0,2.3,15.49,2.6,10.05,5.35,5.58,1029.0,5.66,60.0
41.78701,-87.77166,-05:00,2023-04-09,metric,0.0,63.0,0.0,5.54,18.72,7.16,16.33,8.48,12.77,1028.0,7.2,160.0
41.78701,-87.77166,-05:00,2023-04-10,metric,40.0,49.0,0.0,8.31,20.14,10.76,19.42,11.13,15.56,1026.0,5.66,200.0
41.78701,-87.77166,-05:00,2023-04-11,metric,0.0,42.0,0.0,10.62,24.25,12.92,20.99,13.39,17.83,1023.0,6.17,230.0
41.78701,-87.77166,-05:00,2023-04-12,metric,40.0,54.0,0.0,14.28,25.91,17.51,24.98,16.23,22.36,1016.0,9.26,240.0
41.78701,-87.77166,-05:00,2023-04-13,metric,0.0,49.0,0.0,13.05,27.69,17.37,26.65,15.49,24.03,1011.0,10.8,240.0
41.78701,-87.77166,-05:00,2023-04-14,metric,0.0,44.0,0.0,12.77,28.27,16.09,27.55,16.56,23.36,1008.0,7.2,220.0
41.78701,-87.77166,-05:00,2023-04-15,metric,75.0,65.0,0.0,17.82,27.8,18.87,27.8,18.54,22.55,1006.0,7.72,200.0
41.78701,-87.77166,-05:00,2023-04-16,metric,100.0,82.0,9.65,4.99,27.65,15.31,27.65,9.03,23.82,1002.0,9.77,250.0
41.78701,-87.77166,-05:00,2023-04-17,metric,100.0,88.0,7.61,-0.29,5.53,0.66,5.44,-0.21,3.61,999.0,10.8,250.0
41.78701,-87.77166,-05:00,2023-04-18,metric,20.0,70.0,0.0,0.23,11.07,2.08,3.12,2.97,3.58,1010.0,9.77,300.0
41.78701,-87.77166,-05:00,2023-04-19,metric,75.0,69.0,0.0,6.11,18.21,6.17,12.35,8.55,10.78,1015.0,8.23,150.0
41.78701,-87.77166,-05:00,2023-04-20,metric,100.0,81.0,21.18,9.36,22.91,11.55,19.07,17.61,10.62,1010.0,9.26,190.0
41.78701,-87.77166,-05:00,2023-04-21,metric,75.0,77.0,2.17,6.35,26.0,8.17,23.58,7.26,18.72,1013.0,12.86,200.0
41.78701,-87.77166,-05:00,2023-04-22,metric,100.0,60.0,0.0,4.18,16.48,6.33,15.09,4.96,12.18,1009.0,8.75,250.0
41.78701,-87.77166,-05:00,2023-04-23,metric,100.0,79.0,0.28,1.73,6.81,3.13,5.86,2.82,4.66,1013.0,7.2,270.0
41.78701,-87.77166,-05:00,2023-04-24,metric,10.0,70.0,0.0,1.27,10.19,2.64,4.98,4.03,4.06,1019.0,7.2,290.0
41.78701,-87.77166,-05:00,2023-04-25,metric,100.0,81.0,7.73,3.75,11.81,6.14,10.78,3.8,8.29,1019.0,7.72,290.0
41.78701,-87.77166,-05:00,2023-04-26,metric,0.0,85.0,0.0,0.23,10.09,0.29,7.25,4.65,4.42,1023.0,7.72,30.0
41.78701,-87.77166,-05:00,2023-04-27,metric,100.0,84.0,0.0,1.74,17.23,2.41,10.56,6.68,6.18,1019.0,6.69,150.0
41.78701,-87.77166,-05:00,2023-04-28,metric,100.0,66.0,0.0,7.48,19.34,8.82,18.11,9.86,13.65,1010.0,6.69,70.0
41.78701,-87.77166,-05:00,2023-04-29,metric,20.0,70.0,3.34,5.6,16.67,6.01,16.67,9.54,12.15,1007.0,6.69,50.0
41.78701,-87.77166,-05:00,2023-04-30,metric,75.0,76.0,0.0,4.09,13.35,6.22,10.62,6.63,11.09,998.0,7.72,290.0
41.78701,-87.77166,-05:00,2023-05-01,metric,100.0,80.0,12.3,4.34,7.42,4.92,7.42,5.26,5.3,995.0,9.26,320.0
41.78701,-87.77166,-05:00,2023-05-02,metric,100.0,67.0,3.8,5.41,11.91,7.18,5.41,6.82,9.64,999.0,9.26,310.0
41.78701,-87.77166,-05:00,2023-05-03,metric,100.0,66.0,0.0,3.64,13.58,6.11,12.09,5.35,9.38,1008.0,10.29,350.0
41.78701,-87.77166,-05:00,2023-05-04,metric,20.0,81.0,0.0,4.35,20.11,6.01,14.25,9.63,9.63,1013.0,5.14,90.0
41.78701,-87.77166,-05:00,2023-05-05,metric,2.0,54.0,0.0,12.09,24.16,14.36,21.2,14.97,16.65,1013.0,8.75,180.0
