lat,lon,tz,date,units,cloud_cover.afternoon,humidity.afternoon,precipitation.total,temperature.min,temperature.max,temperature.afternoon,temperature.night,temperature.evening,temperature.morning,pressure.afternoon,wind.max.speed,wind.max.direction
25.81253,-80.24044,-04:00,2023-04-01,metric,40.0,82.0,0.0,23.79,29.2,23.89,27.24,27.07,24.14,1021.0,8.23,130.0
25.81253,-80.24044,-04:00,2023-04-02,metric,0.0,94.0,151.27,21.15,30.27,21.94,27.99,25.16,24.63,1018.0,6.69,160.0
25.81253,-80.24044,-04:00,2023-04-03,metric,20.0,88.0,0.0,22.34,29.91,22.9,29.28,27.72,25.46,1016.0,6.17,140.0
25.81253,-80.24044,-04:00,2023-04-04,metric,20.0,85.0,0.0,24.04,29.75,24.38,29.51,27.91,25.65,1016.0,6.17,120.0
25.81253,-80.24044,-04:00,2023-04-05,metric,20.0,77.0,0.0,24.29,29.56,24.65,29.56,27.59,25.4,1018.0,8.23,110.0
25.81253,-80.24044,-04:00,2023-04-06,metric,0.0,80.0,0.0,24.67,29.07,24.67,28.71,27.38,25.45,1019.0,8.75,110.0
25.81253,-80.24044,-04:00,2023-04-07,metric,20.0,79.0,0.0,24.46,28.77,24.81,28.77,27.07,25.09,1019.0,7.2,90.0
25.81253,-80.24044,-04:00,2023-04-08,metric,40.0,80.0,0.0,23.8,29.21,24.06,28.25,27.41,24.19,1017.0,6.26,90.0
25.81253,-80.24044,-04:00,2023-04-09,metric,0.0,88.0,0.0,21.75,30.39,22.77,29.1,26.75,25.04,1015.0,6.17,120.0
25.81253,-80.24044,-04:00,2023-04-10,metric,100.0,89.0,20.76,20.41,27.46,20.95,27.46,23.8,22.55,1015.0,8.75,20.0
25.81253,-80.24044,-04:00,2023-04-11,metric,100.0,91.0,26.84,21.19,23.83,21.19,22.72,23.11,21.49,1016.0,11.32,50.0
25.81253,-80.24044,-04:00,2023-04-12,metric,100.0,86.0,9.47,21.5,23.03,22.31,21.5,22.15,22.23,1015.0,10.29,60.0
25.81253,-80.24044,-04:00,2023-04-13,metric,20.0,93.0,14.21,21.8,29.58,23.21,22.66,26.97,22.01,1012.0,7.2,140.0
25.81253,-80.24044,-04:00,2023-04-14,metric,40.0,97.0,0.8,22.03,31.14,22.25,29.24,26.66,23.76,1014.0,7.2,160.0
25.81253,-80.24044,-04:00,2023-04-15,metric,20.0,94.0,711.42,23.08,30.85,23.6,30.07,28.25,25.59,1015.0,6.17,130.0
25.81253,-80.24044,-04:00,2023-04-16,metric,75.0,91.0,0.0,23.5,30.72,24.11,30.46,28.39,26.06,1016.0,7.2,140.0
25.81253,-80.24044,-04:00,2023-04-17,metric,100.0,92.0,16.97,20.46,30.31,21.72,30.17,25.99,24.52,1014.0,8.75,160.0
25.81253,-80.24044,-04:00,2023-04-18,metric,0.0,82.0,51.55,18.74,29.82,20.02,29.57,23.77,23.74,1013.0,8.75,240.0
25.81253,-80.24044,-04:00,2023-04-19,metric,20.0,68.0,0.0,20.67,27.07,20.98,27.07,24.78,23.12,1016.0,6.71,80.0
25.81253,-80.24044,-04:00,2023-04-20,metric,75.0,76.0,0.0,22.86,28.36,22.96,26.7,26.69,23.74,1017.0,7.6,90.0
25.81253,-80.24044,-04:00,2023-04-21,metric,40.0,86.0,14.55,21.64,28.49,22.68,27.89,26.59,24.38,1016.0,7.2,40.0
25.81253,-80.24044,-04:00,2023-04-22,metric,40.0,83.0,0.0,22.08,30.25,22.69,27.35,27.13,24.44,1011.0,5.14,100.0
25.81253,-80.24044,-04:00,2023-04-23,metric,0.0,91.0,2.51,21.73,29.51,22.61,28.87,25.91,23.64,1010.0,7.72,110.0
25.81253,-80.24044,-04:00,2023-04-24,metric,20.0,89.0,0.52,23.36,28.85,23.74,28.85,26.26,25.14,1013.0,6.69,100.0
25.81253,-80.24044,-04:00,2023-04-25,metric,0.0,86.0,0.0,22.68,28.99,23.43,27.23,25.4,25.2,1012.0,7.2,120.0
25.81253,-80.24044,-04:00,2023-04-26,metric,0.0,88.0,0.0,21.88,30.11,22.35,29.1,27.77,24.96,1012.0,5.66,40.0
25.81253,-80.24044,-04:00,2023-04-27,metric,0.0,94.0,5.51,21.41,30.65,21.41,29.65,28.26,24.45,1014.0,8.75,70.0
25.81253,-80.24044,-04:00,2023-04-28,metric,100.0,86.0,7.25,23.8,30.53,24.59,30.53,29.07,26.27,1012.0,8.23,160.0
25.81253,-80.24044,-04:00,2023-04-29,metric,40.0,92.0,260.48,24.68,31.25,25.18,28.75,29.26,26.48,1013.0,9.26,160.0
25.81253,-80.24044,-04:00,2023-04-30,metric,40.0,93.0,0.9,24.48,31.46,24.88,31.46,27.87,27.53,1008.0,11.32,260.0
25.81253,-80.24044,-04:00,2023-05-01,metric,0.0,84.0,0.0,19.93,29.29,20.5,29.29,24.83,23.39,1011.0,10.8,260.0
25.81253,-80.24044,-04:00,2023-05-02,metric,0.0,83.0,0.0,19.75,30.74,21.18,28.47,25.84,24.37,1014.0,6.17,110.0
25.81253,-80.24044,-04:00,2023-05-03,metric,40.0,87.0,19.96,20.81,31.25,21.05,31.13,25.83,24.55,1011.0,7.72,250.0
25.81253,-80.24044,-04:00,2023-05-04,metric,75.0,68.0,962.61,20.48,31.54,21.66,31.54,24.95,25.19,1012.0,6.17,240.0
25.81253,-80.24044,-04:00,2023-05-05,metric,0.0,77.0,0.0,21.28,29.54,22.22,28.94,27.95,23.95,1016.0,5.66,80.0
25.81253,-80.24044,-04:00,2023-05-06,metric,0.0,77.0,0.0,23.04,29.94,23.66,29.3,27.68,25.29,1017.0,6.69,80.0
25.81253,-80.24044,-04:00,2023-05-07,metric,20.0,82.0,2.28,24.04,29.07,24.3,29.07,25.52,25.38,1017.0,9.77,90.0
25.81253,-80.24044,-04:00,2023-05-08,metric,0.0,74.0,0.0,22.35,28.6,22.8,27.17,26.69,24.24,1017.0,7.72,90.0
25.81253,-80.24044,-04:00,2023-05-09,metric,20.0,84.0,0.0,22.88,29.7,23.48,28.35,27.99,24.49,1017.0,5.66,70.0
25.81253,-80.24044,-04:00,2023-05-10,metric,20.0,86.0,1.53,22.65,31.28,23.55,29.73,28.41,25.75,1016.0,6.69,60.0
25.81253,-80.24044,-04:00,2023-05-11,metric,0.0,79.0,169.2,24.17,30.85,24.71,30.85,28.59,25.88,1016.0,6.17,90.0
25.81253,-80.24044,-04:00,2023-05-12,metric,20.0,77.0,0.0,25.1,29.56,25.41,29.52,28.17,25.79,1016.0,7.72,90.0
25.81253,-80.24044,-04:00,2023-05-13,metric,0.0,80.0,0.0,24.57,29.34,25.07,29.34,27.79,26.07,1017.0,7.72,70.0
25.81253,-80.24044,-04:00,2023-05-14,metric,75.0,78.0,0.0,23.96,29.31,24.35,29.14,27.84,25.46,1017.0,7.72,80.0
25.81253,-80.24044,-04:00,2023-05-15,metric,100.0,91.0,0.0,23.14,29.75,23.72,28.74,27.85,25.74,1017.0,8.75,110.0
25.81253,-80.24044,-04:00,2023-05-16,metric,20.0,87.0,0.0,22.56,31.0,23.09,29.24,27.99,25.29,1017.0,6.69,90.0
25.81253,-80.24044,-04:00,2023-05-17,metric,75.0,89.0,0.0,23.45,31.6,24.54,30.42,29.03,26.28,1012.0,7.2,160.0
25.81253,-80.24044,-04:00,2023-05-18,metric,0.0,86.0,0.34,22.52,30.83,23.08,28.32,28.33,26.19,1012.0,7.2,170.0
25.81253,-80.24044,-04:00,2023-05-19,metric,20.0,88.0,3.24,24.25,30.87,24.91,29.08,29.3,25.79,1014.0,8.23,100.0
25.81253,-80.24044,-04:00,2023-05-20,metric,0.0,91.0,0.0,24.48,30.76,24.48,28.86,29.05,26.12,1014.0,5.66,80.0
25.81253,-80.24044,-04:00,2023-05-21,metric,0.0,85.0,0.0,24.22,30.47,24.93,30.14,29.22,26.55,1014.0,5.66,90.0
25.81253,-80.24044,-04:00,2023-05-22,metric,40.0,87.0,0.0,24.03,30.36,24.99,29.49,28.87,26.32,1012.0,6.69,80.0
25.81253,-80.24044,-04:00,2023-05-23,metric,0.0,92.0,1.46,23.91,29.98,24.11,29.98,28.53,26.76,1013.0,7.2,80.0
25.81253,-80.24044,-04:00,2023-05-24,metric,20.0,91.0,9.55,22.94,30.34,23.7,27.23,28.42,25.79,1010.0,9.26,310.0
25.81253,-80.24044,-04:00,2023-05-25,metric,75.0,89.0,7.1,21.78,29.78,23.04,23.99,28.1,21.78,1007.0,5.66,210.0
25.81253,-80.24044,-04:00,2023-05-26,metric,20.0,92.0,1.1,22.72,28.47,22.84,25.74,26.83,23.59,1007.0,4.63,10.0
25.81253,-80.24044,-04:00,2023-05-27,metric,20.0,93.0,0.49,21.18,29.1,22.29,26.3,26.92,23.97,1009.0,4.63,100.0
25.81253,-80.24044,-04:00,2023-05-28,metric,20.0,91.0,0.0,23.2,31.97,23.7,28.03,29.01,26.16,1013.0,5.36,110.0
25.81253,-80.24044,-04:00,2023-05-29,metric,0.0,86.0,0.0,22.52,31.91,23.54,31.91,27.94,27.43,1012.0,5.66,130.0
25.81253,-80.24044,-04:00,2023-05-30,metric,75.0,85.0,0.0,24.38,31.91,25.43,31.91,27.96,26.88,1011.0,6.17,80.0
25.81253,-80.24044,-04:00,2023-05-31,metric,100.0,86.0,5.16,22.94,30.38,24.75,30.38,28.31,22.99,1011.0,7.2,90.0
25.81253,-80.24044,-04:00,2023-06-01,metric,75.0,91.0,1.04,23.92,31.58,24.68,29.12,28.67,25.19,1010.0,8.23,270.0
25.81253,-80.24044,-04:00,2023-06-02,metric,100.0,92.0,2.05,23.64,29.8,23.74,24.73,28.36,24.65,1008.0,5.66,50.0
25.81253,-80.24044,-04:00,2023-06-03,metric,40.0,93.0,6.44,23.42,29.93,23.93,27.61,29.06,25.43,1005.0,11.83,170.0
25.81253,-80.24044,-04:00,2023-06-04,metric,75.0,90.0,1.65,23.25,30.36,24.0,28.38,25.67,25.67,1004.0,4.63,50.0
25.81253,-80.24044,-04:00,2023-06-05,metric,75.0,94.0,0.49,22.71,31.26,22.96,29.81,27.65,26.66,1007.0,8.23,60.0
25.81253,-80.24044,-04:00,2023-06-06,metric,75.0,83.0,3.45,23.83,29.06,25.41,29.06,23.83,26.58,1012.0,8.75,120.0
25.81253,-80.24044,-04:00,2023-06-07,metric,75.0,92.0,0.29,24.33,30.29,24.66,27.93,29.57,25.98,1011.0,6.17,270.0
25.81253,-80.24044,-04:00,2023-06-08,metric,0.0,91.0,5.2,23.96,31.77,24.46,29.47,29.14,26.12,1010.0,8.23,260.0
25.81253,-80.24044,-04:00,2023-06-09,metric,75.0,91.0,20.18,23.91,31.55,24.5,30.58,29.46,26.38,1010.0,7.2,210.0
25.81253,-80.24044,-04:00,2023-06-10,metric,0.0,90.0,0.0,23.89,32.21,24.24,32.21,29.26,27.2,1011.0,10.8,340.0
25.81253,-80.24044,-04:00,2023-06-11,metric,0.0,89.0,0.0,24.7,31.04,25.2,31.04,28.96,26.87,1013.0,6.71,130.0
25.81253,-80.24044,-04:00,2023-06-12,metric,20.0,90.0,0.31,25.52,31.1,26.11,30.99,29.99,28.1,1013.0,8.75,180.0
25.81253,-80.24044,-04:00,2023-06-13,metric,75.0,89.0,1.39,25.09,32.54,25.7,30.89,30.4,26.44,1014.0,7.72,170.0
25.81253,-80.24044,-04:00,2023-06-14,metric,20.0,89.0,0.0,25.38,32.99,25.38,32.0,31.09,27.4,1015.0,8.23,170.0
25.81253,-80.24044,-04:00,2023-06-15,metric,0.0,91.0,0.0,25.89,32.95,26.14,32.79,30.41,28.95,1015.0,6.71,150.0
25.81253,-80.24044,-04:00,2023-06-16,metric,0.0,88.0,10.9,26.59,33.93,26.98,32.87,31.39,29.45,1014.0,7.2,230.0
25.81253,-80.24044,-04:00,2023-06-17,metric,75.0,91.0,1.78,26.52,34.66,27.01,33.62,32.03,29.8,1015.0,7.2,250.0
25.81253,-80.24044,-04:00,2023-06-18,metric,75.0,87.0,14.19,23.99,32.07,26.0,31.2,28.03,23.99,1014.0,11.32,290.0
25.81253,-80.24044,-04:00,2023-06-19,metric,20.0,85.0,43.92,25.51,33.5,25.85,27.2,29.98,27.11,1014.0,9.77,180.0
25.81253,-80.24044,-04:00,2023-06-20,metric,75.0,91.0,10.4,23.15,32.42,24.28,24.28,29.61,23.99,1015.0,7.72,180.0
25.81253,-80.24044,-04:00,2023-06-21,metric,40.0,93.0,1.06,22.45,32.55,22.76,32.2,29.84,23.48,1014.0,8.23,340.0
25.81253,-80.24044,-04:00,2023-06-22,metric,40.0,82.0,3.97,25.44,31.15,25.99,31.15,30.2,27.9,1014.0,6.71,130.0
25.81253,-80.24044,-04:00,2023-06-23,metric,75.0,93.0,0.0,26.7,32.47,27.16,30.58,30.96,27.96,1016.0,6.71,130.0
25.81253,-80.24044,-04:00,2023-06-24,metric,0.0,92.0,0.0,26.56,32.85,26.64,31.19,30.96,28.73,1016.0,6.26,120.0
25.81253,-80.24044,-04:00,2023-06-25,metric,40.0,96.0,7.34,23.9,32.09,24.68,30.37,29.52,23.9,1016.0,7.2,300.0
25.81253,-80.24044,-04:00,2023-06-26,metric,20.0,97.0,4.4,24.59,31.17,24.6,26.05,30.38,25.24,1014.0,4.63,220.0
25.81253,-80.24044,-04:00,2023-06-27,metric,20.0,91.0,2.99,25.57,33.27,26.23,30.01,30.47,27.59,1014.0,5.14,140.0
25.81253,-80.24044,-04:00,2023-06-28,metric,0.0,89.0,0.0,26.01,33.57,26.48,32.2,30.73,28.64,1014.0,5.66,110.0
25.81253,-80.24044,-04:00,2023-06-29,metric,40.0,86.0,0.0,26.12,33.05,26.32,32.48,31.26,28.27,1013.0,6.26,110.0
25.81253,-80.24044,-04:00,2023-06-30,metric,40.0,88.0,2.23,25.83,31.19,26.12,28.53,30.91,27.22,1014.0,6.69,140.0
25.81253,-80.24044,-04:00,2023-07-01,metric,75.0,88.0,23.02,25.83,31.2,26.47,31.17,30.95,26.03,1014.0,5.36,240.0
25.81253,-80.24044,-04:00,2023-07-02,metric,75.0,95.0,2.3,25.32,32.78,25.91,30.62,30.84,26.98,1015.0,6.69,170.0
25.81253,-80.24044,-04:00,2023-07-03,metric,20.0,93.0,1.57,26.08,33.02,26.29,30.84,31.59,27.09,1016.0,6.69,120.0
25.81253,-80.24044,-04:00,2023-07-04,metric,0.0,88.0,1.61,26.2,33.13,26.61,31.39,31.41,28.24,1016.0,5.14,90.0
25.81253,-80.24044,-04:00,2023-07-05,metric,20.0,89.0,0.0,26.94,33.38,26.94,31.32,31.26,29.33,1017.0,5.14,120.0
25.81253,-80.24044,-04:00,2023-07-06,metric,40.0,88.0,0.0,27.25,33.77,27.64,32.32,32.04,29.33,1016.0,6.17,140.0
25.81253,-80.24044,-04:00,2023-07-07,metric,40.0,80.0,12.6,26.36,33.64,27.0,30.93,31.66,27.14,1015.0,9.26,270.0
25.81253,-80.24044,-04:00,2023-07-08,metric,0.0,90.0,4.13,25.81,34.77,26.12,32.68,31.39,25.81,1015.0,6.69,290.0
25.81253,-80.24044,-04:00,2023-07-09,metric,0.0,88.0,0.0,25.49,33.78,25.86,33.56,30.44,26.26,1016.0,6.69,330.0
25.81253,-80.24044,-04:00,2023-07-10,metric,20.0,85.0,0.0,26.27,34.16,27.24,33.34,31.43,30.01,1016.0,8.23,200.0
