lat,lon,tz,date,units,cloud_cover.afternoon,humidity.afternoon,precipitation.total,temperature.min,temperature.max,temperature.afternoon,temperature.night,temperature.evening,temperature.morning,pressure.afternoon,wind.max.speed,wind.max.direction
40.77373,-73.98007,-04:00,2023-04-01,metric,100.0,77.0,3.34,9.74,19.98,11.81,10.14,13.73,10.24,1008.0,10.8,220.0
40.77373,-73.98007,-04:00,2023-04-02,metric,40.0,58.0,2.29,4.73,20.83,7.38,20.83,5.72,11.77,1004.0,13.89,290.0
40.77373,-73.98007,-04:00,2023-04-03,metric,0.0,37.0,0.0,3.17,13.89,3.51,10.49,8.65,6.11,1021.0,8.23,170.0
40.77373,-73.98007,-04:00,2023-04-04,metric,20.0,85.0,0.0,7.65,20.65,8.37,14.04,13.95,10.75,1016.0,9.26,170.0
40.77373,-73.98007,-04:00,2023-04-05,metric,100.0,92.0,0.0,9.73,19.65,11.75,19.65,11.18,15.3,1022.0,8.23,40.0
40.77373,-73.98007,-04:00,2023-04-06,metric,100.0,93.0,0.0,8.5,23.96,8.57,9.52,13.02,8.5,1020.0,7.2,40.0
40.77373,-73.98007,-04:00,2023-04-07,metric,100.0,34.0,0.0,10.84,24.87,13.33,24.87,11.45,16.42,1025.0,10.29,320.0
40.77373,-73.98007,-04:00,2023-04-08,metric,100.0,44.0,0.0,2.32,12.1,3.96,12.1,6.31,7.89,1031.0,8.23,300.0
40.77373,-73.98007,-04:00,2023-04-09,metric,75.0,60.0,0.0,4.05,11.47,4.72,10.51,9.19,6.77,1031.0,7.2,40.0
40.77373,-73.98007,-04:00,2023-04-10,metric,0.0,77.0,0.0,4.36,17.63,4.82,11.15,10.69,6.02,1032.0,7.2,160.0
40.77373,-73.98007,-04:00,2023-04-11,metric,0.0,51.0,0.0,8.37,22.77,9.46,17.6,15.58,11.53,1024.0,10.8,260.0
40.77373,-73.98007,-04:00,2023-04-12,metric,100.0,32.0,0.0,18.01,27.93,18.03,22.74,20.68,19.19,1012.0,10.29,240.0
40.77373,-73.98007,-04:00,2023-04-13,metric,0.0,49.0,0.0,16.92,30.94,17.67,28.23,25.05,22.23,1012.0,8.23,310.0
40.77373,-73.98007,-04:00,2023-04-14,metric,0.0,45.0,0.0,18.1,30.85,19.91,30.85,25.92,25.21,1012.0,7.72,260.0
40.77373,-73.98007,-04:00,2023-04-15,metric,0.0,74.0,0.31,16.93,30.19,19.05,30.19,19.67,23.64,1013.0,7.72,170.0
40.77373,-73.98007,-04:00,2023-04-16,metric,100.0,91.0,0.27,14.11,19.92,14.7,18.88,17.17,15.52,1011.0,7.72,120.0
40.77373,-73.98007,-04:00,2023-04-17,metric,100.0,93.0,0.84,12.07,19.9,12.78,19.9,12.52,13.73,1004.0,9.77,260.0
40.77373,-73.98007,-04:00,2023-04-18,metric,40.0,49.0,0.0,9.38,19.13,10.3,19.07,11.37,15.6,1006.0,10.8,260.0
40.77373,-73.98007,-04:00,2023-04-19,metric,100.0,52.0,0.0,6.9,15.76,6.98,13.02,9.18,8.14,1015.0,10.29,280.0
40.77373,-73.98007,-04:00,2023-04-20,metric,0.0,63.0,0.0,6.67,17.55,7.76,16.47,10.51,11.24,1023.0,5.66,300.0
40.77373,-73.98007,-04:00,2023-04-21,metric,20.0,83.0,0.0,9.33,19.24,9.33,16.83,15.85,11.15,1020.0,7.72,50.0
40.77373,-73.98007,-04:00,2023-04-22,metric,100.0,91.0,0.0,10.66,18.96,10.76,18.96,14.11,13.11,1015.0,9.26,110.0
40.77373,-73.98007,-04:00,2023-04-23,metric,100.0,94.0,40.89,12.63,18.98,13.1,18.98,12.85,14.49,1009.0,8.94,360.0
40.77373,-73.98007,-04:00,2023-04-24,metric,20.0,71.0,0.0,6.41,19.13,7.3,19.13,10.97,13.02,1017.0,7.2,260.0
40.77373,-73.98007,-04:00,2023-04-25,metric,0.0,62.0,0.0,7.12,15.47,8.06,15.47,11.66,11.1,1020.0,5.66,250.0
40.77373,-73.98007,-04:00,2023-04-26,metric,0.0,56.0,0.44,7.68,14.17,7.85,14.15,12.66,10.3,1023.0,6.17,220.0
40.77373,-73.98007,-04:00,2023-04-27,metric,100.0,86.0,0.0,9.28,13.74,9.34,13.74,11.24,10.45,1022.0,6.17,140.0
