name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
78719,2023-04-01,26.7,8,18.3,26.2,7.3,18.2,6.7,54.6,0,0,0,,0,0,35.2,27.4,25.1,1018.4,57,16,204.3,18,9,10,2023-04-01T07:20:06,2023-04-01T19:49:32,0.36,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"C0133,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI"
78719,2023-04-02,28.4,13,21.3,30.1,13,21.7,16.1,73.3,0,0,0,,0,0,50.4,29.2,175.6,1011.6,93,15.8,102.6,9.1,4,60,2023-04-02T07:18:54,2023-04-02T19:50:09,0.39,Overcast,Cloudy skies throughout the day.,cloudy,"C0133,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI"
78719,2023-04-03,32.2,20.7,25.1,36.2,20.7,26.1,21.1,80.6,0,0,0,,0,0,46.4,29.2,171.1,1005.8,83.8,13.7,220.3,19.2,8,75,2023-04-03T07:17:42,2023-04-03T19:50:46,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C0133,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI"
78719,2023-04-04,28.9,22.2,24.8,31,22.2,25.3,21.1,81.6,0,0,0,,0,0,54.6,34.9,167.9,1002.5,95.1,12.8,141.4,12,5,75,2023-04-04T07:16:30,2023-04-04T19:51:22,0.45,Overcast,Cloudy skies throughout the day.,cloudy,"C0133,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI"
78719,2023-04-05,24.4,15.8,21.2,24.4,15.8,21.2,9.4,53.1,0,0,0,,0,0,58.7,40.3,22.1,1011.4,97.4,13.8,131.1,11.3,6,75,2023-04-05T07:15:19,2023-04-05T19:51:59,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"C0133,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI,D9418"
78719,2023-04-06,15,8.3,10.5,15,4.6,9.6,8.5,88.2,48.782,100,79.17,rain,0,0,49.5,29.2,8.5,1020.6,99.5,13.3,21.3,1.9,1,10,2023-04-06T07:14:09,2023-04-06T19:52:36,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"C0133,KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958,KHYI,D9418"
78719,2023-04-07,11.7,9.4,10.7,11.7,5.9,10.5,10.2,96.8,14.655,100,75,rain,0,0,44.3,27.4,8.2,1021.8,100,10.5,41.3,3.8,1,10,2023-04-07T07:12:58,2023-04-07T19:53:13,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"C0133,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI"
78719,2023-04-08,16.7,10.7,13.8,16.7,10.7,13.8,12.1,89.5,0,0,0,,0,0,25.9,20.3,12.5,1020.7,98,12.8,79.3,7.2,3,10,2023-04-08T07:11:48,2023-04-08T19:53:49,0.59,Overcast,Cloudy skies throughout the day.,cloudy,"C0133,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI,D9418"
78719,2023-04-09,22.2,9.4,17.2,22.2,9.4,17.2,14.1,82.9,0,0,0,,0,0,18.4,14.6,76.9,1021,93.5,15.2,141.8,12.5,7,10,2023-04-09T07:10:38,2023-04-09T19:54:26,0.63,Overcast,Cloudy skies throughout the day.,cloudy,"C0133,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI,D9418"
78719,2023-04-10,21.2,10.7,16.7,21.2,10.7,16.7,13.8,84.2,0,0,0,,0,0,24.1,18.1,48.6,1022.7,69.1,15.2,132.4,11.4,4,10,2023-04-10T07:09:29,2023-04-10T19:55:03,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C0133,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI,D9418"
78719,2023-04-11,22.9,8.4,16.2,22.9,8.4,16.2,11.9,78.8,0,0,0,,0,0,27.7,16.5,47.4,1022.4,29.2,15.6,245.6,21.6,9,10,2023-04-11T07:08:20,2023-04-11T19:55:40,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"C0133,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,D9418,KHYI"
78719,2023-04-12,24.4,7.9,16.4,24.4,7.9,16.4,10.9,74.1,0,0,0,,0,0,16.6,14.7,102.3,1017.2,26.2,15.7,240.5,20.6,10,10,2023-04-12T07:07:12,2023-04-12T19:56:17,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C0133,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI"
