name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
60638,2023-04-01,12.2,2.2,5,12.2,-2.5,1.2,-0.1,69.9,1.593,100,12.5,rain,0,0,72.4,40.6,295.1,1005.3,76.4,15.7,60.3,5.2,3,10,2023-04-01T06:34:11,2023-04-01T19:16:30,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72534014819,72212604879,AT062,KORD,KLOT,KMDW,72530094846,F7086"
60638,2023-04-02,13.3,0,6.6,13.3,-3.6,5,-0.2,63.5,0,0,0,,0,0,50.1,35.3,175.6,1015.6,40.8,16,229.1,19.7,8,10,2023-04-02T06:32:30,2023-04-02T19:17:36,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,AT062,KORD,KLOT,KMDW,72530094846,F7086"
60638,2023-04-03,16.1,7.8,11.1,16.1,4.7,10.3,1.9,56.2,1.398,100,16.67,rain,0,0,51.8,31.7,87.3,1009.1,73.9,15.9,73.8,6.3,3,10,2023-04-03T06:30:49,2023-04-03T19:18:42,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,72212604879,AT062,KORD,KLOT,KMDW,72530094846"
60638,2023-04-04,21.1,7.2,11.5,21.1,3.1,9.9,9.1,85.6,8.388,100,45.83,rain,0,0,60.7,27.8,86,1007.2,99.8,14.4,39.3,3.4,2,30,2023-04-04T06:29:08,2023-04-04T19:19:48,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,72212604879,AT062,KORD,KLOT,KMDW,72530094846"
60638,2023-04-05,22.8,5,15.9,22.8,0.8,14.7,9.7,66.7,3.145,100,25,rain,0,0,86.7,48.1,234.3,1005.8,80.3,15.8,87.3,7.6,3,30,2023-04-05T06:27:28,2023-04-05T19:20:54,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,72212604879,AT062,KORD,KLOT,KMDW,72530094846"
60638,2023-04-06,11.7,0.6,6,11.7,-3.6,3.1,-4.6,48.1,0,0,0,,0,0,46.5,29.4,270.2,1027.2,56.5,16,228,19.8,8,10,2023-04-06T06:25:48,2023-04-06T19:22:00,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,AT062,KORD,KLOT,KMDW,72530094846"
60638,2023-04-07,8.9,3.3,6,6.1,-0.2,3.3,-4.3,48.9,0,0,0,,0,0,44.6,20.5,67.6,1033.5,22.8,16,259.6,22.5,9,10,2023-04-07T06:24:09,2023-04-07T19:23:06,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,AT062,KORD,KLOT,KMDW,72530094846"
60638,2023-04-08,17.2,3.8,10.1,17.2,1,9.3,-1.8,47.6,0,0,0,,0,0,38.9,18.4,147.2,1029.6,30,16,271.5,23.5,8,10,2023-04-08T06:22:29,2023-04-08T19:24:12,0.59,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,72212604879,KORD,KLOT,KMDW,72530094846"
60638,2023-04-09,20,6.7,13.7,20,4.5,13.4,-2.4,36.1,0,0,0,,0,0,38.8,25.8,170.7,1029.6,54.7,16,279.5,24.3,8,10,2023-04-09T06:20:51,2023-04-09T19:25:18,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KLOT,KMDW,72530094846"
60638,2023-04-10,21.7,9.3,16.1,21.7,7.7,15.9,-1.5,31.5,0,0,0,,0,0,31.7,22.2,202.7,1026.9,56.1,16,266,23,8,10,2023-04-10T06:19:13,2023-04-10T19:26:24,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KLOT,KMDW,72530094846"
60638,2023-04-11,26.1,11.7,19.5,26.1,11.7,19.5,4.1,36.7,0,0,0,,0,0,48.1,29.5,239,1021.4,50.1,16,272.8,23.6,8,10,2023-04-11T06:17:35,2023-04-11T19:27:30,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KLOT,KMDW,72530094846"
60638,2023-04-12,28.3,15,22.1,27,15,21.8,5.9,36.4,0,0,0,,0,0,59.1,38.9,230.7,1013.8,16.5,16,283.5,24.5,9,10,2023-04-12T06:15:58,2023-04-12T19:28:35,0.73,Clear,Clear conditions throughout the day.,clear-day,"72534014819,72212604879,KORD,KLOT,KMDW,72530094846"
60638,2023-04-13,28.3,13.8,22.1,27,13.8,21.8,4.1,32.6,0,0,0,,0,0,40.7,25.9,214.9,1010.4,40.8,16,285,24.5,8,10,2023-04-13T06:14:22,2023-04-13T19:29:41,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KLOT,KMDW,72530094846"
60638,2023-04-14,28.3,14.3,21.5,27.1,14.3,21.2,3.7,32,0,0,0,,0,0,44,20.5,149.6,1008,50.2,16,222.6,19.2,8,10,2023-04-14T06:12:46,2023-04-14T19:30:47,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,AT062,KORD,KLOT,KMDW,72530094846"
60638,2023-04-15,27.2,19.3,22.7,26.8,19.3,22.6,11.1,48.8,2.281,100,8.33,rain,0,0,73.8,49.8,207.8,1006.6,89.7,15.9,186.8,15.9,8,10,2023-04-15T06:11:11,2023-04-15T19:31:53,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72534014819,72212604879,AT062,KORD,KLOT,KMDW,72530094846"
60638,2023-04-16,20.6,1.7,9.3,20.6,-4.4,6.4,6,80.6,3.809,100,50,"rain,snow",0,0,59.2,38.8,242,1002.9,99.7,14.5,72.8,6.2,3,10,2023-04-16T06:09:37,2023-04-16T19:32:59,0.88,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72534014819,72212604879,AT062,KORD,KLOT,KMDW,72530094846"
