name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
33142,2023-04-01,29.3,23.6,25.7,31.8,23.6,26.6,20.7,74.7,8.75,100,12.5,rain,0,0,38.9,23.5,144.3,1020.5,66.7,15.7,183.5,16,8,30,2023-04-01T07:12:19,2023-04-01T19:37:44,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
33142,2023-04-02,31.2,22,25.9,32.1,22,26.4,21.1,76.9,0,0,0,,0,0,31.7,16.2,214.1,1018.2,32,15,211.5,18.3,8,30,2023-04-02T07:11:16,2023-04-02T19:38:12,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
33142,2023-04-03,30,22.6,26.4,31.6,22.6,27.2,20.6,71.5,0,0,0,,0,0,31.7,25.1,141.1,1017,37.5,16,203.1,17.5,7,30,2023-04-03T07:10:14,2023-04-03T19:38:40,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
33142,2023-04-04,30.1,24,26.9,31.9,24,27.7,20.6,69.3,0,0,0,,0,0,33.5,23.1,112.8,1017.3,29.5,16,229,19.9,8,30,2023-04-04T07:09:11,2023-04-04T19:39:07,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
33142,2023-04-05,29.3,24.5,26.8,31.2,24.5,27.5,19.9,66,0,0,0,,0,0,39.3,29.2,97.2,1019.1,50.3,16,189.6,16.3,7,10,2023-04-05T07:08:09,2023-04-05T19:39:35,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
33142,2023-04-06,29.3,25.2,26.9,31.2,25.2,27.6,19.9,66.1,0,0,0,,0,0,47.1,29,96.5,1020.6,48.8,16,196.9,17,7,10,2023-04-06T07:07:07,2023-04-06T19:40:02,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
33142,2023-04-07,29,24.5,26.4,29.9,24.5,26.6,18.4,62.7,0,0,0,,0,0,36.5,23.5,95.6,1019.6,45.7,16,216.9,18.6,9,10,2023-04-07T07:06:06,2023-04-07T19:40:30,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
33142,2023-04-08,29.5,24.1,26.5,31,24.1,27.1,19.3,65.1,0.705,100,8.33,rain,0,0,32.5,20.1,118.7,1017.2,43.6,16,220.5,19,8,10,2023-04-08T07:05:05,2023-04-08T19:40:58,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
33142,2023-04-09,30.1,22.2,25.1,30.7,22.2,25.3,19.4,71.8,2.075,100,29.17,rain,0,0,29.5,18.5,323.5,1015.6,66.2,15.7,170.5,14.6,7,30,2023-04-09T07:04:04,2023-04-09T19:41:26,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
33142,2023-04-10,25.8,20.8,22.4,25.8,20.8,22.4,19.9,86,65.054,100,58.33,rain,0,0,53.6,22.2,33.7,1016.2,93.2,12.7,96.1,8.4,6,30,2023-04-10T07:03:04,2023-04-10T19:41:54,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHWO,72202412882,72203792809,0235W,F8130,KMIA,KOPF,72202012839"
