name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
10023,2023-04-01,21.7,12.2,15.7,21.7,12.2,15.7,9.6,69.4,9.093,100,50,rain,0,0,61.2,27.9,218.4,1000.3,78.3,13.6,120.3,10.2,7,10,2023-04-01T06:39:44,2023-04-01T19:20:38,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-02,11.2,4.4,8.1,11.2,-0.4,5.7,-7.8,35.3,0.496,100,4.17,rain,0,0,52.9,26.2,299.7,1010.8,27.4,16,275.2,24,9,10,2023-04-02T06:38:05,2023-04-02T19:21:41,0.39,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-03,14.3,3.8,9.1,14.3,1,8.5,-3.8,41.2,0,0,0,,0,0,42.5,24.5,152.4,1018.9,0.4,16,253,21.9,9,10,2023-04-03T06:36:27,2023-04-03T19:22:44,0.42,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-04,22.2,8.8,15.6,22.2,8.3,15.5,9.2,67.2,0,0,0,,0,0,33.5,18.5,130.5,1016.5,21,15.5,234.5,20.1,8,10,2023-04-04T06:34:50,2023-04-04T19:23:47,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-05,14.3,8.3,10.3,14.3,5.7,9.4,8.4,87.7,0.002,100,4.17,rain,0,0,49.9,25.8,62.7,1022.7,93.2,7.3,42.6,3.6,1,10,2023-04-05T06:33:12,2023-04-05T19:24:50,0.48,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
10023,2023-04-06,25.6,8.3,15.5,25.6,6.4,15.2,9.9,72.4,0.002,100,8.33,rain,0,0,48.2,22.6,358.8,1019.7,79.1,9.2,143.4,12.5,6,10,2023-04-06T06:31:35,2023-04-06T19:25:53,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72502594741,72505394728,KTEB,KLGA,F8726,KNYC,F1417,72503014732"
10023,2023-04-07,16.1,7.8,12.1,16.1,5.9,11.8,-6.8,27.1,0,0,0,,0,0,40.8,25.2,307.6,1026.1,37.3,16,89.8,7.7,3,10,2023-04-07T06:29:58,2023-04-07T19:26:56,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-08,11.1,3.3,7.2,11.1,0.1,5.9,-8,34.1,0,0,0,,0,0,38.9,20.3,353.1,1031.4,1.2,16,228.1,19.8,8,10,2023-04-08T06:28:22,2023-04-08T19:27:59,0.59,Clear,Clear conditions throughout the day.,clear-day,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-09,12.8,5,8,12.8,3.6,7.3,-4.2,43.6,0,0,0,,0,0,33.5,22.2,70.3,1032.1,0.5,16,279.4,24.1,9,10,2023-04-09T06:26:47,2023-04-09T19:29:02,0.62,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10023,2023-04-10,18.8,6.1,11.6,18.8,4.5,11.1,-1.4,44.2,0,0,0,,0,0,35.3,21.7,227.1,1029.6,0.2,16,277.4,23.8,9,10,2023-04-10T06:25:11,2023-04-10T19:30:05,0.66,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
